"fu","year","discard.rate.n","discard.rate.wgt","dead.disc.rate.n","survival.rate"
"fu.16",2012,0,0,0,0.25
"fu.16",2013,0,0,0,0.25
"fu.16",2014,0,0,0,0.25
"fu.16",2015,0,0,0,0.25
"fu.16",2016,0,0,0,0.25
"fu.16",2017,0,0,0,0.25
"fu.16",2018,0,0,0,0.25
"fu.16",2019,0,0,0,0.25
"fu.16",2020,NA,NA,NA,NA
"fu.17",2008,0.314286842,0.189989476,0.25581495,0.25
"fu.17",2009,0.275600322,0.171171034,0.221995768,0.25
"fu.17",2010,0.289917085,0.192670397,0.234429061,0.25
"fu.17",2011,0.210960821,0.122360286,0.167029802,0.25
"fu.17",2012,0.11953559,0.064674013,0.092413364,0.25
"fu.17",2013,0.167023275,0.09062263,0.130726029,0.25
"fu.17",2014,0.129455209,0.059169193,0.10033875,0.25
"fu.17",2015,0.083991863,0.038499745,0.064345012,0.25
"fu.17",2016,0.171942932,0.093856702,0.134749505,0.25
"fu.17",2017,0.213659866,0.113333369,0.16928738,0.25
"fu.17",2018,0.322384896,0.165047488,0.262984206,0.25
"fu.17",2019,0.217050109,0.111298738,0.172127663,0.25
"fu.17",2020,NA,NA,NA,NA
"fu.19",2011,0.556710484,0.389020766,0.485039507,0.25
"fu.19",2012,0.536010947,0.35800904,0.464214181,0.25
"fu.19",2013,0.553036337,0.354283171,0.481324776,0.25
"fu.19",2014,0.411496776,0.255981708,0.344012601,0.25
"fu.19",2015,0.410637007,0.247545472,0.343211601,0.25
"fu.19",2016,0.407976715,0.246787819,0.340735582,0.25
"fu.19",2017,0.397445911,0.24898442,0.330970113,0.25
"fu.19",2018,0.347663837,0.22860812,0.285568323,0.25
"fu.19",2019,0.482459149,0.31075529,0.411474239,0.25
"fu.19",2020,NA,NA,NA,NA
"fu.2021",2013,0.354219575,0.19064481,0.291476337,0.25
"fu.2021",2014,0.523730736,0.312378609,0.451976556,0.25
"fu.2021",2015,0.321963385,0.172806901,0.262610261,0.25
"fu.2021",2016,0.383650531,0.246148648,0.318263376,0.25
"fu.2021",2017,0.242642205,0.142114446,0.193733643,0.25
"fu.2021",2018,0.249555149,0.174513025,0.199620439,0.25
"fu.2021",2019,0.29927582,0.175083717,0.242608586,0.25
"fu.2021",2020,NA,NA,NA,NA
"fu.22",2006,0.310916862,0.205154965,0.252840761,0.25
"fu.22",2007,0.522698143,0.392536204,0.450951483,0.25
"fu.22",2008,0.153382142,0.085494541,0.119623639,0.25
"fu.22",2009,0.264097345,0.145302886,0.212075128,0.25
"fu.22",2010,0.267712644,0.189810069,0.215186521,0.25
"fu.22",2011,0.179907023,0.107168724,0.141284799,0.25
"fu.22",2012,0.206713245,0.117031774,0.163483484,0.25
"fu.22",2013,0.300273088,0.1805028,0.243482637,0.25
"fu.22",2014,0.250013556,0.154115699,0.200011568,0.25
"fu.22",2015,0.2799403,0.160672779,0.225754683,0.25
"fu.22",2016,0.250524626,0.134871118,0.200447744,0.25
"fu.22",2017,0.192422559,0.106503394,0.151610226,0.25
"fu.22",2018,0.237350841,0.14530548,0.189242338,0.25
"fu.22",2019,0.191707552,0.111805616,0.151018511,0.25
"fu.22",2020,NA,NA,NA,NA
"out7.fu",2009,0,0,0,0.25
"out7.fu",2010,0,0,0,0.25
"out7.fu",2011,0,0,0,0.25
"out7.fu",2012,0,0,0,0.25
"out7.fu",2013,0,0,0,0.25
"out7.fu",2014,0,0,0,0.25
"out7.fu",2015,0,0,0,0.25
"out7.fu",2016,0,0,0,0.25
"out7.fu",2017,0,0,0,0.25
"out7.fu",2018,0,0,0,0.25
"out7.fu",2019,0,0,0,0.25
