Stock,Country,lvl4,Area,Year,BMS landing,Discards,Landings,Logbook Registered Discard,Catch,DR
gug.27.3a47d,BE,OTB_CRU,27.7.d,2016,NA,751.437541651344,72,NA,823.437541651344,0.912561674252052
gug.27.3a47d,BE,OTB_CRU,27.7.d,2019,NA,7937.48061677251,338,NA,8275.48061677251,0.959156450766745
gug.27.3a47d,BE,SSC_DEF,27.7.d,2015,NA,142000.707113655,15275,NA,157275.707113655,0.902877562718815
gug.27.3a47d,BE,SSC_DEF,27.7.d,2016,NA,477002.977637391,12624,NA,489626.977637391,0.974217106947589
gug.27.3a47d,BE,SSC_DEF,27.7.d,2017,NA,15343.5083853972,12837,NA,28180.5083853972,0.544472376990473
gug.27.3a47d,BE,SSC_DEF,27.7.d,2018,NA,111074.203843578,10440,NA,121514.203843578,0.914084117989703
gug.27.3a47d,BE,SSC_DEF,27.7.d,2019,NA,366611.375676,11700,NA,378311.375676,0.969073094936431
gug.27.3a47d,BE,TBB_DEF,27.7.d,2015,NA,516447.57888,30400,NA,546847.57888,0.944408641138611
gug.27.3a47d,BE,TBB_DEF,27.7.d,2016,NA,396904.978908131,17304,NA,414208.978908131,0.95822398624575
gug.27.3a47d,BE,TBB_DEF,27.7.d,2017,NA,370185.28925,28050,NA,398235.28925,0.929564253201099
gug.27.3a47d,BE,TBB_DEF,27.7.d,2018,NA,626240.676811282,28176,NA,654416.676811282,0.956944862503672
gug.27.3a47d,BE,TBB_DEF,27.7.d,2019,NA,86235.1137242187,12922,NA,99157.1137242187,0.869681563786342
gug.27.3a47d,FRA,DRB_MOL,27.7.d,2019,NA,0,2209.74,NA,2209.74,0
gug.27.3a47d,FRA,GTR_DEF,27.7.d,2019,NA,0,5434,NA,5434,0
gug.27.3a47d,FRA,MIS_MIS,27.7.d,2015,NA,1550332.74546522,21000.75,NA,1571333.49546522,0.986635077747272
gug.27.3a47d,FRA,MIS_MIS,27.7.d,2016,NA,1217871.92343161,22335.6,NA,1240207.52343161,0.981990433392794
gug.27.3a47d,FRA,MIS_MIS,27.7.d,2017,NA,79603.1101244929,32406,NA,112009.110124493,0.710684247343968
gug.27.3a47d,FRA,MIS_MIS,27.7.d,2018,NA,537306.62375195,33881.28,NA,571187.90375195,0.940682777458268
gug.27.3a47d,FRA,MIS_MIS,27.7.d,2019,NA,40369.6644499868,5328.7,NA,45698.3644499868,0.883394076262142
gug.27.3a47d,FRA,OTB_DEF,27.7.d,2015,NA,668186.676,140165.5,NA,808352.176,0.826603423406879
gug.27.3a47d,FRA,OTB_DEF,27.7.d,2016,NA,209287.272,55899.6,NA,265186.872,0.789206759827839
gug.27.3a47d,FRA,OTB_DEF,27.7.d,2017,NA,5945086.02936826,145320.45,NA,6090406.47936826,0.976139449724368
gug.27.3a47d,FRA,OTB_DEF,27.7.d,2018,NA,476712.264,67887.36,NA,544599.624,0.875344460392062
gug.27.3a47d,FRA,OTB_DEF,27.7.d,2019,NA,1594229.935324,86056.62,NA,1680286.555324,0.948784557177269
gug.27.3a47d,FRA,OTB_SPF,27.7.d,2018,NA,48537.9080338655,4824.24,NA,53362.1480338655,0.909594343973216
gug.27.3a47d,FRA,OTB_SPF,27.7.d,2019,NA,119523.455272,3814.46,NA,123337.915272,0.969073094906883
gug.27.3a47d,FRA,OTM_DEF,27.7.d,2015,NA,4279.94877842381,569.5,NA,4849.44877842381,0.882563972521202
gug.27.3a47d,FRA,OTM_DEF,27.7.d,2016,NA,354984.35510358,34599.84,NA,389584.19510358,0.91118777292595
