ID,Country,Year,Quarter,Metier,Vessel_length,FDF,Area,kw_days,Days_at_sea,No_vessels,file_name,Standard,ICES_mix_correct,ICES_FU,species_mix_FU
UKS20091LLS_FIF_0_0_0_all,UKS,2009,Q1,LLS_FIF_0_0_0_all,,NA,-1,175133.91561,216.94548278,3,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20092LLS_FIF_0_0_0_all,UKS,2009,Q2,LLS_FIF_0_0_0_all,,NA,-1,204635.98816,236.12745325,3,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20092MIS_MIS_0_0_0_HC,UKS,2009,Q2,MIS_MIS_0_0_0_HC,,NA,-1,86616,28,2,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20093LLS_FIF_0_0_0_all,UKS,2009,Q3,LLS_FIF_0_0_0_all,,NA,-1,231370.42956,273.2603973,3,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20094LLS_FIF_0_0_0_all,UKS,2009,Q4,LLS_FIF_0_0_0_all,,NA,-1,144346.66667,185.66666667,3,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20101LLS_FIF_0_0_0_all,UKS,2010,Q1,LLS_FIF_0_0_0_all,,,-1,86640,122,2,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20102LLS_FIF_0_0_0_all,UKS,2010,Q2,LLS_FIF_0_0_0_all,,,-1,11916.853933,14.243105209,2,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20102MIS_MIS_0_0_0_HC,UKS,2010,Q2,MIS_MIS_0_0_0_HC,,,-1,102354,21,1,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20103LLS_FIF_0_0_0_all,UKS,2010,Q3,LLS_FIF_0_0_0_all,,,-1,231187.51027,269.04417894,3,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
UKS20104LLS_FIF_0_0_0_all,UKS,2010,Q4,LLS_FIF_0_0_0_all,,,-1,162054.63579,190.71271586,3,Resubmission_2020 WGMIXFISH-ADVICE UKS_metier_effort.csv,NA,NA,NA,NA
