Stock_name;Fcube_stock_name
cod-347d;COD-NS
had-34;HAD
had-346a;HAD
nep-10;NEP10
nep-32;NEP32
nep-33;NEP33
nep-34;NEP34
nep-IVnotFU;NEPOTH-NS
nep-5;NEP5
nep-6;NEP6
nep-7;NEP7
nep-8;NEP8
nep-9;NEP9
nep-11;NEP11
nep-12;NEP12
nep-13;NEP13
nep-3-4;NEP3a
sai-3a46;POK
sol-nsea;SOL-NS
ple-nsea;PLE-NS
whg-47d;WHG-NS
ple-eche;PLE-EC
ple-skag;PLE-NS
sol-eche;SOL-EC
cod-scow;COD-WS
had-scow;HAD
whg-scow;WHG-WS
ple-IIIaN;PLE-NS
ple-kask;PLE-NS
tur-nsea;TUR
bll-nsea;BLL
dab-nsea;DAB
fle-nsea;FLE
lem-nsea;LEM
wit-nsea;WIT
wit.27.3a47d;WIT
gug-347d;GUG
gug.27.3a47d;GUG
mur-347d;MUR
pol-nsea;POL
tur-kask;TUR-SK
whg-kask;WHG-SK
cod.27.47d20;COD-NS
had.27.46a20;HAD
nep.fu.10;NEP10
nep.fu.34;NEP34
nep.27.4outFU;NEPOTH-NS
nep.fu.5;NEP5
nep.fu.7;NEP7
nep.fu.8;NEP8
nep.fu.9;NEP9
pok.27.3a46;POK
sol.27.4;SOL-NS
ple.27.420;PLE-NS
whg.27.47d;WHG-NS
ple.27.7d;PLE-EC
sol.27.7d;SOL-EC
tur.27.4;TUR
bll.27.3a47de;BLL
dab.27.3a4;DAB
fle.27.3a4;FLE
lem.27.3a47d;LEM
mur.27.3a47d;MUR
tur.27.3a;TUR-SK
anf.27.3a46;ANF
nep.fu.6;NEP6
nep.fu.10;NEP10
nep.fu.11;NEP11
nep.fu.12;NEP12
nep.fu.13;NEP13
nep.fu.14;NEP14
nep.fu.15;NEP15
nep.fu.34;NEP34
