,country,year,metier,matchto,Comment
2,BE,2009,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
3,BE,2009,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
4,BE,2010,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
5,BE,2010,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
6,BE,2011,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
7,BE,2012,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
8,BE,2012,OTB_DEF_70-99_0_0_all,OTB_CRU_70-99_0_0_all,
9,BE,2013,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
10,BE,2014,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
11,BE,2015,GNS_DEF_90-99_0_0_all,GNS_DEF_all_0_0_all,
12,DK,2009,OTB_DEF_16-31_0_0_all,MIS_MIS_0_0_0_HC,
13,DK,2009,OTB_SPF_32-69_0_0_all,MIS_MIS_0_0_0_HC,
14,DK,2010,OTB_DEF_16-31_0_0_all,MIS_MIS_0_0_0_HC,
15,DK,2011,OTB_DEF_16-31_0_0_all,MIS_MIS_0_0_0_HC,
16,DK,2012,OTB_DEF_16-31_0_0_all,MIS_MIS_0_0_0_HC,
17,DK,2015,FPO_CRU_0_0_0_all,MIS_MIS_0_0_0_HC,
18,EN,2009,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
19,EN,2009,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
20,EN,2009,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
21,EN,2009,OTB_DEF_100-119_0_0_all,OTB_DEF_>=120_0_0_all,
22,EN,2010,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
23,EN,2010,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
24,EN,2010,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
25,EN,2010,OTB_DEF_>=120_0_0_all_FDF,OTB_DEF_>=120_0_0_all,
26,EN,2011,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
27,EN,2011,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
28,EN,2011,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
29,EN,2011,OTB_DEF_>=120_0_0_all_FDF,OTB_DEF_>=120_0_0_all,
30,EN,2012,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
31,EN,2012,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
32,EN,2012,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
33,EN,2013,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
34,EN,2013,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
35,EN,2013,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
36,EN,2013,OTB_DEF_100-119_0_0_all,OTB_DEF_>=120_0_0_all,
37,EN,2014,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
38,EN,2014,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
39,EN,2014,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
40,EN,2014,OTB_DEF_100-119_0_0_all,OTB_DEF_>=120_0_0_all,
41,EN,2015,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
42,EN,2015,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
43,EN,2015,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
44,EN,2015,OTB_CRU_70-99_0_0_all_FDF,OTB_CRU_70-99_0_0_all,
45,EN,2016,FPO_CRU_0_0_0_all,MIS_MIS_0_0_0_HC,
46,EN,2016,GNS_DEF_>=220_0_0_all,GNS_DEF_all_0_0_all,
47,EN,2016,GNS_DEF_100-119_0_0_all,GNS_DEF_all_0_0_all,
48,EN,2016,GNS_DEF_120-219_0_0_all,GNS_DEF_all_0_0_all,
49,FR,2009,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
50,FR,2009,SDN_DEF_70-99_0_0_all,OTB_DEF_70-99_0_0_all,
51,FR,2010,OTB_DWS_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
52,FR,2010,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
53,FR,2011,OTB_DWS_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
54,FR,2011,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
55,FR,2012,OTB_DWS_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
56,FR,2012,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
57,FR,2012,SDN_DEF_70-99_0_0_all,SDN_all_0_0_all,
58,FR,2013,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
59,FR,2013,SDN_DEF_70-99_0_0_all,SDN_all_0_0_all,
60,FR,2014,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
61,FR,2014,PTB_DEF_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
62,FR,2015,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
63,FR,2015,PTB_DEF_>=120_0_0_all,OTB_DEF_>=120_0_0_all,
64,FR,2016,OTM_DEF_0_0_0,MIS_MIS_0_0_0_HC,
65,GE,2009,MIS_MIS_0_0_0_HC,GNS_DEF_all_0_0_all,
66,GE,2009,OTB_SPF_32-69_0_0_all,OTB_CRU_70-99_0_0_all,
67,GE,2010,MIS_MIS_0_0_0_IBC,GNS_DEF_all_0_0_all,
68,NI,2009,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
69,NI,2009,OTB_DEF_>=120_0_0_all,OTB_CRU_70-99_0_0_all,
70,NI,2009,OTB_DEF_100-119_0_0_all,OTB_CRU_70-99_0_0_all,
71,NI,2010,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
72,NI,2010,OTB_DEF_>=120_0_0_all,OTB_DEF_100-119_0_0_all,
73,NI,2011,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
74,NI,2011,OTB_CRU_70-99_0_0_all,OTB_CRU_70-99_0_0_all,
75,NI,2011,OTB_DEF_>=120_0_0_all,OTM_DEF_100-119_0_0_all,
76,NI,2012,FPO_CRU_0_0_0_all,OTB_CRU_70-99_0_0_all,
77,NI,2012,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
78,NI,2012,OTB_CRU_70-99_0_0_all,OTB_CRU_70-99_0_0_all,
79,NI,2012,OTB_DEF_>=120_0_0_all,OTB_CRU_70-99_0_0_all,
80,NI,2013,GNS_DEF_>=220_0_0_all,SSC_DEF_100-119_0_0_all,
81,NI,2013,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
82,NI,2013,OTB_DEF_>=120_0_0_all,SSC_DEF_100-119_0_0_all,
83,NI,2013,SSC_SPF_0_0_0_all,SSC_DEF_100-119_0_0_all,
84,NI,2014,FPO_CRU_0_0_0_all,OTB_CRU_70-99_0_0_all,
85,NI,2014,LLS_FIF_0_0_0_all,LHM_DEF_0_0_0,
86,NI,2014,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
87,NI,2014,OTB_DEF_>=120_0_0_all,SSC_DEF_100-119_0_0_all,
88,NI,2014,SSC_SPF_0_0_0_all,SSC_DEF_100-119_0_0_all,
89,NI,2015,FPO_CRU_0_0_0_all,OTB_CRU_70-99_0_0_all,
90,NI,2015,LLS_FIF_0_0_0_all,LHM_DEF_0_0_0,
91,NI,2015,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
92,NI,2015,OTB_DEF_>=120_0_0_all,OTB_CRU_70-99_0_0_all,
93,NI,2015,SSC_SPF_0_0_0_all,OTB_CRU_70-99_0_0_all,
94,NI,2016,FPO_CRU_0_0_0_all,OTB_CRU_70-99_0_0_all,
95,NI,2016,MIS_MIS_0_0_0_HC,OTB_CRU_70-99_0_0_all,
96,NI,2016,OTB_DEF_>=120_0_0_all,OTB_DEF_100-119_0_0_all,
97,SC,2009,FPO_CRU_0_0_0_all,MIS_MIS_0_0_0_HC,
98,SC,2009,GNS_DEF_>=220_0_0_all,MIS_MIS_0_0_0_HC,
99,SC,2009,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
100,SC,2009,OTB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
101,SC,2010,FPO_CRU_0_0_0_all,MIS_MIS_0_0_0_HC,
102,SC,2010,GNS_DEF_>=220_0_0_all,MIS_MIS_0_0_0_HC,
103,SC,2010,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
104,SC,2010,TBB_DEF_>=120_0_0_all,TBB_DEF_70-99_0_0_all,Only TBB with mesh size>80 is permitted in SC.
105,SC,2011,GNS_DEF_>=220_0_0_all,MIS_MIS_0_0_0_HC,
106,SC,2012,GNS_DEF_>=220_0_0_all,MIS_MIS_0_0_0_HC,
107,SC,2012,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
108,SC,2012,OTB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
109,SC,2013,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
110,SC,2013,OTB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
111,SC,2013,TBB_DEF_-1_0_0_all,TBB_DEF_70-99_0_0_all,Only TBB with mesh size>80 is permitted in SC.
112,SC,2013,TBB_DEF_>=120_0_0_all,TBB_DEF_70-99_0_0_all,Only TBB with mesh size>80 is permitted in SC.
113,SC,2014,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
114,SC,2014,OTB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
115,SC,2015,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
116,SC,2015,OTB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
117,SC,2016,LLS_FIF_0_0_0_all,MIS_MIS_0_0_0_HC,
118,SC,2016,OTB_CRU_16-31_0_0_all,MIS_MIS_0_0_0_HC,
119,SC,2016,TBB_DEF_-1_0_0_all,TBB_DEF_>=120_0_0_all,
120,SW,2012,FPO_CRU_0_0_0_all,MIS_MIS_0_0_0_HC,
121,SW,2013,FPO_CRU_0_0_0_all,MIS_MIS_0_0_0_HC,
122,SW,2013,MIS_MIS_0_0_0_IBC,MIS_MIS_0_0_0_HC,
123,NL,2009,GNS_DEF_0_0_0_all,MIS_MIS_0_0_0_HC,
124,NL,2009,GNS_DEF_all_0_0_all,GNS_DEF_120-219_0_0_all,
125,NL,2009,GTR_DEF_100-119_0_0_all,GNS_DEF_120-219_0_0_all,
126,NL,2009,GTR_DEF_90-99_0_0_all,GNS_DEF_120-219_0_0_all,
127,NL,2009,OTB_DEF_0_0_0_all,GNS_DEF_120-219_0_0_all,
128,NL,2009,OTB_DEF_90-119_0_0_all,OTB_DEF_100-119_0_0_all,
