Vessel_length,Fcube_vessel_length
#N/A,all
.,all
_FDF,FDF
<10,<10
<10_FDF,FDF
<10m,<10
>=40,>=40
>=40_FDF,FDF
>=402,>=40
>40,>=40
10,<10
10<12_FDF,FDF
10<24,10-24
10<24_FDF,FDF
1015,10-24
10-24,10-24
12<18_FDF,FDF
1224,10-24
18<24_FDF,FDF
24<40,24-40
24<40_FDF,FDF
2440,24-40
24-40,24-40
40,>=40
all,all
All,all
ALL,all
all_FDF,FDF
ALL_FDF,FDF
FDF,FDF
NA,all
NA_FDF,FDF
nne,all
,all
>=10,10-24
o40,>=40
u10,<10
