Metier,Mesh_size,Fcube_metier
BEAM,>=120,BT1
SMALL_BEAM,>=120_0_0,BT1
TBB,>= 120_0_0,BT1
BEAM,80-89,BT2
SMALL_BEAM,100-119,BT2
TBB,70-99_0_0,BT2
-999,70-99,BT2
-999,100-119_0_0,BT2
OTTER,>=120,TR1
OTB,100-119,TR1
OTT,>=120_0_0,TR1
PTB,>= 120_0_0,TR1
DEM_SEINE,>=120_0_0-FDF,TR1
SDN,>=100_POK,TR1
SSC,>=110_0_0,TR1
SCC,100-119_0_0,TR1
-999,100-119_1_120,TR1
OTTER,70-79,TR2
OTB,80-89,TR2
OTT,90-99,TR2
PTB,70-99,TR2
DEM_SEINE,70-99_0_all,TR2
SDN,70-99_0_0,TR2
SSC,70-99_0_0-FDF,TR2
SCC,90-119_0_0,TR2
-999,90-119_0_0-FDF,TR2
-999,>=90_0_0,TR2
OTTER,70-89_2_35,TR2_grid
OTB,-999,TR2_grid
OTT,-999,TR2_grid
PTB,-999,TR2_grid
DEM_SEINE,-999,TR2_grid
SDN,-999,TR2_grid
SSC,-999,TR2_grid
SCC,-999,TR2_grid
OTTER,32-54,OTB32-69
OTB,55-69,OTB32-69
OTT,32-69_0_0,OTB32-69
PTB,32-69_2_22,OTB32-69
DEM_SEINE,-999,OTB32-69
SDN,-999,OTB32-69
SSC,-999,OTB32-69
SCC,-999,OTB32-69
OTTER,16-31,TR3
OTB,16-31_0_0,TR3
OTT,-999,TR3
PTB,-999,TR3
DEM_SEINE,-999,TR3
SDN,-999,TR3
SSC,-999,TR3
SCC,-999,TR3
GILL,NA,GN1
GNS,NA,GN1
TRAMMEL,NA,GT1
GTR,NA,GT1
LONGLINE,NA,LL1
longlines,NA,LL1
LLS,NA,LL1
LHP,NA,LL1
LTL,NA,LL1
OTHER,NA,OTH
NK,NA,OTH
-1,NA,OTH
N/A,NA,OTH
MIS,NA,OTH
ZZZ,NA,OTH
NONE,NA,OTH
OTH,NA,OTH
UNKNOWN,NA,OTH
DREDGE,NA,OTH
DRB,NA,OTH
DEMHC,NA,OTH
HMD,NA,OTH
BEAM,NA,beam_oth
TBB,NA,beam_oth
SMALL_BEAM,NA,beam_oth
PEL_TRAWL,NA,pelagic
PEL_SEINE,NA,pelagic
DEMIBC,NA,pelagic
PEL,NA,pelagic
OTM,NA,pelagic
PTM,NA,pelagic
OTTER,NA,otter_oth
OTB,NA,otter_oth
SSC,NA,otter_oth
SDN,NA,otter_oth
DEM_SEINE,NA,otter_oth
POTS,NA,pots
FPO,NA,pots
FYK,NA,pots
