IC_area,Fcube_area
IIIaN,3AN
IV,4
IVa,4
Ivb,4
IV5,4
IVa10,4
IVa7,4
IVa9,4
IVb6,4
IVb8,4
IVb32,4
IVb33,4
IV32,4
VIId,7D
VIa,6A
VIa11,6A
VIa12,6A
VIa13,6A
27.3.a,3AN
27.3.a.20,3AN
27.4,4
27.4.a,4
27.4.b,4
27.4.c,4
27.4.outFU,4
27.6.a,6A
27.7.d,7D
FU.10,4
FU.34,4
FU.5,4
FU.7,4
FU.8,4
FU.9,4
FU.6,4
FU.11,6A
FU.12,6A
FU.13,6A
