stock,year,catch,landings,Fbar,ssb
COD-NS,2019,37616,33385,0.64,65581
COD-NS,2020,17679,15132,0.29,55725
COD-NS,2021,14755,12632,0.162,78300
COD-NS,2022,,,,112758
HAD,2019,36453,30743,0.177,238515
HAD,2020,41896,28796,0.197,210875
HAD,2021,69280,49061,0.194,206064
HAD,2022,,,,471256
NEP10,2021,46,46,0.0193,NA
NEP32,2021,381,379,0.0141,NA
NEP33,2021,956,956,0.075,NA
NEP34,2021,566,530,0.038,NA
NEP5,2021,1570,1031,0.048,NA
NEP6,2021,2310,2093,0.081,NA
NEP7,2021,9579,9434,0.075,NA
NEP8,2021,3931,3514,0.163,NA
NEP9,2021,1180,1172,0.118,NA
NEPOTH-NS,2021,301,301,NA,NA
PLE-EC,2019,9047,2836,0.3,36963
PLE-EC,2020,9836,4129,0.3,38830
PLE-EC,2021,8402,3424,0.25,38191
PLE-EC,2022,,,,39205
PLE-NS,2019,85871,48745,0.166,1052312
PLE-NS,2020,111959,57634,0.166,1253492
PLE-NS,2021,162607,87576,0.21,1302883
PLE-NS,2022,,,,1374316
POK,2019,96634,92390,0.46,196167
POK,2020,80363,75639,0.46,166726
POK,2021,65687,61056,0.363,151404
POK,2022,,,,164624
SOL-EC,2019,,,,
SOL-EC,2020,,,,
SOL-EC,2021,,,,
SOL-EC,2022,,,,
SOL-NS,2019,10607,8658,0.27,28244
SOL-NS,2020,17545,14680,0.26,34569
SOL-NS,2021,21361,19314,0.207,88012
SOL-NS,2022,,,,86119
TUR,2019,3275,3045,,8218
TUR,2020,,3402,0.36,8393
TUR,2021,3948,3514,0.36,9161
TUR,2022,,,,9449
WHG-NS,2019,31195,18883,0.21,154803
WHG-NS,2020,31080,17926,0.21,169979
WHG-NS,2021,26304,14487,0.172,180147
WHG-NS,2022,,,,185094
WIT,2019,2796,2580,0.2,5993
WIT,2020,2472,2375,0.2,5644
WIT,2021,1733,1681,0.154,5490
WIT,2022,,,,5476
