stock,year,catch,discards,discards.dead,discards.surviving,landings,Fbar,ssb,Recruitment
cod.27.7e-k,2020,1055,250,,,805,0.477,1587,1640
cod.27.7e-k,2021,0,0,,,0,0,2943,
cod.27.7e-k,2022,,,,,,,6078,
had.27.7b-k,2020,20274,11084,,,9190,0.41,66169,351066
had.27.7b-k,2021,18382,8612,,,9770,0.353,71323,
had.27.7b-k,2022,,,,,,,70434,
whg.27.7b-ce-k,2020,8774,1836,,,6938,0.495,31034,568878
whg.27.7b-ce-k,2021,5261,1046,,,4215,0.268,32108,
whg.27.7b-ce-k,2022,,,,,,,37494,
hke.27.3a46-8abd,2020,103027,5968,,,97059,0.263,334525,308019
hke.27.3a46-8abd,2021,98657,5835,,,92821,0.26,257712,
hke.27.3a46-8abd,2022,,,,,,,249402,
meg.27.7b-k8abd,2020,20350,3149,,,17201,0.21,123589,223393
meg.27.7b-k8abd,2021,19184,2730,,,16454,0.191,111674,
meg.27.7b-k8abd,2022,,,,,,,115734,
mon.27.78abd,2020,24343,1480,,,22863,0.22,68952,32000
mon.27.78abd,2021,34579,1479,,,33100,0.28,72213,
mon.27.78abd,2022,,,,,,,80416,
sol.27.7e,2020,1478,6,,,1472,0.2,6329,4101
sol.27.7e,2021,1925,7,,,1918,0.29,6589,
sol.27.7e,2022,,,,,,,5895,
sol.27.7fg,2020,1652,123,,,1529,0.296,6293,5187
sol.27.7fg,2021,1413,105,,,1308,0.251,6197,
sol.27.7fg,2022,,,,,,,6009,
nep.fu.16,2019,,,,,,,1010,
nep.fu.16,2020,2637,0,0,0,2637,0.062,1010,
nep.fu.16,2021,3290,0,0,0,3290,0.062,1264,
nep.fu.17,2019,,,,,,,493,
nep.fu.17,2020,800,107,80,27,694,0.078,493,
nep.fu.17,2021,508,72,54,18,436,0.062,394,
nep.fu.19,2019,,,,,,,386,
nep.fu.19,2020,839,203,152,51,636,0.084,386,
nep.fu.19,2021,595,156,117,39,439,0.069,320,
nep.fu.2021,2019,,,,,,,617,
nep.fu.2021,2020,1150,215,161,54,935,0.06,617,
nep.fu.2021,2021,1710,281,211,70,1430,0.06,1020,
nep.fu.22,2019,,,,,,,1121,
nep.fu.22,2020,2820,368,276,92,2452,0.128,1121,
nep.fu.22,2021,1560,188,141,47,1371,0.097,750,
nep.out.7,2019,,,,,,,,
nep.out.7,2020,188,,,,188,,,
nep.out.7,2021,150,,,,150,,,
