expected,standard,ICES,FU,ecoregion
-1,NA,NA,NA,NA
27.1,NA,27.1,NA,NA
27.1.a,NA,27.1.a,NA,NA
27.1.b,NA,27.1.b,NA,NA
27.10.b,NA,27.10.b,NA,NA
27.12,NA,27.12,NA,NA
27.12.a,NA,27.12.a,NA,NA
27.12.b,NA,27.12.b,NA,NA
27.12.c,NA,27.12.c,NA,NA
27.2.a,NA,27.2.a,NA,NA
27.2.b,NA,27.2.b,NA,NA
27.3.20,3AN,27.3.20,NEP3A,NorthSea
27.3.a,3AN,27.3.a,NEP3A,NorthSea
27.3.a.20,3AN,27.3.a.20,NEP3A,NorthSea
27.3.a.21,NA,27.3.a.21,NA,NA
27.3.b.23,NA,27.3.b.23,NA,NA
27.3.c.22,NA,27.3.c.22,NA,NA
27.3.d,NA,27.3.d,NA,NA
27.3.d.24,NA,27.3.d.24,NA,NA
27.3.d.25,NA,27.3.d.25,NA,NA
27.3.d.26,NA,27.3.d.26,NA,NA
27.3.d.27,NA,27.3.d.27,NA,NA
27.3.d.28,NA,27.3.d.28,NA,NA
27.3.d.28.,NA,27.3.d.28.,NA,NA
27.3.d.28.2,NA,27.3.d.28.2,NA,NA
27.3.d.29,NA,27.3.d.29,NA,NA
27.3.d.30,NA,27.3.d.30,NA,NA
27.3.d.31,NA,27.3.d.31,NA,NA
27.3.d.32,NA,27.3.d.32,NA,NA
27.4,4,27.4,NEPOTH-NS,NorthSea
27.4.a,4,27.4.a,NEPOTH-NS,NorthSea
27.4.b,4,27.4.b,NEPOTH-NS,NorthSea
27.4.c,4,27.4.c,NEPOTH-NS,NorthSea
27.4.outFU,4,27.4,NEPOTH-NS,NorthSea
27.4outFU,4,27.4,NEPOTH-NS,NorthSea
27.5.b,NA,27.5.b,NA,NA
27.5.b.1,NA,27.5.b.1,NA,NA
27.5.b.2,NA,27.5.b.2,NA,NA
27.6,27.6,27.6,NA,IberianWaters
27.6.a,6A,27.6.a,NEPOTH-WS,NorthSea
27.6.a.outFU,6A,27.6.a,NEPOTH-WS,NorthSea
27.6.a11,6A,27.6.a,NEP11,NorthSea
27.6.a12,6A,27.6.a,NEP12,NorthSea
27.6.a13,6A,27.6.a,NEP13,NorthSea
27.6.aNotFU,6A,27.6.a,NEPOTH-WS,NorthSea
27.6.b,NA,27.6.b,NA,NA
27.6.b.1,NA,27.6.b.1,NA,NA
27.6.b.2,NA,27.6.b.2,NA,NA
27.6.bNotFU,NA,27.6.b,NA,NA
27.7,7,27.7,NEPOTH-CS,CelticSea
27.7.a,7A,27.7.a,NEPOTH-IS,IrishSea
27.7.a14,7A,27.7.a,NEP14,IrishSea
27.7.a15,7A,27.7.a,NEP15,IrishSea
27.7.b,7B,27.7.b,NEPOTH-CS,CelticSea
27.7.b17,7B,27.7.b,NEP17,CelticSea
27.7.c,7C,27.7.c,NEPOTH-CS,CelticSea
27.7.c.1,7C,27.7.c,NEPOTH-CS,CelticSea
