length,2003_1,2003_2,2003_3,2003_4,2004_1,2004_2,2004_3,2004_4,2005_1,2005_2,2005_3,2005_4,2006_1,2006_2,2006_3,2006_4,2007_1,2007_2,2007_3,2007_4,2008_1,2008_2,2008_3,2008_4,2009_1,2009_2,2009_3,2009_4,2010_1,2010_2,2010_3,2010_4,2011_1,2011_2,2011_3,2011_4,2012_1,2012_2,2012_3,2012_4,2013_1,2013_2,2013_3,2013_4,2014_1,2014_2,2014_3,2014_4,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4
73,,,,,,5.76833,5.64307,,,5.76833,,,,,,,5.88329,,,,,,,,,,,,,5.44868,,,,5.76833,,5.6282,,,,5.449545929,5.88329,,5.64307,,,,,,,,,,,,5.44868,,,,,,,,,,,,,
74,6.12839,,,,,,5.87817,,,,,,,,,,6.12839,,,,,6.00865,5.87817,,5.658171126,5.658171126,5.658171126,5.658171126,,,,,,,,5.86268,,,5.87817,5.86268,,,5.87817,,,,,,,,,,5.658171126,5.658171126,5.666287876,5.658171126,,,,,,,,,,,,
75,,,,,,6.25555,6.1197,,,6.25555,,,,,,,6.38021,,,,,6.25555,,,5.876454681,5.876454681,5.876454681,5.88811833,,5.89153,,,,,,6.10358,,,,5.89153,6.38021,6.25555,6.1197,,5.876454681,5.876454681,5.876454681,5.876454681,,,,,,,5.89153,,,,,,,,,,,,,
76,6.63884,,6.36777,,,6.50912,6.36777,,,,,,,,,,,,6.36777,,,6.50912,,,6.100100059,6.100100059,6.100100059,6.100100059,,6.196310306,,,,6.50912,,,,6.50912,6.36777,6.123713077,,,6.36777,,,,,,,,,,6.100100059,6.100100059,6.110417831,6.100100059,,,,,,,,,,,,
77,6.90436,,,,,6.76946,6.62245,,,,,,,6.76946,,,,,,,,,,,6.714318719,6.329165812,6.329165812,6.329165812,,,,,,,6.62245,6.605,,6.76946,,,,,6.62245,,,,,,,,,,6.329165812,6.329165812,6.335207343,6.329165812,,,,,,,,,,,,
78,,,,,,,,,,,,,,7.03664,,,,,6.88383,,,7.03664,,,,,,6.59893,,,,,,,,,,7.03664,6.88383,6.59893,,,6.88383,,,,,,,,,,6.563710354,6.563710354,6.577669776,6.563710354,,,,,,,,,,,,
79,,,,,,,,,,,,,,7.31077,,,7.45646,,,,,,7.15201,,6.803791964,6.803791964,6.803791964,6.803791964,,6.8465,,,,,,,,7.31077,,6.8465,7.45646,,7.15201,,,,,,,,,,6.803791964,6.803791964,6.803791964,6.803791964,,,,,,,,,,,,
80,,,,,,,7.42705,7.40749,,7.59192,,,,,,,7.74322,,,,,7.59192,,,,,,7.10006,,,,,,7.59192,,,,,7.42705,7.10006,,7.59192,7.42705,,,,,,,,,,7.049468785,7.049468785,7.066584576,7.049468785,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,7.300798828,7.300798828,7.300798828,7.332325446,,,,,,,,,,7.88019,7.70906,,,,7.70906,,,,,,,,,,,,7.35969,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17567,,7.634150969,,,7.99812,7.97705,,,,,,,,,7.557839975,7.557839975,7.612346966,7.557839975,,,,,,,,,,,,
