"year","landings","discards"
2002,21411.00977,0
2003,27294.46309,2510.81717065908
2004,28424.001256,2410.55622262092
2005,27380.359394,2110.33805551535
2006,27234.393264,892.252805814245
2007,30784.646864,816.318968103775
2008,26762.91671,993.067439717175
2009,21617.48873,2077.85672593489
2010,22037.9459,2671.61031678836
2011,24422.539504,1831.62729692083
2012,27893.470833,2330.43764736418
2013,30341.577446,1684.48173080583
2014,28221.70624,1858.62401610518
2015,27624.349524,2324.19702637316
2016,28754.661754,3585.1072150189
2017,25323.05708,2174.83467405359
2018,22344.81308,1249.80508636413
2019,21266.21357,1443.73968295436
2020,20155.77051,1334.99602785456
