Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
UK (England),2,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,1140,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2020,mon.27.78abd,27.7.e,MIS_MIS_0_0_0_HC,-9,NA,9171,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,13204,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,80,BMS landing,"A-All - reported, nonre",Imported
France,1,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0,2684843,kWd,1723.59,Landings,R-Reported,Imported
France,4,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0,3737760,kWd,1719.9,Landings,R-Reported,Imported
France,1,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,700078,kWd,6078.91,Landings,R-Reported,Imported
France,1,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,700078,kWd,2888.06,Discards,R-Reported,Imported
France,4,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,1043565,kWd,4524.34,Landings,R-Reported,Imported
France,3,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,1302115,kWd,5104.82,Landings,R-Reported,Imported
France,3,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,1302115,kWd,0,Discards,R-Reported,Imported
France,3,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0,1562886,kWd,3476.95,Landings,R-Reported,Imported
France,2,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0,1777913,kWd,2954.19,Landings,R-Reported,Imported
France,2,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,764547,kWd,5206.25,Landings,R-Reported,Imported
UK (England),1,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,10193,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,280,BMS landing,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,2981,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2020,mon.27.78abd,27.7.d,MIS_MIS_0_0_0_HC,-9,NA,160,BMS landing,"A-All - reported, nonre",Imported
Belgium,2,Quarter,2020,mon.27.78abd,27.7.d,SSC_DEF_70-99_0_0_all,6000,kWd,30,Landings,R-Reported,Imported
Belgium,4,Quarter,2020,mon.27.78abd,27.7.d,OTB_DEF_32-69_0_0_all,22128,kWd,9,Landings,R-Reported,Imported
Belgium,2,Quarter,2020,mon.27.78abd,27.7.d,SSC_DEF_32-69_0_0_all,10800,kWd,14,Landings,R-Reported,Imported
Belgium,4,Quarter,2020,mon.27.78abd,27.7.d,SSC_DEF_32-69_0_0_all,10800,kWd,21,Landings,R-Reported,Imported
