discards.n
Discards numbers at length (thousands); mon78

year,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
quarter,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4

length,2003_1,2003_2,2003_3,2003_4,2004_1,2004_2,2004_3,2004_4,2005_1,2005_2,2005_3,2005_4,2006_1,2006_2,2006_3,2006_4,2007_1,2007_2,2007_3,2007_4,2008_1,2008_2,2008_3,2008_4,2009_1,2009_2,2009_3,2009_4,2010_1,2010_2,2010_3,2010_4,2011_1,2011_2,2011_3,2011_4,2012_1,2012_2,2012_3,2012_4,2013_1,2013_2,2013_3,2013_4,2014_1,2014_2,2014_3,2014_4,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,22106.8009282635,19623.5093115849,23630.9672270104,9625.12729512034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293051.691513236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,9959.39978072125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770.014191954505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517.87375507001,0,0,0,0,0,0,1634115.49130959,0,453.855557649274,1004.9176776943,334.417258513743,343.910495434732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,4785.79522115269,0,0,29981.9061314341,21263.3441060897,36257.7499979218,23021.8002478813,0,0,0,0,1217.7348954084,0,0,0,0,0,0,0,6315.4131032834,9563.59517895472,8511.57902839172,5991.53110256511,0,0,0,0,0,0,0,0,835.107895567374,1669.07073102891,1369.82765291689,458.484796468964,0,0,461908.821099171,0,512.916120401309,1135.68076174873,377.944278369267,388.661206800586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941.207318337034,1383.99088649568,1307.00446265559,1128.13369708402
8,797.891490016671,5587.0511115337,4263.82725137096,2367.02693757097,0,0,0,0,38373.9594311647,37282.3483608959,15383.9694668216,15140.1648602229,32709.1395226346,29034.8178771574,34964.2683645997,14241.2059294813,17343.3195708065,16363.1023652168,4479.83520950675,18835.8314176008,0,0,0,440.0100488701,2131.67554782942,1525.4409761862,672.404427408686,685.077932901048,15769.9960231087,6455.29813072202,5857.63224186636,6075.08871832521,256.05710539294,595.942547281797,1787.7082988694,159.005360255229,0,0,0,0,0,0,0,0,0,0,84428.588753598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2459.13949624022,191.160060537202,1805.6042997982,0,0,0,0,0,0,0,0
9,1658.84508063667,11615.7800779034,8864.71978591157,4921.16664862788,11952.1662661264,15572.5959720562,13588.9863056711,6612.75347568301,20417.6259711782,24812.3131496776,8185.34597893217,8055.62490397995,6476.56208827224,5749.05034180678,6923.11416657026,2819.84834776476,5920.01189019073,5968.02658012912,1581.13078268548,6401.8169073316,0,713.784620987355,0,0,5092.0922521751,15861.358359063,2296.06560746803,1636.48125865781,10526.4886652236,10278.8839741327,24103.6096734307,10018.9639546166,855.104692321182,1990.01391252814,391.278515743258,530.933993685231,0,6463.1177314813,230.005206934711,3517.87375507001,1738.62218390456,4092.18044806497,2851.79223157073,954.545660482876,10232.9670483011,7448.21817240426,69116.8654748486,2309.28454529457,1764.47231141219,3906.80033770004,8421.99597732387,1337.00805332717,0,244.929356618566,0,0,385.496194448359,305.545428270595,1720.03976663694,14462.1630348,150.306670458292,157.087742538721,99.4418568805682,9562.6022291513,0,0,0,0,465.497305957533,912.774732993492,436.014255837837,761.810323743395
10,11715.7134988845,50899.2200847713,38921.7455162383,28440.7366777676,39465.125620967,45476.0593461968,46479.9498853613,28311.5382343103,43559.3642737062,44274.1148901739,17462.7778815192,17186.0283923378,13448.8886056927,9538.03087147593,16264.0239975889,10326.8159695707,11163.2974546982,11604.7102427409,2843.18695916328,12617.2785832485,18991.4473902768,26138.4713911637,8825.60575280671,8874.14126051057,4694.12404225632,17269.6510819695,1480.70270864406,1508.58639429919,11077.5863483468,15105.1851111139,44900.9715430624,11351.8473124312,51687.039135667,26339.6647336202,14106.5203390494,12292.6315845171,14119.8451363411,20347.5181005027,25972.2750465039,27668.6750700659,22863.2343967555,124.89766159405,92.0755515436144,55.5965590048822,3474.0668315622,16361.1276080429,1070.12135217643,1425.47442634266,6564.98146873014,11557.3848041274,3802.0841133738,3910.01541149021,14330.5744692484,15105.8791197706,5487.39422998642,8464.65634207712,18290.7211591191,14429.5220675826,35079.6505128606,30826.6812655992,412.922441630283,419.730676500955,495.325750172257,20664.6929869841,748.227785687289,2742.16838922128,723.034390973415,2211.73727772419,744.749847594479,1102.14420351346,697.877170178711,865.338599216674
