length,2003_1,2003_2,2003_3,2003_4,2004_1,2004_2,2004_3,2004_4,2005_1,2005_2,2005_3,2005_4,2006_1,2006_2,2006_3,2006_4,2007_1,2007_2,2007_3,2007_4,2008_1,2008_2,2008_3,2008_4,2009_1,2009_2,2009_3,2009_4,2010_1,2010_2,2010_3,2010_4,2011_1,2011_2,2011_3,2011_4,2012_1,2012_2,2012_3,2012_4,2013_1,2013_2,2013_3,2013_4,2014_1,2014_2,2014_3,2014_4,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4
12,128809.6489,223545.0879,173598.9388,120407.5872,175913.2528,192361.852,205952.9149,98189.79952,328102.8229,279783.8411,145264.1629,130590.7941,36835.10453,24923.02008,47739.85926,29369.32973,14452.80444,14627.63991,10798.13747,15722.98149,59977.28645,78183.03168,30702.06655,33976.66706,68189.55133,38835.36111,29458.79153,31718.25543,76937.7584,65882.02517,143501.2173,106519.8094,16317.65773,29551.44977,12439.07265,9942.010552,28827.24087,50927.39055,57750.49628,48409.21107,144276.8452,5944.846824,17103.52011,1810.589481,41454.09258,95684.99707,1024946.026,5427.450439,7293.740529,19113.33028,13555.54446,5221.502773,9108.616418,9281.974087,7432.538762,5261.249791,22215.40915,15580.69893,45650.97634,21411.30116,7891.047229,8159.072816,12550.85542,39012.71699,1116.378798,194.1585814,1620.868821,1599.851581
13,106037.081,414141.3995,322613.2527,250178.1322,301412.4983,332784.3234,357514.6326,267054.3043,465447.1614,394496.9522,195799.4265,187676.4947,30554.36616,25539.60904,36292.52584,18341.89994,46944.30266,52248.69147,13968.15599,49496.01597,83575.16567,107024.2624,67700.31985,46155.45193,227881.0633,102070.3397,131168.6057,92373.11704,128347.1149,115482.8114,145231.5241,197181.7668,87553.4582,144633.5336,43875.4462,51871.86736,83821.02485,138855.9494,182604.0111,96993.64375,180339.9179,8042.156738,24674.20927,23415.48185,57318.55038,36784.61942,548150.7148,32395.22034,15686.21777,17678.13054,16750.45484,7746.479377,17746.80292,9524.673135,6032.432131,19421.62188,28812.44163,21089.55619,54157.32374,67078.42795,34052.3235,35289.94695,49320.5378,51909.08904,38192.87312,10359.90951,6888.453289,2004.859428
14,115496.6822,435683.5107,344770.7855,270435.2534,296951.7491,339241.8332,374205.2499,466189.4655,345049.4484,293408.6356,172970.5613,142948.0129,41402.21034,19716.46163,38386.6737,31855.51735,9054.071233,5868.386745,208063.6367,5474.065955,91036.10562,116090.4218,67306.1939,58683.61231,245609.9639,115456.6315,142525.29,109214.5291,173582.2176,169322.2082,194701.0903,401663.3003,294928.3242,206646.4003,85333.61926,135302.2166,112723.6556,191444.9187,248013.1663,162134.4719,172796.9065,14195.1483,52305.03805,55189.86936,81541.54565,89255.53584,298264.9038,25368.81795,9803.43326,23451.58148,14594.8259,14038.96508,47004.33282,43146.42654,18691.09885,97498.90514,50292.89646,27646.20886,93613.38112,129039.0722,63655.78675,67369.6392,72348.47064,84761.55287,19559.79215,31729.07658,10552.83001,14788.55584
15,197305.3812,694037.3658,557395.8279,450483.1925,550949.3873,627091.5266,666296.1297,662485.1305,125953.0075,108834.3261,76619.12482,56260.41332,77978.08329,37136.83403,64816.75399,43333.52726,10033.526,8468.385222,544105.5157,51412.74227,53981.01457,68404.483,50382.96148,64049.80914,315264.1566,152380.6187,263729.6873,158327.4501,359748.0011,319477.3731,324125.6677,543363.7598,280090.269,162755.2493,45047.92007,71642.24769,54632.81495,93830.13862,116192.5332,90822.74438,170064.0329,19602.85494,78673.44886,56209.59984,72158.00539,48261.88515,408103.6904,70123.71169,79273.47345,32912.73381,62747.75438,55036.7638,14390.46117,18113.2632,17531.4721,109231.7951,65032.49139,34007.49255,118847.4359,89780.86741,85474.29366,86759.17759,119320.4438,112058.8911,38313.4216,37736.28196,15902.06205,60914.5759
16,426698.874,543146.9536,436875.67,333988.1171,1023246.732,1170420.416,1203507.396,1366056.785,90742.1254,73826.80011,42023.6018,43604.06722,83329.50104,61614.16763,67747.68425,41539.93587,27962.57881,17984.12097,390718.53,87348.00245,192736.6492,246477.2989,180267.0228,170921.9178,488803.2207,225266.8049,357100.3368,229489.8917,475872.1398,359927.1221,363764.6728,562661.0958,570963.8645,233207.6722,32071.99799,109495.3311,108369.311,175387.4766,218134.0527,172498.2211,109021.7905,66448.82548,76692.01056,81617.39127,54347.68217,67898.85272,413963.779,164887.0583,185275.0788,37270.68368,29413.84403,68660.99333,26072.74494,15314.98683,13261.35689,114566.2381,90683.68139,44588.94284,98607.85919,177681.4484,78086.86126,81271.16472,137221.634,103816.7365,42228.7127,18310.53792,17545.98592,75812.69784
17,667308.8242,551371.5261,414407.3931,345206.0185,731696.1404,863184.4394,877647.0794,1166242.097,222366.8382,161961.4018,78266.23471,92601.01696,187534.8822,100359.8544,148557.1424,102531.4283,44367.15877,49451.82892,9359.282498,51731.26071,215350.9749,281939.4833,189416.296,166538.4347,207921.5555,94615.61427,315974.8557,150646.1581,416507.3841,304939.3119,284351.7125,448783.7956,409515.699,303907.8417,41824.43743,89384.18786,70928.51174,117107.6959,131147.8113,169328.6672,103271.3204,38396.0702,68517.00569,171113.7003,51808.43335,58303.22754,225036.9214,93082.40983,131650.3471,63614.01701,100970.9014,152924.2988,62019.47105,47769.1798,40772.20368,82956.2231,73062.53025,39788.71122,91715.05145,228603.619,94239.82725,79253.52689,144914.0901,97260.39959,55510.31207,37687.92095,18157.47615,93784.8238
18,598837.1275,602042.2624,451985.4679,402091.2485,562282.7278,674582.8898,677167.7622,964009.5088,287729.0956,223279.5007,98425.11307,121001.0129,105300.4657,84304.72948,79339.99655,64022.54762,50120.75767,62786.79175,62241.72853,68651.48733,188669.0554,232556.2461,264323.447,141115.9618,162556.292,102859.4395,218610.7649,166786.7068,386032.0518,266622.7733,264541.5066,365109.5015,561796.7507,208655.8224,28523.40371,179218.7159,172966.0165,113435.006,131204.0644,108768.4248,88073.71663,36281.75164,46148.05051,138690.8692,74361.75752,108020.1863,143788.5511,117440.1401,52824.34202,78148.08586,78349.66808,158694.3705,38587.0035,25966.02961,37685.89667,96924.11221,86017.96237,39807.70758,69775.45322,259935.6349,70542.64406,71650.95442,147919.272,137558.5172,70096.05178,46184.68716,23395.22726,128382.8059
19,621253.641,396197.6141,291804.4368,248995.3974,306574.7079,399231.8939,388148.4203,367927.0793,155157.8847,120077.2786,45228.71599,66483.80641,156495.1817,138959.2731,120925.8841,76963.43188,90950.44461,73095.17533,16897.04248,172571.5928,113630.9671,137205.047,205561.1834,102992.2985,289802.5031,117530.5043,374447.3299,232624.115,360106.8506,205421.3495,179785.7035,293828.509,334972.8495,304254.2529,36011.66828,56449.47665,110409.5986,117185.547,105030.2186,123080.8503,75385.7316,103311.2582,39854.8119,98259.79376,240142.2907,75989.04347,78179.25223,170197.5037,147015.278,46452.55454,78939.97949,228133.9463,54161.19502,42586.7485,15349.98297,115474.4741,125179.5805,57314.55753,109323.4843,232621.3007,85608.85573,78332.12646,200390.8092,139517.3326,74616.25926,98174.10032,34231.73335,150047.2123
20,543127.34,197346.6078,130689.4033,103836.0584,155788.9701,202163.745,196239.8502,240073.5486,274219.0228,188869.8803,66480.56583,108716.5891,86847.14727,77651.3414,52773.32205,44979.67602,63123.1821,65096.14116,27346.76669,73022.63782,29336.97256,30136.37303,99872.19369,81460.463,156651.7186,83674.51045,305714.5769,120744.9161,349311.6075,188586.6443,147630.5562,222266.8595,388768.4385,193712.5463,34018.43765,83902.37609,80398.44963,100660.5416,83631.41852,183658.81,124797.9952,130616.1579,39877.39809,169943.4099,93906.35644,103848.1787,333392.5032,94548.2786,69545.79744,53628.26013,67551.25503,149487.3343,98353.03199,57556.38652,40584.31119,80048.58904,102791.3043,50634.21587,75876.62952,218222.3397,67239.4305,80708.56365,152109.7872,127227.5331,130884.7032,106127.3202,53055.92143,180133.9472
21,629613.5454,123916.3133,77045.21318,65328.63733,123734.2039,162017.3978,151631.8609,163090.0215,293346.3513,253546.0437,84522.7928,110103.2513,144051.2779,135072.0249,134166.1326,93209.12568,36181.52265,34696.4687,87136.12241,61263.95705,84194.58291,98946.12107,216213.1664,92761.39858,48049.59972,32866.55172,207583.8464,158371.0381,265481.03,199040.2462,132268.6653,162824.974,405909.7528,152745.2993,33439.20136,77059.3076,125579.3454,77389.00882,64488.65484,245982.3897,130749.5525,60633.8968,44596.67417,94279.4579,137043.4336,95598.13296,166526.3067,144763.9758,93216.91904,87191.12648,86773.44837,112364.0794,82658.51656,60834.67623,25924.91866,34304.87306,133720.9393,64608.79849,103919.53,224724.7351,70247.47172,68951.1445,101773.1336,157656.6462,85821.32041,72797.03162,48393.89379,122489.9074
22,302303.4536,84805.10239,51920.11202,39407.29866,124544.4855,144861.6588,142372.7836,107820.1621,329639.7361,250875.2941,79554.4316,116820.4214,100446.2762,89198.06666,118800.1208,74349.74386,32232.9962,32387.11399,26869.43148,44882.2387,68400.44845,64528.61541,90575.85203,136581.5131,152298.2489,126012.1485,205641.8768,153684.0221,247659.5374,199445.0472,150777.7381,161127.2428,253082.5374,229124.6377,92153.36053,145735.984,179480.0809,69522.83545,54844.11266,152938.7371,117275.2134,62931.96223,46585.85337,69978.2358,53697.36889,95476.48899,46781.44669,96503.61357,165947.5667,56026.25326,79976.33319,112992.3461,72827.84324,39463.83828,22099.43146,75774.36423,90531.29051,56101.79259,70354.14448,250557.5417,78985.04088,88195.79764,92351.49158,151415.9619,183986.8513,83466.12079,51633.13408,101781.6349
23,105087.5273,104343.5049,64429.62099,44402.50054,45339.17984,65014.45779,59513.48923,61849.74281,150866.7229,173191.5315,62897.68602,66636.63673,119191.6029,116529.3149,126749.8133,81160.77602,38787.4493,45038.43582,48783.74983,88374.0614,61842.24517,61318.3354,70520.50557,79352.46084,52670.33302,157083.8574,68988.55263,124154.8014,177373.642,220126.651,134762.5367,115861.062,70720.43294,195224.8563,180552.3777,150050.188,83524.2288,58249.32939,37185.47253,215535.1062,128979.1604,75925.6444,59748.42569,64979.10189,46249.27614,70384.95459,59036.23966,99810.70251,103506.9905,100371.2233,76456.2853,107727.9371,94356.04107,62374.80368,19649.93334,36904.45466,81942.27854,63627.59022,64046.60807,168618.711,48290.54963,85225.08519,57287.67918,157254.2087,94669.63766,107468.2378,60292.08705,79412.54392
24,30209.47777,88687.34539,52246.80297,36268.34423,32623.43954,45728.46461,40037.19527,37909.90802,98528.88,184107.82,80095.51966,79801.52483,102546.9433,129061.9942,109127.0058,56586.93199,74777.90262,55739.41248,20265.35371,75010.70338,61732.246,41356.34496,108242.1989,58749.67111,104404.716,132690.1508,69176.22023,64855.81235,195589.9206,196089.1411,106785.5897,101429.5613,139226.5236,154019.2876,57530.85802,104189.8316,62133.11887,82138.39678,71333.11718,204396.7456,188011.1331,68484.66015,58380.33192,77861.58907,50774.79165,89511.7985,44524.70332,51719.23328,122887.6073,85283.03647,74401.01008,67242.74715,128079.9732,108612.6244,44549.77812,117146.9156,103418.2246,66965.4222,82112.07819,149789.0768,83459.32201,79672.63461,54135.91069,127694.805,175874.7813,129168.7466,71559.34954,83349.47837
25,99411.61228,72680.03437,43000.72508,35392.29551,32496.76107,47992.274,41822.302,40644.60849,145783.5798,198056.4115,85135.13627,89944.94999,73803.24819,74028.8655,96274.61785,36308.55082,22581.07049,25486.56119,39031.03138,27787.21673,81177.83539,25768.62458,53144.94615,47313.213,73676.23556,133288.707,17794.00217,66554.89265,188900.2977,180227.6919,93995.68436,76253.53393,134861.6743,145308.7982,67885.74592,138686.1059,63729.18488,50205.94799,44324.0687,91086.27808,184695.8097,59817.61145,50050.34011,85353.01539,79859.6151,95490.31168,34545.81986,69115.04544,167591.1732,81500.73206,57074.74561,68298.61786,52319.18531,41996.30433,11278.08922,35139.73399,107427.5386,75177.86079,79495.72026,156979.0923,69827.60034,71578.50587,37091.90165,135173.008,108829.1752,85203.24879,54517.98643,116745.2435
26,38693.7264,134205.2556,107025.1893,62718.31567,12990.1252,18792.55492,39716.5893,21057.08969,143607.6512,174994.215,83098.96949,128938.4889,45631.34622,54931.68838,35969.61152,38819.03612,47359.50009,35124.77064,17414.33338,38183.68525,37633.73101,13591.98404,12025.49409,41922.2959,126321.7959,168744.9248,41351.05168,81351.23309,128699.7995,154794.4643,85700.90241,58609.57052,38453.25274,95180.59062,72946.89793,259379.7356,68644.82002,36369.13319,35164.81053,84643.01041,101318.6077,53169.28074,47719.5085,33682.87101,30980.14123,78880.17368,40871.56524,87615.18331,220857.5111,90408.33002,86227.46054,65168.91846,63083.73394,59578.88547,26683.76714,33925.33086,102879.3207,71190.64645,93900.84519,56959.04496,69706.09163,56068.03191,41793.80895,80984.01984,113270.359,97139.2196,58519.11119,99995.41879
27,85512.64508,71844.2888,33671.73539,17914.41796,15925.83557,30673.7707,25065.97805,26231.88666,101717.7746,117926.5981,120095.5463,121596.9664,2748.065449,53848.69067,5962.502539,11726.27385,39725.73877,31901.42741,23128.3977,37461.84206,47549.7282,7639.791059,2115.162719,75203.88656,49083.55284,137021.5157,23752.32574,75030.87732,83096.2043,102342.838,104695.82,108418.6154,78066.97789,61663.56047,105311.549,82867.6742,129045.067,30723.00306,21393.06377,69556.43812,124889.5937,47823.24119,45267.67346,45575.96881,31123.14668,67722.72194,55975.90416,101580.5978,116174.1762,88150.75253,108677.2708,83428.62743,104009.7968,111097.8236,47381.6982,61838.12391,74725.31607,56776.62102,66835.82208,36122.05424,78908.53437,69041.78516,47686.66372,55601.82781,71721.2259,71133.26801,62357.37871,84239.25842
28,10524.69803,37418.2459,27418.35407,14518.37926,7686.470082,17734.1545,12725.09842,50480.49104,84891.86889,122823.1233,130493.9032,164411.1996,15060.21698,37118.26047,6811.855687,20857.85246,32369.35763,28879.16973,15515.30998,37157.18275,93761.69998,54638.85602,19046.09303,25561.09839,33734.71875,121946.0436,15070.95648,22016.44665,54741.61692,157567.7761,116823.3239,152783.8524,15478.49967,48838.99071,72827.28593,92110.22786,59786.66959,39648.89493,28816.54388,140485.7309,119671.6065,41151.37144,41134.14548,33549.81653,35260.68114,105249.4975,51504.37805,84841.72655,115001.6551,85987.78612,71550.21236,53678.53729,70278.05155,72728.67321,35783.79243,123781.2449,85886.27479,59517.93499,76679.72586,162951.8137,60108.8215,51129.48776,41432.06826,40692.43261,90568.11549,92257.51698,74860.14546,98585.1545
29,14830.89296,44546.06006,13962.94694,11689.23958,14566.15544,23317.38809,18783.8443,14296.81457,59236.77704,83717.99067,82340.20792,123102.2797,32306.76272,39946.20394,13999.43508,16141.65164,11409.57552,13398.47415,32760.42306,18007.00925,57918.5703,27512.61933,8891.720679,15225.69941,37521.69616,67812.04068,81358.22443,22985.82467,45936.04498,34355.44327,113010.4864,99612.84059,11050.44949,31265.3904,63466.48972,53854.48288,98726.99523,39972.67959,27379.43791,40117.14171,41768.03808,27401.90247,25645.26799,27925.34918,29193.90388,63785.7467,47683.53234,116857.0197,143410.7368,85979.92661,67542.38605,55509.90215,73775.17658,77535.90849,32027.53312,129732.4198,71381.04035,53696.21279,75734.65205,67224.0607,64290.70893,47751.72804,34643.81986,25398.39023,60788.01596,61394.66811,47463.7975,70909.15201
30,14225.1742,26098.11565,14787.08125,32612.30142,9613.126062,8115.055819,5600.371941,9791.236196,54371.30626,75292.14434,85182.04432,74607.98771,28595.0637,27642.932,22631.16174,22120.80487,26126.17066,23423.84837,26672.02072,32843.97038,14476.87372,6361.15351,1799.785171,11729.15204,26363.5009,54502.61512,99400.86355,24586.06811,30395.88407,44301.73038,121442.837,107667.203,12227.95294,39776.68787,63708.3562,61846.93808,50177.64651,27659.82509,22917.98778,106046.025,23548.37745,26142.27791,26551.66136,35074.26546,34930.2811,69506.4722,50027.62725,93389.81311,89505.93204,86903.59452,81923.29553,89312.04592,71287.85013,63521.72648,23253.23459,92165.36294,38575.07254,41163.44206,49549.7191,72966.10637,53090.6422,42213.97273,33249.73746,26481.16129,87046.67984,65548.96285,42393.93211,91654.09147
31,5533.197904,12862.45029,42220.1684,10040.2506,7013.373394,3951.780491,2256.623502,7037.178656,9378.673563,26135.89977,26814.97692,81302.22864,5123.297952,5886.519027,1804.980812,10132.36532,33098.88227,8759.178634,8325.801467,11771.95633,6228.601482,2740.387922,785.7920498,1091.481213,18619.17046,21428.68238,1413.994435,23425.35832,20013.53032,84853.29995,96805.26031,76206.4956,7139.715604,14235.88981,48045.65743,23784.25989,89507.05384,37427.33017,30878.47624,52712.59092,32816.39781,30536.31496,29696.42921,42897.43678,21260.83108,36277.0463,39865.18597,84105.57772,79535.97247,60173.4748,62949.06854,51278.24736,87211.52297,87346.05266,38596.51885,72263.29196,57099.13681,37827.04724,65920.80499,30967.7077,44559.26681,36109.69674,25056.11097,20846.24446,26342.44141,34937.51864,42139.00332,23745.97786
32,6226.908245,13214.10807,12662.29127,9286.594613,3924.311801,2019.836943,2241.208544,185.9607497,15043.36678,32009.00899,127518.4246,62663.28912,4502.007925,0,0,1724.10008,1659.781969,1949.147854,351.840714,8089.135728,8845.610233,7819.79979,2178.540202,2924.543294,12190.94567,1056.827694,1478.099763,30418.57818,9952.483601,38248.36419,65540.91518,90628.93081,2619.623055,6068.167629,202068.2142,33053.40073,108469.7176,39938.06392,36901.08792,63731.00018,17825.89142,16882.17697,17479.21102,44662.22184,20775.12568,27609.4167,53298.10622,70398.67874,85183.98438,68426.42347,68771.0945,74419.78846,40435.07695,37761.99859,14993.2266,78014.80101,55000.36783,41637.34213,56714.68799,23316.54235,39198.46887,31177.09968,22447.06421,18068.12483,34838.42831,27450.53946,49282.62867,26483.79978
33,4117.850829,16779.32562,11893.8839,19592.60397,8665.759838,2915.544655,1443.653589,92.90409206,2218.070461,5726.687545,53410.70369,33446.24035,7651.66788,12241.65119,9139.568749,14644.81762,19215.26405,4606.163336,5545.621866,6099.731405,12811.54413,14298.57636,4207.993721,5809.730654,6666.241,2638.771882,1361.974391,6671.891374,9164.252303,21623.65926,50290.03027,48749.45878,2452.421531,3148.935666,19935.35528,11520.63825,37571.04247,38222.1108,34705.08615,34100.73618,8461.894854,15859.55872,16803.21154,42144.91618,24214.50665,28709.49203,57851.49038,61130.67719,134114.3367,73699.39084,82593.04147,81046.67227,46345.8773,44656.09665,19423.75746,40051.25175,48864.2371,26668.03715,36415.36732,21905.02569,29779.29553,29202.38214,19513.4497,15411.69806,17102.14641,23784.36457,22693.90943,15533.91638
34,5212.228992,2839.81926,25950.29258,8351.401038,14056.23007,1808.392947,704.7838439,3184.716026,3574.693862,4505.879902,90100.11828,16364.20988,1005.527965,0,0,2586.174343,0,0,0,0,5934.372642,7584.424557,24877.20074,14878.81826,2041.682865,605.5103784,62571.66533,31539.05667,7397.119737,22965.92916,21331.46602,64692.91921,6455.156095,10950.29005,3120.206693,22408.48027,36617.4484,42123.10628,38614.19922,31147.22688,7767.484213,14364.72407,14359.6001,5634.582554,27883.4314,38933.39915,45968.82391,54823.28639,24874.16996,51140.18438,82811.10098,99682.11244,35563.99839,33540.46817,13829.06476,57009.8326,46232.2424,28165.81823,38507.85971,45573.67247,20003.38768,19994.77274,14391.5338,13607.87186,10528.73438,11735.99765,28823.67153,10376.96723
35,524.6880554,7316.683885,21419.93709,15405.58111,7998.502314,1784.901176,283.3951694,0,2302.326111,1722.842396,18769.18248,4381.633855,12756.34028,9797.284562,11271.09762,5129.943644,6085.183772,3812.70045,796.2974023,4181.600715,6488.819739,7604.129204,2253.746011,3174.103177,105.7596123,88.31692924,62.11116384,6414.508749,13424.13332,18038.40152,16096.93837,31797.61507,13266.13272,26079.53502,8925.625686,8807.709729,62674.70639,48466.50342,45664.34202,41715.25186,7085.567006,6127.322686,6969.243841,11923.95215,19070.79196,22521.28438,26197.34419,42460.67601,56463.68035,37858.32316,51249.95416,53748.86436,22671.97724,17319.48284,7435.360112,67373.93241,42770.12181,31258.95339,31164.11756,16536.66639,19856.04467,19338.64896,15665.77223,12513.393,7319.514746,10225.85898,20020.97171,8700.329899
36,0,2138.790268,31297.93146,14579.54577,6893.9591,2644.899411,181.796653,225.7334442,2678.28181,1098.494108,27779.95697,5215.617985,94.064545,0,0,0,277.8915337,2360.085608,58.90265385,438.5478038,187.6094755,259.1124596,74.31225766,103.2250497,438.6867061,205.626535,138.3673214,4587.460048,844.5316216,8327.586363,2959.420271,18123.70054,3911.953838,7989.080776,1394.231927,2571.88874,37839.82412,40005.98004,34188.06881,21972.10999,4195.502974,6667.05267,16029.67627,18089.51014,16315.26549,17368.90193,7463.961077,48754.46584,25055.98146,29871.51707,33788.55552,18378.73764,27002.92785,20391.63443,9009.639538,14860.85411,22391.8782,26487.09941,19214.54815,10354.44774,10775.77309,10382.73035,7084.022951,5911.755027,4628.012075,9348.500389,19054.53553,5160.338446
37,0,2434.130794,26872.34222,12857.68519,9688.627316,2392.946815,1433.635691,307.6035451,0,0,24141.95805,3747.792196,0,0,0,1293.111395,12739.22783,5565.773904,1112.086439,6470.833008,0,0,0,0,0,0,0,2648.838221,3113.989273,5213.359671,6008.086533,23856.03183,3761.135334,7487.060347,8004.130622,2478.230606,24850.42137,29245.02349,25507.4586,15027.07108,9836.439182,4044.420863,5463.53042,16785.62643,11952.18449,14568.20827,5095.872622,11287.63856,12676.64487,17420.77228,33327.7026,14795.34552,14912.92576,14197.21931,6298.98151,17776.7731,19237.41727,19287.62173,19219.81021,9022.590489,6142.62899,6000.579843,4038.18042,3419.343339,5218.253614,7472.174969,4587.769742,4542.843365
