"","Stock","Year","Country","Landings"
"1","cod.27.7e-k",2009,"BE",48.319
"2","had.27.7b-k",2009,"BE",129.697
"3","hke.27.3a46-8abd",2009,"BE",6.711
"4","meg.27.7b-k8abd",2009,"BE",194.833908
"5","mon.27.78abd",2009,"BE",502.253
"6","nep.fu.2021",2009,"BE",0.906
"7","nep.fu.22",2009,"BE",12.076
"8","nep.out.7",2009,"BE",1.408
"9","sol.27.7fg",2009,"BE",503.923
"10","whg.27.7b-ce-k",2009,"BE",86.924
"11","cod.27.7e-k",2010,"BE",52.49
"12","had.27.7b-k",2010,"BE",172.32
"13","hke.27.3a46-8abd",2010,"BE",12.311
"14","meg.27.7b-k8abd",2010,"BE",247.65552
"15","mon.27.78abd",2010,"BE",700.639
"16","nep.fu.2021",2010,"BE",0.039
"17","nep.fu.22",2010,"BE",14.912
"18","nep.out.7",2010,"BE",0.121
"19","sol.27.7fg",2010,"BE",622.682
"20","whg.27.7b-ce-k",2010,"BE",102.674
"21","cod.27.7e-k",2011,"BE",123.318
"22","had.27.7b-k",2011,"BE",212.466
"23","hke.27.3a46-8abd",2011,"BE",10.406
"24","meg.27.7b-k8abd",2011,"BE",306.020088
"25","mon.27.78abd",2011,"BE",941.302
"26","nep.fu.2021",2011,"BE",0.157
"27","nep.fu.22",2011,"BE",7.241
"28","nep.out.7",2011,"BE",0.119
"29","sol.27.7fg",2011,"BE",774.594
"30","whg.27.7b-ce-k",2011,"BE",99.366
"31","cod.27.7e-k",2012,"BE",289.764
"32","had.27.7b-k",2012,"BE",235.501
"33","hke.27.3a46-8abd",2012,"BE",8.601
"34","meg.27.7b-k8abd",2012,"BE",570.142368
"35","mon.27.78abd",2012,"BE",1320.667
"36","nep.fu.22",2012,"BE",6.046
"37","nep.out.7",2012,"BE",0.03
"38","sol.27.7fg",2012,"BE",842.599
"39","whg.27.7b-ce-k",2012,"BE",170.561
"40","cod.27.7e-k",2013,"BE",202.177
"41","had.27.7b-k",2013,"BE",174.692
"42","hke.27.3a46-8abd",2013,"BE",11.181
"43","meg.27.7b-k8abd",2013,"BE",491.360724
"44","mon.27.78abd",2013,"BE",1090.584
"45","nep.fu.19",2013,"BE",0.059
"46","nep.fu.2021",2013,"BE",0.023
"47","nep.fu.22",2013,"BE",12.284
"48","nep.out.7",2013,"BE",0.539
"49","sol.27.7fg",2013,"BE",788.269
"50","whg.27.7b-ce-k",2013,"BE",225.851
"51","cod.27.7e-k",2014,"BE",141.428
"52","had.27.7b-k",2014,"BE",99.775
"53","hke.27.3a46-8abd",2014,"BE",11.549
"54","meg.27.7b-k8abd",2014,"BE",157.758576
"55","mon.27.78abd",2014,"BE",464.485
"56","nep.fu.2021",2014,"BE",0.033
"57","nep.fu.22",2014,"BE",7.971
"58","nep.out.7",2014,"BE",0.193
"59","sol.27.7fg",2014,"BE",703.108
"60","whg.27.7b-ce-k",2014,"BE",222.42
"61","cod.27.7e-k",2015,"BE",120.632
"62","had.27.7b-k",2015,"BE",118.533
"63","hke.27.3a46-8abd",2015,"BE",9.447
"64","meg.27.7b-k8abd",2015,"BE",228.868056
"65","mon.27.78abd",2015,"BE",713.649
"66","nep.fu.2021",2015,"BE",0.359
"67","nep.fu.22",2015,"BE",4.658
"68","nep.out.7",2015,"BE",0.374
"69","sol.27.7fg",2015,"BE",673.806
"70","whg.27.7b-ce-k",2015,"BE",152.026
"71","cod.27.7e-k",2016,"BE",96.841
"72","had.27.7b-k",2016,"BE",89.866
"73","hke.27.3a46-8abd",2016,"BE",14.756
"74","meg.27.7b-k8abd",2016,"BE",273.504636
"75","mon.27.78abd",2016,"BE",958.371
"76","nep.fu.2021",2016,"BE",0.195
"77","nep.fu.22",2016,"BE",2.773
"78","nep.out.7",2016,"BE",0.3
"79","sol.27.7fg",2016,"BE",563.494
"80","whg.27.7b-ce-k",2016,"BE",185.98
"81","cod.27.7e-k",2017,"BE",81.981
"82","had.27.7b-k",2017,"BE",111.349
"83","hke.27.3a46-8abd",2017,"BE",45.432
"84","meg.27.7b-k8abd",2017,"BE",327.876228
"85","mon.27.78abd",2017,"BE",1197.467
"86","nep.fu.2021",2017,"BE",0.153
"87","nep.fu.22",2017,"BE",0.874
"88","nep.out.7",2017,"BE",0.099
"89","sol.27.7fg",2017,"BE",550.561
"90","whg.27.7b-ce-k",2017,"BE",102.404
"91","cod.27.7e-k",2018,"BE",48.616
"92","had.27.7b-k",2018,"BE",89.187
"93","hke.27.3a46-8abd",2018,"BE",28.6
"94","meg.27.7b-k8abd",2018,"BE",314.673432
"95","mon.27.78abd",2018,"BE",767.476
"96","nep.fu.2021",2018,"BE",0.214
"97","nep.fu.22",2018,"BE",1.094
"98","nep.out.7",2018,"BE",0.042
"99","sol.27.7fg",2018,"BE",606.739
"100","whg.27.7b-ce-k",2018,"BE",103.34
"101","cod.27.7e-k",2019,"BE",43.46
"102","had.27.7b-k",2019,"BE",89.581
"103","hke.27.3a46-8abd",2019,"BE",40.148
"104","meg.27.7b-k8abd",2019,"BE",413.960316
"105","mon.27.78abd",2019,"BE",850.432
"106","nep.fu.2021",2019,"BE",0.075
"107","nep.fu.22",2019,"BE",2.377
"108","nep.out.7",2019,"BE",0.059
"109","sol.27.7fg",2019,"BE",799.679
"110","whg.27.7b-ce-k",2019,"BE",73.035
"111","hke.27.3a46-8abd",2010,"DE",0.217
"112","hke.27.3a46-8abd",2013,"DE",0.005
"113","had.27.7b-k",2014,"DE",2.918
"114","whg.27.7b-ce-k",2014,"DE",0.597
"115","hke.27.3a46-8abd",2015,"DE",24.454
"116","whg.27.7b-ce-k",2015,"DE",0.11
"117","hke.27.3a46-8abd",2016,"DE",3.623
"118","whg.27.7b-ce-k",2016,"DE",0.268
"119","hke.27.3a46-8abd",2017,"DE",6.53
"120","whg.27.7b-ce-k",2017,"DE",0.474
"121","had.27.7b-k",2019,"DE",4.20772
"122","hke.27.3a46-8abd",2019,"DE",33.18304
"123","whg.27.7b-ce-k",2019,"DE",0.168
"124","had.27.7b-k",2017,"DK",0.05
"125","hke.27.3a46-8abd",2017,"DK",0.65
"126","had.27.7b-k",2018,"DK",1.2
"127","hke.27.3a46-8abd",2018,"DK",0.3
"128","whg.27.7b-ce-k",2018,"DK",0.794
"129","had.27.7b-k",2009,"ES",85
"130","hke.27.3a46-8abd",2009,"ES",8320
"131","meg.27.7b-k8abd",2009,"ES",6319.368
"132","mon.27.78abd",2009,"ES",1689.48
"133","nep.fu.16",2009,"ES",723
"134","whg.27.7b-ce-k",2009,"ES",4
"135","had.27.7b-k",2010,"ES",182
"136","hke.27.3a46-8abd",2010,"ES",9661
"137","meg.27.7b-k8abd",2010,"ES",4018.572
"138","mon.27.78abd",2010,"ES",1478.58
"139","nep.fu.16",2010,"ES",372
"140","whg.27.7b-ce-k",2010,"ES",10
"141","had.27.7b-k",2011,"ES",135
"142","hke.27.3a46-8abd",2011,"ES",9487
"143","meg.27.7b-k8abd",2011,"ES",3660.228
"144","mon.27.78abd",2011,"ES",1430.7
"145","nep.fu.16",2011,"ES",318
"146","whg.27.7b-ce-k",2011,"ES",7
"147","had.27.7b-k",2012,"ES",160
"148","hke.27.3a46-8abd",2012,"ES",12361
"149","meg.27.7b-k8abd",2012,"ES",3861.204
"150","mon.27.78abd",2012,"ES",1662.69
"151","nep.fu.16",2012,"ES",295
"152","whg.27.7b-ce-k",2012,"ES",5
"153","had.27.7b-k",2013,"ES",6
"154","hke.27.3a46-8abd",2013,"ES",11810
"155","meg.27.7b-k8abd",2013,"ES",4647.096
"156","mon.27.78abd",2013,"ES",1787.52
"157","nep.fu.16",2013,"ES",181
"158","whg.27.7b-ce-k",2013,"ES",4
"159","had.27.7b-k",2014,"ES",3
"160","hke.27.3a46-8abd",2014,"ES",15423
"161","meg.27.7b-k8abd",2014,"ES",3205.188
"162","mon.27.78abd",2014,"ES",1846.8
"163","nep.fu.16",2014,"ES",144
"164","whg.27.7b-ce-k",2014,"ES",1
"165","hke.27.3a46-8abd",2015,"ES",16342
"166","meg.27.7b-k8abd",2015,"ES",2882.868
"167","mon.27.78abd",2015,"ES",1576.05
"168","nep.fu.16",2015,"ES",82
"169","hke.27.3a46-8abd",2016,"ES",18982
"170","meg.27.7b-k8abd",2016,"ES",2793.756
"171","mon.27.78abd",2016,"ES",1696.32
"172","nep.fu.16",2016,"ES",57
"173","had.27.7b-k",2017,"ES",0.154
"174","hke.27.3a46-8abd",2017,"ES",14904.90266
"175","meg.27.7b-k8abd",2017,"ES",2750.12904
"176","mon.27.78abd",2017,"ES",1727.4933
"177","nep.fu.16",2017,"ES",66.5273
"178","cod.27.7e-k",2018,"ES",0.06
"179","had.27.7b-k",2018,"ES",0.638
"180","hke.27.3a46-8abd",2018,"ES",12167.629339662
"181","meg.27.7b-k8abd",2018,"ES",2327.66469
"182","mon.27.78abd",2018,"ES",1527.7881
"183","nep.fu.16",2018,"ES",130.574100295
"184","whg.27.7b-ce-k",2018,"ES",0.077299999
"185","cod.27.7e-k",2019,"ES",14.53562
"186","had.27.7b-k",2019,"ES",88.58882
"187","hke.27.3a46-8abd",2019,"ES",14631.06065
"188","meg.27.7b-k8abd",2019,"ES",2173.91568
"189","mon.27.78abd",2019,"ES",1618.5834
"190","nep.fu.16",2019,"ES",132.80747
"191","sol.27.7fg",2019,"ES",0.591
"192","whg.27.7b-ce-k",2019,"ES",0.19116
"193","cod.27.7e-k",2009,"FRA",3019.74147
"194","had.27.7b-k",2009,"FRA",5502.72326
"195","hke.27.3a46-8abd",2009,"FRA",5943.03249
"196","meg.27.7b-k8abd",2009,"FRA",2033.15829901422
"197","mon.27.78abd",2009,"FRA",8429.6526521303
"198","sol.27.7fg",2009,"FRA",49.10894
"199","whg.27.7b-ce-k",2009,"FRA",2776.49097
"200","cod.27.7e-k",2010,"FRA",2448.96545
"201","had.27.7b-k",2010,"FRA",6420.79796
"202","hke.27.3a46-8abd",2010,"FRA",5423.95778
"203","meg.27.7b-k8abd",2010,"FRA",2530.27151550067
"204","mon.27.78abd",2010,"FRA",8474.04946925404
"205","sol.27.7fg",2010,"FRA",39.18579
"206","whg.27.7b-ce-k",2010,"FRA",3402.4841
"207","cod.27.7e-k",2011,"FRA",4808.43764
"208","had.27.7b-k",2011,"FRA",8381.17655
"209","hke.27.3a46-8abd",2011,"FRA",9144.64367
"210","meg.27.7b-k8abd",2011,"FRA",2279.84025152248
"211","mon.27.78abd",2011,"FRA",9324.10636464026
"212","sol.27.7fg",2011,"FRA",51.96424
"213","whg.27.7b-ce-k",2011,"FRA",4287.11039
"214","cod.27.7e-k",2012,"FRA",6900.16259
"215","had.27.7b-k",2012,"FRA",12293.12988
"216","hke.27.3a46-8abd",2012,"FRA",10282.2748
"217","meg.27.7b-k8abd",2012,"FRA",2972.93826679829
"218","mon.27.78abd",2012,"FRA",11680.8649368451
"219","sol.27.7fg",2012,"FRA",49.88822
"220","whg.27.7b-ce-k",2012,"FRA",3865.59363
"221","cod.27.7e-k",2013,"FRA",5050.83191
"222","had.27.7b-k",2013,"FRA",8738.13725
"223","hke.27.3a46-8abd",2013,"FRA",13339.21729
"224","meg.27.7b-k8abd",2013,"FRA",3492.45526379581
"225","mon.27.78abd",2013,"FRA",12233.8494273729
"226","sol.27.7fg",2013,"FRA",46.91871
"227","whg.27.7b-ce-k",2013,"FRA",3986.43604
"228","cod.27.7e-k",2014,"FRA",2715.26667
"229","had.27.7b-k",2014,"FRA",6350.17774
"230","hke.27.3a46-8abd",2014,"FRA",18438.27967
"231","meg.27.7b-k8abd",2014,"FRA",3200.27518918618
"232","mon.27.78abd",2014,"FRA",11626.6921943934
"233","sol.27.7fg",2014,"FRA",57.5986
"234","whg.27.7b-ce-k",2014,"FRA",4928.43178
"235","cod.27.7e-k",2015,"FRA",3373.12901
"236","had.27.7b-k",2015,"FRA",5683.1081
"237","hke.27.3a46-8abd",2015,"FRA",20513.18314
"238","meg.27.7b-k8abd",2015,"FRA",3549.54280006294
"239","mon.27.78abd",2015,"FRA",11997.462328391
"240","nep.fu.16",2015,"FRA",2.05319
