"","Year","Stock","Landing_AC","Landing_IC","SObj_Landings","Advice_Landings","diff_AC","diff_IC","diff_Advice","AC_PROB","IC_PROB","ADVICE_PROB"
"1",2009,"cod.27.7e-k",4197.30137,4187.36547,4187.64877,4187,9.65260000000035,-0.283300000000054,-0.648769999999786,"NO","NO","NO"
"2",2009,"had.27.7b-k",9704.71626,9663.86826,9662.4073149986,9664,42.3089450013977,1.46094500139952,1.59268500139842,"NO","NO","NO"
"3",2009,"hke.27.3a46-8abd",16992.72239,0,51009.2789065495,58818,-34016.5565165494,-51009.2789065495,7808.72109345055,"YES","YES","YES"
"4",2009,"meg.27.7b-k8abd",12529.6403022142,0,13109.217393051,15064,-579.577090836781,-13109.217393051,1954.782606949,"NO","YES","YES"
"5",2009,"mon.27.78abd",16781.6888681303,0,16683.2488394129,21835,98.4400287173703,-16683.2488394129,5151.75116058707,"NO","YES","YES"
"6",2009,"nep.fu.16",1244.5723,0,NA,NA,NA,NA,NA,NA,NA,NA
"7",2009,"nep.fu.17",624.3976,0,626.273,NA,-1.87540000000001,-626.273,NA,"NO","YES",NA
"8",2009,"nep.fu.19",761.9931,0,NA,NA,NA,NA,NA,NA,NA,NA
"9",2009,"nep.fu.2021",1308.2064,0,NA,NA,NA,NA,NA,NA,NA,NA
"10",2009,"nep.fu.22",1772.3702,0,2185.134251,NA,-412.764051,-2185.134251,NA,"YES","YES",NA
"11",2009,"nep.out.7",102.3221,0,326,NA,-223.6779,-326,NA,"YES","YES",NA
"12",2009,"sol.27.7e",0,0,701,NA,-701,-701,NA,"YES","YES",NA
"13",2009,"sol.27.7fg",778.86264,771.8518,778.472666666667,772,0.389973333333501,-6.62086666666653,-6.47266666666656,"NO","NO","NO"
"14",2009,"whg.27.7b-ce-k",6555.05097,6574.06597,6526.37197706,6532,28.6789929399993,47.6939929399996,5.62802293999903,"NO","NO","NO"
"15",2010,"cod.27.7e-k",3837.84305,3830.87545,3874.19995,3831,-36.3568999999993,-43.3244999999993,-43.1999499999993,"NO","NO","NO"
"16",2010,"had.27.7b-k",10498.20456,10428.97696,10430.7134252101,10429,67.4911347899015,-1.73646521009869,-1.71342521009865,"NO","NO","NO"
"17",2010,"hke.27.3a46-8abd",17897.65338,0,62511.3533121459,72799,-44613.6999321459,-62511.3533121459,10287.6466878541,"YES","YES","YES"
"18",2010,"meg.27.7b-k8abd",11379.0799383007,0,15064.4509103193,15101,-3685.37097201866,-15064.4509103193,36.5490896806659,"YES","YES","NO"
"19",2010,"mon.27.78abd",18324.459405254,0,12246.1887273989,22215,6078.27067785518,-12246.1887273989,9968.81127260113,"YES","YES","YES"
"20",2010,"nep.fu.16",1074.4369,0,NA,NA,NA,NA,NA,NA,NA,NA
"21",2010,"nep.fu.17",937.1263,0,939.363,NA,-2.23670000000004,-939.363,NA,"NO","YES",NA
"22",2010,"nep.fu.19",626.1294,0,NA,NA,NA,NA,NA,NA,NA,NA
"23",2010,"nep.fu.2021",759.9524,0,NA,NA,NA,NA,NA,NA,NA,NA
"24",2010,"nep.fu.22",2331.1755,0,2714.4298,NA,-383.2543,-2714.4298,NA,"YES","YES",NA
"25",2010,"nep.out.7",93.6386,0,366,NA,-272.3614,-366,NA,"YES","YES",NA
"26",2010,"sol.27.7e",0,0,698,NA,-698,-698,NA,"YES","YES",NA
"27",2010,"sol.27.7fg",871.42979,866.8441,873.158166666667,867,-1.72837666666658,-6.31406666666658,-6.1581666666666,"NO","NO","NO"
"28",2010,"whg.27.7b-ce-k",9517.4064,9570.4231,9372.44924985,9376,144.95715015,197.97385015,3.55075014999966,"NO","NO","NO"
"29",2011,"cod.27.7e-k",6380.94324,6375.85864,6393.15682,6376,-12.2135799999978,-17.298179999998,-17.1568199999983,"NO","NO","NO"
"30",2011,"had.27.7b-k",14018.68785,13957.22855,13958.5001001972,13957,60.187749802808,-1.27155019719248,-1.5001001971923,"NO","NO","NO"
"31",2011,"hke.27.3a46-8abd",21937.85877,0,77373.09314515,87540,-55435.23437515,-77373.09314515,10166.90685485,"YES","YES","YES"
"32",2011,"meg.27.7b-k8abd",10648.3822047225,0,13201.3579020253,13226,-2552.97569730279,-13201.3579020253,24.642097974729,"YES","YES","NO"
"33",2011,"mon.27.78abd",19661.8022926403,0,17443.8554019565,24657,2217.94689068372,-17443.8554019565,7213.14459804347,"YES","YES","YES"
"34",2011,"nep.fu.16",1147.2088,0,NA,NA,NA,NA,NA,NA,NA,NA
"35",2011,"nep.fu.17",658.4867,0,658.662,NA,-0.175300000000107,-658.662,NA,"NO","YES",NA
"36",2011,"nep.fu.19",589.1855,0,642.999,NA,-53.8135000000001,-642.999,NA,"NO","YES",NA
"37",2011,"nep.fu.2021",671.2664,0,NA,NA,NA,NA,NA,NA,NA,NA
"38",2011,"nep.fu.22",1551.951,0,1636.438324,NA,-84.4873239999999,-1636.438324,NA,"NO","YES",NA
"39",2011,"nep.out.7",125.7673,0,123,NA,2.76729999999999,-123,NA,"NO","YES",NA
"40",2011,"sol.27.7e",0,0,801,NA,-801,-801,NA,"YES","YES",NA
"41",2011,"sol.27.7fg",1034.57334,1027.1206,1033.149,1027,1.42434000000003,-6.02840000000015,-6.14900000000011,"NO","NO","NO"
"42",2011,"whg.27.7b-ce-k",10069.79689,10084.00439,9617.59284695,9617,452.204043049998,466.411543049999,-0.592846950001331,"NO","NO","NO"
"43",2012,"cod.27.7e-k",9404.61169,9442.81759,9492.139,9443,-87.5273099999977,-49.3214099999968,-49.1389999999974,"NO","NO","NO"
"44",2012,"had.27.7b-k",18980.33038,19195.54388,19208.2022330576,19196,-227.871853057597,-12.6583530575954,-12.2022330575965,"NO","NO","NO"
"45",2012,"hke.27.3a46-8abd",26469.5236,0,79598.9240236811,85677,-53129.4004236811,-79598.9240236811,6078.0759763189,"YES","YES","NO"
"46",2012,"meg.27.7b-k8abd",12723.6046855983,0,13488.9729214664,14433,-765.368235868113,-13488.9729214664,944.0270785336,"NO","YES","NO"
"47",2012,"mon.27.78abd",22223.3236808451,0,24442.6190279846,28188,-2219.29534713953,-24442.6190279846,3745.38097201537,"NO","YES","YES"
"48",2012,"nep.fu.16",1072.6568,0,1257.613103,NA,-184.956303,-1257.613103,NA,"YES","YES",NA
"49",2012,"nep.fu.17",1242.645,0,1245.782,NA,-3.13699999999994,-1245.782,NA,"NO","YES",NA
"50",2012,"nep.fu.19",784.3725,0,849.07,NA,-64.6975000000001,-849.07,NA,"NO","YES",NA
"51",2012,"nep.fu.2021",824.221,0,NA,NA,NA,NA,NA,NA,NA,NA
"52",2012,"nep.fu.22",2566.4365,0,2617.678906,NA,-51.2424059999998,-2617.678906,NA,"NO","YES",NA
"53",2012,"nep.out.7",142.5757,0,353,NA,-210.4243,-353,NA,"YES","YES",NA
"54",2012,"sol.27.7e",0,0,872.301,NA,-872.301,-872.301,NA,"YES","YES",NA
"55",2012,"sol.27.7fg",1099.80832,1100.7953,1105.735,1101,-5.92668000000003,-4.9396999999999,-4.7349999999999,"NO","NO","NO"
"56",2012,"whg.27.7b-ce-k",10786.35433,10833.55663,9854.7987786,9854,931.555551400003,978.757851400002,-0.798778599997604,"NO","NO","NO"
"57",2013,"cod.27.7e-k",7262.93321,7273.13691,7257.7394,7273,5.19381000000158,15.3975100000016,15.2606000000014,"NO","NO","NO"
"58",2013,"had.27.7b-k",13430.07385,13538.38225,13536.4052200551,13538,-106.331370055093,1.97702994490828,1.59477994490771,"NO","NO","NO"
"59",2013,"hke.27.3a46-8abd",29624.78979,0,54635.6029649806,77753,-25010.8131749806,-54635.6029649806,23117.3970350194,"YES","YES","YES"
"60",2013,"meg.27.7b-k8abd",14416.8351737958,0,15434.2049109663,16025,-1017.36973717054,-15434.2049109663,590.795089033651,"NO","YES","NO"
"61",2013,"mon.27.78abd",22677.2620673729,0,22701.4554971463,30611,-24.1934297733387,-22701.4554971463,7909.54450285372,"NO","YES","YES"
"62",2013,"nep.fu.16",950.5726,0,1141.342306,NA,-190.769706,-1141.342306,NA,"YES","YES",NA
"63",2013,"nep.fu.17",1389.93,0,1295.485,NA,94.4450000000002,-1295.485,NA,"NO","YES",NA
"64",2013,"nep.fu.19",752.7311,0,793.784,NA,-41.0529,-793.784,NA,"NO","YES",NA
"65",2013,"nep.fu.2021",1016.1178,0,1387,NA,-370.8822,-1387,NA,"YES","YES",NA
"66",2013,"nep.fu.22",2081.4419,0,2256.74081,NA,-175.29891,-2256.74081,NA,"NO","YES",NA
"67",2013,"nep.out.7",129.943,0,204,NA,-74.057,-204,NA,"YES","YES",NA
"68",2013,"sol.27.7e",0,0,882.602,NA,-882.602,-882.602,NA,"YES","YES",NA
"69",2013,"sol.27.7fg",1090.31431,1092.85206,1093.492,1093,-3.17768999999998,-0.639940000000024,-0.491999999999962,"NO","NO","NO"
"70",2013,"whg.27.7b-ce-k",12118.21714,12130.75554,11096.55217761,11097,1021.66496239,1034.20336239,0.447822389998692,"NO","NO","NO"
"71",2014,"cod.27.7e-k",4507.46287,4512.45167,4506.27784,4512,1.18503000000055,6.17383000000063,5.72216000000026,"NO","NO","NO"
"72",2014,"had.27.7b-k",9687.26344,9845.83474,9846.0889906758,9846,-158.825550675798,-0.254250675798176,-0.0889906757984136,"NO","NO","NO"
"73",2014,"hke.27.3a46-8abd",39323.70127,0,55103.0650860285,89940,-15779.3638160285,-55103.0650860285,34836.9349139715,"YES","YES","YES"
"74",2014,"meg.27.7b-k8abd",11606.0012099862,0,14244.5471019269,13277,-2638.54589194072,-14244.5471019269,-967.547101926899,"YES","YES","NO"
"75",2014,"mon.27.78abd",22597.5751223934,0,22475.20494925,28474,122.370173143467,-22475.20494925,5998.79505075003,"NO","YES","YES"
"76",2014,"nep.fu.16",1066.0719,0,1189,NA,-122.9281,-1189,NA,"YES","YES",NA
"77",2014,"nep.fu.17",820.23,0,766.2425,NA,53.9875000000001,-766.2425,NA,"NO","YES",NA
