Year,Country,Metier,Area,Species,Discard_ID,DR,Landings,Match
2009,ES,GNS_DEF,27.7.j,MEG,2009_ES_MEG_27.7.j_GNS_DEF,NA,4.74,AC_Missmatches
2009,ES,GNS_DEF,27.7.j,MON,2009_ES_MON_27.7.j_GNS_DEF,NA,2.85,AC_Missmatches
2009,ES,LLS_DEF,27.7.h,HAD,2009_ES_HAD_27.7.h_LLS_DEF,NA,8,AC_Missmatches
2009,ES,LLS_DEF,27.7.h,WHG,2009_ES_WHG_27.7.h_LLS_DEF,NA,1,AC_Missmatches
2009,FRA,GNS_DEF,27.7.b,MON,2009_FRA_MON_27.7.b_GNS_DEF,NA,15.912674,AC_Missmatches
2009,FRA,GNS_DEF,27.7.c,MON,2009_FRA_MON_27.7.c_GNS_DEF,NA,233.6726202,AC_Missmatches
2009,FRA,GNS_DEF,27.7.d,COD,2009_FRA_COD_27.7.d_GNS_DEF,NA,66.95717,AC_Missmatches
2009,FRA,GNS_DEF,27.7.h,MON,2009_FRA_MON_27.7.h_GNS_DEF,NA,19.18276840082,AC_Missmatches
2009,FRA,GNS_DEF,27.7.j,MON,2009_FRA_MON_27.7.j_GNS_DEF,NA,232.1397531918,AC_Missmatches
2009,FRA,GNS_DEF,27.7.k,MON,2009_FRA_MON_27.7.k_GNS_DEF,NA,107.429307,AC_Missmatches
2009,FRA,GTR_DEF,27.7.d,COD,2009_FRA_COD_27.7.d_GTR_DEF,NA,257.68142,AC_Missmatches
2009,FRA,GTR_DEF,27.7.d,MON,2009_FRA_MON_27.7.d_GTR_DEF,NA,0.0947428,AC_Missmatches
2009,FRA,GTR_DEF,27.7.f,MON,2009_FRA_MON_27.7.f_GTR_DEF,NA,0.072037,AC_Missmatches
2009,FRA,GTR_DEF,27.7.g,MON,2009_FRA_MON_27.7.g_GTR_DEF,NA,7.5364806,AC_Missmatches
2009,FRA,GTR_DEF,27.7.h,MON,2009_FRA_MON_27.7.h_GTR_DEF,NA,318.78368379918,AC_Missmatches
2009,FRA,LLS_DEF,27.7.d,COD,2009_FRA_COD_27.7.d_LLS_DEF,NA,3.19174,AC_Missmatches
2009,FRA,MIS_MIS,27.7.b,MEG,2009_FRA_MEG_27.7.b_MIS_MIS,NA,0.24696348,AC_Missmatches
2009,FRA,MIS_MIS,27.7.b,MON,2009_FRA_MON_27.7.b_MIS_MIS,NA,0.1705764,AC_Missmatches
2009,FRA,MIS_MIS,27.7.c,MEG,2009_FRA_MEG_27.7.c_MIS_MIS,NA,0.0695358,AC_Missmatches
2009,FRA,MIS_MIS,27.7.c,MON,2009_FRA_MON_27.7.c_MIS_MIS,NA,1.99711,AC_Missmatches
2009,FRA,MIS_MIS,27.7.d,COD,2009_FRA_COD_27.7.d_MIS_MIS,NA,222.66924,AC_Missmatches
2009,FRA,MIS_MIS,27.7.d,MEG,2009_FRA_MEG_27.7.d_MIS_MIS,NA,0.08575608,AC_Missmatches
2009,FRA,MIS_MIS,27.7.d,MON,2009_FRA_MON_27.7.d_MIS_MIS,NA,8.3222702,AC_Missmatches
2009,FRA,MIS_MIS,27.7.d,WHG,2009_FRA_WHG_27.7.d_MIS_MIS,NA,230.63844,AC_Missmatches
2009,FRA,MIS_MIS,27.7.f,MEG,2009_FRA_MEG_27.7.f_MIS_MIS,NA,0.2658666,AC_Missmatches
2009,FRA,MIS_MIS,27.7.f,MON,2009_FRA_MON_27.7.f_MIS_MIS,NA,1.55413783936,AC_Missmatches
2009,FRA,MIS_MIS,27.7.g,MEG,2009_FRA_MEG_27.7.g_MIS_MIS,NA,5.572599975168,AC_Missmatches
2009,FRA,MIS_MIS,27.7.g,MON,2009_FRA_MON_27.7.g_MIS_MIS,NA,80.9430609959,AC_Missmatches
2009,FRA,MIS_MIS,27.7.h,MEG,2009_FRA_MEG_27.7.h_MIS_MIS,NA,3.57271812,AC_Missmatches
2009,FRA,MIS_MIS,27.7.h,MON,2009_FRA_MON_27.7.h_MIS_MIS,NA,292.85953961558,AC_Missmatches
2009,FRA,MIS_MIS,27.7.j,MEG,2009_FRA_MEG_27.7.j_MIS_MIS,NA,11.59049448,AC_Missmatches
2009,FRA,MIS_MIS,27.7.j,MON,2009_FRA_MON_27.7.j_MIS_MIS,NA,50.0445508,AC_Missmatches
2009,FRA,MIS_MIS,27.7.k,MEG,2009_FRA_MEG_27.7.k_MIS_MIS,NA,0.00257856,AC_Missmatches
2009,FRA,MIS_MIS,27.7.k,MON,2009_FRA_MON_27.7.k_MIS_MIS,NA,1.363373,AC_Missmatches
2009,FRA,OTB_CRU,27.7.f,MEG,2009_FRA_MEG_27.7.f_OTB_CRU,NA,0.49354776,AC_Missmatches
2009,FRA,OTB_CRU,27.7.g,MEG,2009_FRA_MEG_27.7.g_OTB_CRU,NA,42.5342952,AC_Missmatches
2009,FRA,OTB_CRU,27.7.h,MEG,2009_FRA_MEG_27.7.h_OTB_CRU,NA,15.90545868,AC_Missmatches
2009,FRA,OTB_CRU,27.7.j,MEG,2009_FRA_MEG_27.7.j_OTB_CRU,NA,0.0396264,AC_Missmatches
2009,FRA,OTB_DEF,27.7.b,MEG,2009_FRA_MEG_27.7.b_OTB_DEF,NA,314.7183672,AC_Missmatches
2009,FRA,OTB_DEF,27.7.b,MON,2009_FRA_MON_27.7.b_OTB_DEF,NA,463.72401377622,AC_Missmatches
2009,FRA,OTB_DEF,27.7.c,MEG,2009_FRA_MEG_27.7.c_OTB_DEF,NA,34.18155252,AC_Missmatches
2009,FRA,OTB_DEF,27.7.c,MON,2009_FRA_MON_27.7.c_OTB_DEF,NA,93.6442624,AC_Missmatches
2009,FRA,OTB_DEF,27.7.d,COD,2009_FRA_COD_27.7.d_OTB_DEF,NA,1157.96877,AC_Missmatches
2009,FRA,OTB_DEF,27.7.d,MEG,2009_FRA_MEG_27.7.d_OTB_DEF,NA,0.32432028,AC_Missmatches
2009,FRA,OTB_DEF,27.7.d,MON,2009_FRA_MON_27.7.d_OTB_DEF,NA,18.1243616,AC_Missmatches
2009,FRA,OTB_DEF,27.7.d,WHG,2009_FRA_WHG_27.7.d_OTB_DEF,NA,5633.82492,AC_Missmatches
2009,FRA,OTB_DEF,27.7.f,MEG,2009_FRA_MEG_27.7.f_OTB_DEF,NA,26.3909928,AC_Missmatches
