"","scenario","fleet","stock","catch","tacshare","effort","catch_ssa","tac_ssa","effort_ssa","limitation"
"1","fixedEffort","BE_Beam_10<24m","cod.27.7e-k",0.0877309235785015,0.000108199328390659,1115.90082944933,0,0,0,"choke"
"2","fixedEffort","BE_Beam_10<24m","meg.27.7b-k8abd",0.129779894991052,0.00000784379889389412,1115.90082944933,19184,0.150475437980465,1293.84960641037,"least"
"3","fixedEffort","BE_Beam_10<24m","mon.27.78abd",26.1697689570546,0.000766489419403129,1115.90082944933,34579,26.5044376335408,1130.17138163856,"intermediate"
"4","fixedEffort","BE_Beam_10<24m","sol.27.7fg",27.3726895054599,0.0205886675572857,1115.90082944933,1413,29.0917872584447,1185.9831868325,"intermediate"
"5","fixedEffort","BE_Beam_10<24m","whg.27.7b-ce-k",5.05999956789545,0.000250663901151745,1115.90082944933,5261,1.31874278395933,290.827330458172,"intermediate"
"6","fixedEffort","BE_Beam_10<24m","had.27.7b-k",7.29047848785777,0.0000903276133481848,1115.90082944933,18382,1.66040218856633,254.145757720368,"intermediate"
"7","fixedEffort","BE_Beam_10<24m","nep.out.7",0.00619672533097332,0.0000246443123366914,1115.90082944933,150,0.00369664685050371,665.688902820938,"intermediate"
"8","fixedEffort","BE_Beam_24<40m","cod.27.7e-k",24.8446010266542,0.0293274180324292,33634.1423954163,0,0,0,"choke"
"9","fixedEffort","BE_Beam_24<40m","meg.27.7b-k8abd",515.027415405993,0.0237374883724208,33634.1423954163,19184,455.379976936521,29738.8343419167,"intermediate"
"10","fixedEffort","BE_Beam_24<40m","mon.27.78abd",1236.82011355205,0.0343096610943711,33634.1423954163,34579,1186.39377098226,32262.846143125,"intermediate"
"11","fixedEffort","BE_Beam_24<40m","sol.27.7fg",866.954207816585,0.641725556856308,33634.1423954163,1413,906.758211837963,35178.3687537316,"intermediate"
"12","fixedEffort","BE_Beam_24<40m","whg.27.7b-ce-k",169.211204775733,0.00794609306799021,33634.1423954163,5261,41.8043956306965,8309.4674330858,"intermediate"
"13","fixedEffort","BE_Beam_24<40m","had.27.7b-k",880.879192169376,0.010881823762706,33634.1423954163,18382,200.029684406062,7637.62721202981,"intermediate"
"14","fixedEffort","BE_Beam_24<40m","nep.out.7",0.0885048901927473,0.000244196658609408,33634.1423954163,150,0.0366294987914112,13920.1548698607,"intermediate"
"15","fixedEffort","BE_Beam_24<40m","nep.fu.22",0.696224739938391,0.000250092174466068,33634.1423954163,1560,0.390143792167066,18847.580540726,"intermediate"
"16","fixedEffort","BE_Beam_24<40m","nep.fu.2021",0.0726748364996662,0.0000492163703252483,33634.1423954163,1710,0.0841599932561746,38949.5089842886,"least"
"17","fixedEffort","BE_Otter_24<40m","cod.27.7e-k",1.9964576255124,0.00574149525319746,3226.911975954,0,0,0,NA
"18","fixedEffort","BE_Otter_24<40m","meg.27.7b-k8abd",28.3259536166847,0.00145602132539096,3226.911975954,19184,27.9323131063002,3182.06818024743,NA
"19","fixedEffort","BE_Otter_24<40m","mon.27.78abd",49.7506823922228,0.00151465928485087,3226.911975954,34579,52.3754034108582,3397.15574511076,NA
"20","fixedEffort","BE_Otter_24<40m","sol.27.7fg",59.1631126653145,0.0421563431805772,3226.911975954,1413,59.5669129141556,3248.93630496876,NA
"21","fixedEffort","BE_Otter_24<40m","whg.27.7b-ce-k",20.4117370193872,0.00207062310456212,3226.911975954,5261,10.8935481531013,1722.17195246471,NA
"22","fixedEffort","BE_Otter_24<40m","had.27.7b-k",27.5158375779587,0.00165652069152668,3226.911975954,18382,30.4501633516434,3571.03419115557,NA
"23","fixedEffort","BE_Otter_24<40m","nep.out.7",0.00548555828787697,0.0000246443123366914,3226.911975954,150,0.00369664685050371,2174.57428519636,NA
"24","fixedEffort","BE_Otter_24<40m","nep.fu.22",1.10506937167563,0.000389140481955314,3226.911975954,1560,0.60705915185029,1772.67282708943,NA
"25","fixedEffort","BE_Otter_24<40m","nep.fu.2021",0.0230026954716367,0.0000281384155391867,3226.911975954,1710,0.0481166905720093,6750.00567831461,NA
"26","fixedEffort","BE_Otter_24<40m","nep.fu.19",0,0,3226.911975954,595,0,NA,NA
"27","fixedEffort","ES_Otter_24<40m","cod.27.7e-k",1.22396931380166,0.00431551788916828,14824.015842202,0,0,0,"choke"
"28","fixedEffort","ES_Otter_24<40m","meg.27.7b-k8abd",1255.06817639162,0.173764693802885,14824.015842202,19184,3333.50188591455,39373.068090118,"intermediate"
"29","fixedEffort","ES_Otter_24<40m","mon.27.78abd",576.632425190248,0.064125802068476,14824.015842202,34579,2217.40610972583,57004.8819025849,"intermediate"
"30","fixedEffort","ES_Otter_24<40m","sol.27.7fg",0.0592651063354528,0.000181126628822023,14824.015842202,1413,0.255931926525518,64016.4030393379,"least"
"31","fixedEffort","ES_Otter_24<40m","whg.27.7b-ce-k",0.0167615001416059,0.00000671845618737158,14824.015842202,5261,0.0353457980017619,31260.1297680262,"intermediate"
"32","fixedEffort","ES_Otter_24<40m","had.27.7b-k",21.5540844549253,0.00354822723356556,14824.015842202,18382,65.2235130074021,44858.0589042305,"intermediate"
"33","fixedEffort","ES_Otter_24<40m","nep.fu.16",39.2819721188673,0.0482542930963898,14824.015842202,3290,158.756624287122,59910.7067833914,"intermediate"
"34","fixedEffort","FRA_Other_10<40m","cod.27.7e-k",34.1009046699865,0.00621481083450655,12654.5596666667,0,0,0,"choke"
"35","fixedEffort","FRA_Other_10<40m","meg.27.7b-k8abd",90.2829948314815,0.00419022871406467,12654.5596666667,19184,80.3853476506166,11267.2511591935,"intermediate"
