"","scenario","year","fleet","metier","iter","effshare","effort","vcost","grossValue"
"1","fixedEffort",2009,"BE_Beam_10<24m","Other_Metier",1,0.0249310279461485,48.413919312,NA,176.257048073212
"2","fixedEffort",2010,"BE_Beam_10<24m","Other_Metier",1,0.00633118156253948,14.586,NA,44.0755964988712
"3","fixedEffort",2011,"BE_Beam_10<24m","Other_Metier",1,0,0,NA,0
"4","fixedEffort",2012,"BE_Beam_10<24m","Other_Metier",1,0.0066811217959997,11.99,NA,8.07972147351058
"5","fixedEffort",2013,"BE_Beam_10<24m","Other_Metier",1,0,0,NA,0
"6","fixedEffort",2014,"BE_Beam_10<24m","Other_Metier",1,0.00149389152478848,2.431,NA,0.718572683281317
"7","fixedEffort",2015,"BE_Beam_10<24m","Other_Metier",1,0.0139949579959519,21.879,NA,65.1692288357743
"8","fixedEffort",2016,"BE_Beam_10<24m","Other_Metier",1,0,0,NA,0
"9","fixedEffort",2017,"BE_Beam_10<24m","Other_Metier",1,0,0,NA,0
"10","fixedEffort",2018,"BE_Beam_10<24m","Other_Metier",1,0,0,NA,0
"11","fixedEffort",2019,"BE_Beam_10<24m","Other_Metier",1,0.00726680509192277,8.71722124,NA,0.44320138935033
"12","fixedEffort",2020,"BE_Beam_10<24m","Other_Metier",1,0.00726680509192277,8.71722124,NA,0.168338671352194
"13","fixedEffort",2021,"BE_Beam_10<24m","Other_Metier",1,0.00726680509192277,8.71722124,NA,0.158956651673238
"14","fixedEffort",2022,"BE_Beam_10<24m","Other_Metier",1,0.00726680509192277,8.71722124,NA,0.141923411525219
"15","fixedEffort",2009,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.905606788567798,1758.610759445,NA,9.35447811804475
"16","fixedEffort",2010,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.954123334415149,2198.143082505,NA,67.4316825633865
"17","fixedEffort",2011,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.873700818025288,2088.27699568,NA,51.1866750321965
"18","fixedEffort",2012,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.693567886036818,1244.6830349,NA,21.310329425556
"19","fixedEffort",2013,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.821903605700778,1073.503525955,NA,18.5016701916405
"20","fixedEffort",2014,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.857604976441443,1395.575022105,NA,31.6851821207057
"21","fixedEffort",2015,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.891570853299579,1393.836173355,NA,23.0124449510087
"22","fixedEffort",2016,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.940496774194953,1057.12250179,NA,32.4665653506474
"23","fixedEffort",2017,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.903218281372142,942.5108581,NA,22.4685408891696
"24","fixedEffort",2018,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.867510428120756,958.256252275,NA,18.2322178598636
"25","fixedEffort",2019,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.867935872828418,1041.171316675,NA,24.7991197364855
"26","fixedEffort",2020,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.867935872828418,1041.171316675,NA,123.415569659947
"27","fixedEffort",2021,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.867935872828418,1041.171316675,NA,104.269949045453
"28","fixedEffort",2022,"BE_Beam_10<24m","TBB_DEF_27.7.d",1,0.867935872828418,1041.171316675,NA,96.2103828051525
"29","fixedEffort",2009,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.00136566183805616,2.651998232,NA,0.28799469926729
"30","fixedEffort",2010,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.00504301864159463,11.618284704,NA,1.27382777379925
"31","fixedEffort",2011,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.00655726530462001,15.672855064,NA,1.17272429300617
"32","fixedEffort",2012,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.0368892513246822,66.201775224,NA,7.44622795953325
"33","fixedEffort",2013,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.00947540345999686,12.376,NA,0.368489901473514
"34","fixedEffort",2014,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.00306613358580249,4.98949932,NA,0
"35","fixedEffort",2015,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.0208615041711426,32.613806336,NA,3.4498977226472
"36","fixedEffort",2016,"BE_Beam_10<24m","TBB_DEF_27.7.e",1,0.00503991670562366,5.664888496,NA,0.00411688857294981
