"","stock","fleet","scenario","effort","limitation","CS2020_effort","CS2020_choke"
"1","cod.27.7e-k","BE_Beam_10<24m","fixedEffort",1115.90082944933,"choke",0,"choke"
"2","meg.27.7b-k8abd","BE_Beam_10<24m","fixedEffort",1115.90082944933,"least",274.305851100929,"least"
"3","mon.27.78abd","BE_Beam_10<24m","fixedEffort",1115.90082944933,"intermediate",209.528032448436,"intermediate"
"4","sol.27.7fg","BE_Beam_10<24m","fixedEffort",1115.90082944933,"intermediate",238.245432370797,"intermediate"
"5","whg.27.7b-ce-k","BE_Beam_10<24m","fixedEffort",1115.90082944933,"intermediate",48.841191177476,"intermediate"
"6","had.27.7b-k","BE_Beam_10<24m","fixedEffort",1115.90082944933,"intermediate",100.731077300621,"intermediate"
"7","nep.out.7","BE_Beam_10<24m","fixedEffort",1115.90082944933,"intermediate",211.807042706667,"intermediate"
"8","cod.27.7e-k","BE_Beam_24<40m","fixedEffort",33634.1423954163,"choke",0,"choke"
"9","meg.27.7b-k8abd","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",4052.77103187732,"intermediate"
"10","mon.27.78abd","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",4626.86065661035,"intermediate"
"11","sol.27.7fg","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",4928.8232824255,"least"
"12","whg.27.7b-ce-k","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",1446.43221891146,"intermediate"
"13","had.27.7b-k","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",1805.62979677351,"intermediate"
"14","nep.out.7","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",4675.07026537333,"intermediate"
"15","nep.fu.22","BE_Beam_24<40m","fixedEffort",33634.1423954163,"intermediate",4323.00743670509,"intermediate"
"16","nep.fu.2021","BE_Beam_24<40m","fixedEffort",33634.1423954163,"least",4886.65844371735,"intermediate"
"17","cod.27.7e-k","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,0,"choke"
"18","meg.27.7b-k8abd","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,416.345631021408,"intermediate"
"19","mon.27.78abd","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,444.242890509714,"intermediate"
"20","sol.27.7fg","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,459.556313445872,"intermediate"
"21","whg.27.7b-ce-k","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,168.613726064542,"intermediate"
"22","had.27.7b-k","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,383.638962335898,"intermediate"
"23","nep.out.7","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,423.685329301333,"intermediate"
"24","nep.fu.22","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,316.986122801376,"intermediate"
"25","nep.fu.2021","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,2153.07926972876,"least"
"26","nep.fu.19","BE_Otter_24<40m","fixedEffort",3226.911975954,NA,NA,"intermediate"
"27","cod.27.7e-k","ES_Otter_24<40m","fixedEffort",14824.015842202,"choke",0,"choke"
"28","meg.27.7b-k8abd","ES_Otter_24<40m","fixedEffort",14824.015842202,"intermediate",1979.90674284342,"intermediate"
"29","mon.27.78abd","ES_Otter_24<40m","fixedEffort",14824.015842202,"intermediate",2250.2720679036,"intermediate"
"30","sol.27.7fg","ES_Otter_24<40m","fixedEffort",14824.015842202,"least",7019.89334439613,"least"
"31","whg.27.7b-ce-k","ES_Otter_24<40m","fixedEffort",14824.015842202,"intermediate",1109.59686666137,"intermediate"
"32","had.27.7b-k","ES_Otter_24<40m","fixedEffort",14824.015842202,"intermediate",2083.66415510217,"intermediate"
"33","nep.fu.16","ES_Otter_24<40m","fixedEffort",14824.015842202,"intermediate",2463.58889799702,"intermediate"
"34","cod.27.7e-k","FRA_Other_10<40m","fixedEffort",12654.5596666667,"choke",0,"choke"
"35","meg.27.7b-k8abd","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",1672.67302468105,"intermediate"
"36","mon.27.78abd","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",1788.63274693246,"intermediate"
"37","sol.27.7fg","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",1804.02613481096,"intermediate"
"38","whg.27.7b-ce-k","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",854.022753218254,"intermediate"
"39","had.27.7b-k","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",1690.58041622777,"intermediate"
"40","nep.out.7","FRA_Other_10<40m","fixedEffort",12654.5596666667,"intermediate",1791.37366666667,"intermediate"
