"","stock","year","iter","scenario","catch","discards","landings","tac","quotaUpt","discRat"
"1","cod.27.7e-k",2009,1,"fixedEffort",5380.3916034236,1183.96408832522,"1",NA,NA,0.220051657126936
"2","cod.27.7e-k",2010,1,"fixedEffort",6989.00930884596,3105.30504256901,"1",NA,NA,0.444312620765669
"3","cod.27.7e-k",2011,1,"fixedEffort",9645.58622176757,3359.37223923924,"1",NA,NA,0.348280774439403
"4","cod.27.7e-k",2012,1,"fixedEffort",11821.3304864472,2280.43185467503,"1",NA,NA,0.1929082227495
"5","cod.27.7e-k",2013,1,"fixedEffort",7954.20352306962,568.407485881723,"1",NA,NA,0.071460012838893
"6","cod.27.7e-k",2014,1,"fixedEffort",6107.19439940798,1574.34598474239,"1",NA,NA,0.2577854710004
"7","cod.27.7e-k",2015,1,"fixedEffort",5489.05096587787,444.751612014818,"1",NA,NA,0.081025229093257
"8","cod.27.7e-k",2016,1,"fixedEffort",4443.86685473936,495.728869944889,"1",NA,NA,0.111553492971149
"9","cod.27.7e-k",2017,1,"fixedEffort",2611.14726919033,133.310368430916,"1",NA,NA,0.0510543277293789
"10","cod.27.7e-k",2018,1,"fixedEffort",1813.79488511073,314.146544612746,"1",NA,NA,0.173198495150441
"11","cod.27.7e-k",2019,1,"fixedEffort",1356.54880348622,296.834637938756,"1",NA,NA,0.218816040510976
"12","cod.27.7e-k",2020,1,"fixedEffort",1842.85582974362,0,"1",5275,0.349356555401634,0
"13","cod.27.7e-k",2021,1,"fixedEffort",971.891453009365,971.891453009365,"1",0,Inf,1
"14","cod.27.7e-k",2022,1,"fixedEffort",716.500428770742,716.500428770742,"1",0,Inf,1
"15","had.27.7b-k",2009,1,"fixedEffort",16895.6267051485,7190.38828510292,"1",NA,NA,0.425576891025407
"16","had.27.7b-k",2010,1,"fixedEffort",29156.9361973935,18564.9911869418,"1",NA,NA,0.636726405725764
"17","had.27.7b-k",2011,1,"fixedEffort",30028.0118500494,16005.6016660328,"1",NA,NA,0.533022357456093
"18","had.27.7b-k",2012,1,"fixedEffort",27645.4561283571,8244.78706545416,"1",NA,NA,0.298232990881895
"19","had.27.7b-k",2013,1,"fixedEffort",17491.6766685568,3915.82721889734,"1",NA,NA,0.223868031241193
"20","had.27.7b-k",2014,1,"fixedEffort",15369.3453110601,5534.30763988824,"1",NA,NA,0.360087403066262
"21","had.27.7b-k",2015,1,"fixedEffort",15559.3784627951,6942.06241120269,"1",NA,NA,0.446165791763614
"22","had.27.7b-k",2016,1,"fixedEffort",19735.6677711929,12028.0877921354,"1",NA,NA,0.60945937738637
"23","had.27.7b-k",2017,1,"fixedEffort",14845.9425721302,6738.24483571056,"1",NA,NA,0.453877872891685
"24","had.27.7b-k",2018,1,"fixedEffort",12884.0620281638,5786.70711846048,"1",NA,NA,0.449136856513968
"25","had.27.7b-k",2019,1,"fixedEffort",11329.1914471725,3611.8051483825,"1",NA,NA,0.318805200284963
"26","had.27.7b-k",2020,1,"fixedEffort",17493.6420025088,0,"1",101370,0.172572181143423,0
"27","had.27.7b-k",2021,1,"fixedEffort",22428.455323226,4580.13082657457,"1",18382,1.2201313961063,0.2042107118198
"28","had.27.7b-k",2022,1,"fixedEffort",18936.2450466809,1354.30109350616,"1",18382,1.03015150944842,0.0715189885939687
"29","meg.27.7b-k8abd",2009,1,"fixedEffort",17022.6989266334,3990.09604502634,"1",NA,NA,0.234398555847305
"30","meg.27.7b-k8abd",2010,1,"fixedEffort",18640.6893710173,3641.12571138627,"1",NA,NA,0.195332138147611
"31","meg.27.7b-k8abd",2011,1,"fixedEffort",16309.880678928,3207.05317592553,"1",NA,NA,0.196632534538954
"32","meg.27.7b-k8abd",2012,1,"fixedEffort",15595.2411954899,2177.76638384109,"1",NA,NA,0.139643007539434
"33","meg.27.7b-k8abd",2013,1,"fixedEffort",17849.5392800717,2514.28751922036,"1",NA,NA,0.140860079342634
"34","meg.27.7b-k8abd",2014,1,"fixedEffort",16000.0594248885,1845.50687833849,"1",NA,NA,0.115343751503057
"35","meg.27.7b-k8abd",2015,1,"fixedEffort",13496.1034173854,1301.10394824441,"1",NA,NA,0.0964058964284722
"36","meg.27.7b-k8abd",2016,1,"fixedEffort",15590.5949273067,2257.78221904655,"1",NA,NA,0.144816938004853
