"","stock","year","catch","discards","discards.dead","discards.surviving","landings","Fbar","ssb","Recruitment"
"1","cod.27.7e-k",2020,1055,250,NA,NA,805,0.477,1587,1640
"2","cod.27.7e-k",2021,0,0,NA,NA,0,0,2943,NA
"3","cod.27.7e-k",2022,NA,NA,NA,NA,NA,NA,6078,NA
"4","had.27.7b-k",2020,20274,11084,NA,NA,9190,0.41,66169,351066
"5","had.27.7b-k",2021,18382,8612,NA,NA,9770,0.353,71323,NA
"6","had.27.7b-k",2022,NA,NA,NA,NA,NA,NA,70434,NA
"7","whg.27.7b-ce-k",2020,8774,1836,NA,NA,6938,0.495,31034,568878
"8","whg.27.7b-ce-k",2021,5261,1046,NA,NA,4215,0.268,32108,NA
"9","whg.27.7b-ce-k",2022,NA,NA,NA,NA,NA,NA,37494,NA
"10","hke.27.3a46-8abd",2020,103027,5968,NA,NA,97059,0.263,334525,308019
"11","hke.27.3a46-8abd",2021,98657,5835,NA,NA,92821,0.26,257712,NA
"12","hke.27.3a46-8abd",2022,NA,NA,NA,NA,NA,NA,249402,NA
"13","meg.27.7b-k8abd",2020,20350,3149,NA,NA,17201,0.21,123589,223393
"14","meg.27.7b-k8abd",2021,19184,2730,NA,NA,16454,0.191,111674,NA
"15","meg.27.7b-k8abd",2022,NA,NA,NA,NA,NA,NA,115734,NA
"16","mon.27.78abd",2020,24343,1480,NA,NA,22863,0.22,68952,32000
"17","mon.27.78abd",2021,34579,1479,NA,NA,33100,0.28,72213,NA
"18","mon.27.78abd",2022,NA,NA,NA,NA,NA,NA,80416,NA
"19","sol.27.7e",2020,1478,6,NA,NA,1472,0.2,6329,4101
"20","sol.27.7e",2021,1925,7,NA,NA,1918,0.29,6589,NA
"21","sol.27.7e",2022,NA,NA,NA,NA,NA,NA,5895,NA
"22","sol.27.7fg",2020,1652,123,NA,NA,1529,0.296,6293,5187
"23","sol.27.7fg",2021,1413,105,NA,NA,1308,0.251,6197,NA
"24","sol.27.7fg",2022,NA,NA,NA,NA,NA,NA,6009,NA
"25","nep.fu.16",2019,NA,NA,NA,NA,NA,NA,1010,NA
"26","nep.fu.16",2020,2637,0,0,0,2637,0.062,1010,NA
"27","nep.fu.16",2021,3290,0,0,0,3290,0.062,1264,NA
"28","nep.fu.17",2019,NA,NA,NA,NA,NA,NA,493,NA
"29","nep.fu.17",2020,800,107,80,27,694,0.078,493,NA
"30","nep.fu.17",2021,508,72,54,18,436,0.062,394,NA
"31","nep.fu.19",2019,NA,NA,NA,NA,NA,NA,386,NA
"32","nep.fu.19",2020,839,203,152,51,636,0.084,386,NA
"33","nep.fu.19",2021,595,156,117,39,439,0.069,320,NA
"34","nep.fu.2021",2019,NA,NA,NA,NA,NA,NA,617,NA
"35","nep.fu.2021",2020,1150,215,161,54,935,0.06,617,NA
"36","nep.fu.2021",2021,1710,281,211,70,1430,0.06,1020,NA
"37","nep.fu.22",2019,NA,NA,NA,NA,NA,NA,1121,NA
"38","nep.fu.22",2020,2820,368,276,92,2452,0.128,1121,NA
"39","nep.fu.22",2021,1560,188,141,47,1371,0.097,750,NA
"40","nep.out.7",2019,NA,NA,NA,NA,NA,NA,NA,NA
"41","nep.out.7",2020,188,NA,NA,NA,188,NA,NA,NA
"42","nep.out.7",2021,150,NA,NA,NA,150,NA,NA,NA
