fu,year,abund,ci,landings.n,discards.n,removals.numbers,harvest.rate,landings.t,discards.t,discard.rate.n,dead.disc.rate.n,mean.wt.lan.gr,mean.wt.dis.gr,discard.rate.wgt,prop.removal.ret.n,survival.rate
fu.16,2012,787,78.7,24.97095206,0,24.97095206,3.172929105,1257.613103,0,0,0,50.36304183,0,0,1,0.25
fu.16,2013,768,61.4,19.83597761,0,19.83597761,2.582809585,1141.342306,0,0,0,57.53899952,0,0,1,0.25
fu.16,2014,722,35.4,17.34836954,0,17.34836954,2.402821266,1189,0,0,0,68.53670009,0,0,1,0.25
fu.16,2015,840,NA,27.40223568,0,27.40223568,3.262170914,1393.8,0,0,0,50.8644629,0,0,1,0.25
fu.16,2016,957.6034447,68.1,53.47268194,0,53.47268194,5.584011026,2154.288412,0,0,0,40.28764471,0,0,1,0.25
fu.16,2017,849.5084984,89.7398411,84.89414,0,84.89414,9.993324394,2632.261662,0,0,0,31.0064,0,0,1,0.25
fu.16,2018,1116.581101,91.60533,66.19414,0,66.19414,5.928287694,2750.6881,0,0,0,41.55486,0,0,1,0.25
fu.16,2019,1010.4777,100.8164093,42.17453,0,42.17453,4.173721993,2251.145,0,0,0,53.37688,0,0,1,0.25
fu.16,2020,1263.93318,93.61763366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fu.17,2008,541.1781798,46.91749913,48.1618262,22.07428589,64.71754062,11.96257682,1056.561,247.8183496,0.314286842,0.25581495,21.9377271,11.22656248,0.189989476,0.74418505,0.25
fu.17,2009,695.6453567,42.99056989,24.9348393,9.486544464,32.04974764,4.604848799,626.273,129.3388644,0.275600322,0.221995768,25.11638405,13.63392802,0.171171034,0.778004232,0.25
fu.17,2010,878.5591783,47.23290432,37.34093082,15.24578831,48.77527205,5.548950177,939.363,224.1803615,0.289917085,0.234429061,25.1563895,14.70441259,0.192670397,0.765570939,0.25
fu.17,2011,672.1958766,47.96524251,31.9495157,8.542156385,38.35613299,5.707757886,658.662,91.83047373,0.210960821,0.167029802,20.61571155,10.75026839,0.122360286,0.832970198,0.25
fu.17,2012,468.2691744,51.50050734,61.0764119,8.29199325,67.29540683,14.37936043,1245.782,86.14079264,0.11953559,0.092413364,20.39710522,10.38843014,0.064674013,0.907586636,0.25
fu.17,2013,441.0297399,65.04311973,60.01603416,12.03403925,69.04156359,15.65568335,1295.485,129.0996035,0.167023275,0.130726029,21.5856482,10.72786958,0.09062263,0.869273971,0.25
fu.17,2014,383.0244427,56.52178327,33.88164775,5.038403338,37.66045025,9.833015732,766.2425,48.18927072,0.129455209,0.10033875,22.6152667,9.564393227,0.059169193,0.89966125,0.25
fu.17,2015,555.5154374,71.36533861,17.6932366,1.622352295,18.91000082,3.401079285,369.9531855,17.44206829,0.083991863,0.064345012,20.90929963,9.130825646,0.038499745,0.935654988,0.25
fu.17,2016,379.1417737,40.36828849,29.77101617,6.181839396,34.40739571,9.078468526,641.2491244,69.18897148,0.171942932,0.134749505,21.53937645,10.74428386,0.093856702,0.865250495,0.25
