Stock,country,fishingarea,fleetname,CatchCat,Datayear,DiscardsImportedOrUnrep,AgeOrLengthDistribution,Weight_Total_in_kg,Effort_Total,code,DataUsedInAssessment
ank.27.8c9a,Denmark,27.8.c,All,Landings,2002,Imported,Estimated,0.000,-9,NA,NoInformation
ank.27.8c9a,France,27.8.c,GNS_DEF_>=100_0_0,Landings,2002,Imported,Estimated,12.989,4708,kWd,NoInformation
ank.27.8c9a,France,27.8.c,GTR_DEF_100-119_0_0_all,Landings,2002,Imported,Estimated,1272.484,28260,kWd,NoInformation
ank.27.8c9a,France,27.8.c,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,192.216,427724,kWd,NoInformation
ank.27.8c9a,France,27.8.c,OTB_CRU_All_0_0_All,Landings,2002,Imported,Estimated,2442.355,70648,kWd,NoInformation
ank.27.8c9a,France,27.8.c,OTB_DEF_70-99_0_0,Landings,2002,Imported,Estimated,7596.198,172109,kWd,NoInformation
ank.27.8c9a,Portugal,27.9.a,MIS_MIS_0_0_0,Landings,2002,Imported,Sampled,90483.010,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,MIS_MIS_0_0_0,Landings,2002,Imported,Sampled,40842.910,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,MIS_MIS_0_0_0,Landings,2002,Imported,Sampled,34784.140,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,MIS_MIS_0_0_0,Landings,2002,Imported,Sampled,46706.000,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,OTB,Landings,2002,Imported,Sampled,16406.920,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,OTB,Landings,2002,Imported,Sampled,11332.630,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,OTB,Landings,2002,Imported,Sampled,33968.440,-9,NA,NoInformation
ank.27.8c9a,Portugal,27.9.a,OTB,Landings,2002,Imported,Sampled,13267.670,-9,NA,NoInformation
ank.27.8c9a,Spain,27.8.c,GNS_DEF_>=100_0_0,Landings,2002,Imported,Sampled,10656.448,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,GNS_DEF_>=100_0_0,Landings,2002,Imported,Sampled,9931.389,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,GNS_DEF_>=100_0_0,Landings,2002,Imported,Sampled,27056.773,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,GNS_DEF_>=100_0_0,Landings,2002,Imported,Sampled,26794.418,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,38124.604,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,40169.716,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,49665.562,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.8.c,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,74444.777,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.9.a,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,40176.577,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.9.a,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,53834.573,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.9.a,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,70070.513,-9,kWd,NoInformation
ank.27.8c9a,Spain,27.9.a,OTB_DEF_>=55_0_0,Landings,2002,Imported,Sampled,69924.878,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,GNS_DEF_>=220_0_0_all,Discards,2002,Unreported,Estimated,0.102,2958,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,GNS_DEF_>=220_0_0_all,Landings,2002,Imported,Estimated,1.000,2958,kWd,NoInformation
