Stock,country,fishingarea,fleetname,CatchCat,Datayear,DiscardsImportedOrUnrep,AgeOrLengthDistribution,Weight_Total_in_kg,Effort_Total,code,DataUsedInAssessment
lem.27.3a47d,Denmark,27.3.a.20,GNS_DEF_100-119_0_0_all,Discards,2002,Unreported,Estimated,66.607,39633,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,GNS_DEF_100-119_0_0_all,Landings,2002,Imported,Estimated,650.000,39633,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,GNS_DEF_120-219_0_0_all,Discards,2002,Unreported,Estimated,4004.852,727551,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,GNS_DEF_120-219_0_0_all,Landings,2002,Imported,Estimated,39082.000,727551,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Estimated,1931.000,169916,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,113.000,101558,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,7778.000,211055,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,MIS_MIS_0_0_0_HC,Discards,2002,Unreported,Estimated,1438.312,70032,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,94885.000,552561,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_32-69_0_0_all,Discards,2002,Imported,Estimated,0.000,-18,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_32-69_0_0_all,Discards,2002,Unreported,Estimated,10.247,439791,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_32-69_0_0_all,Landings,2002,Imported,Estimated,229.000,439773,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_70-89_2_35_all,Discards,2002,Imported,Estimated,0.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_70-89_2_35_all,Discards,2002,Imported,Sampled,18102.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_70-89_2_35_all,Discards,2002,Imported,Sampled,20924.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_70-89_2_35_all,Discards,2002,Unreported,Estimated,44.883,62300,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_70-89_2_35_all,Landings,2002,Imported,Estimated,5973.000,62273,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_90-119_0_0_all,Discards,2002,Imported,Estimated,0.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_90-119_0_0_all,Discards,2002,Imported,Sampled,70.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_90-119_0_0_all,Discards,2002,Imported,Sampled,2671.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_90-119_0_0_all,Discards,2002,Imported,Sampled,17309.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_CRU_90-119_0_0_all,Landings,2002,Imported,Estimated,179787.000,-36,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_DEF_>=120_0_0_all,Discards,2002,Imported,Estimated,0.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,2855.104,325636,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,31058.000,325627,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,TBB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,1077.709,241798,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,10517.000,241798,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,TBB_DEF_90-99_0_0_all,Discards,2002,Imported,Sampled,11.000,-9,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,TBB_DEF_90-99_0_0_all,Discards,2002,Unreported,Estimated,2799.256,453382,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.20,TBB_DEF_90-99_0_0_all,Landings,2002,Imported,Estimated,28777.000,453373,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.21,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Estimated,0.000,63924,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.21,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,7307.000,32379,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.21,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,919.000,56159,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.21,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,21356.000,70720,kWd,NoInformation
lem.27.3a47d,Denmark,27.3.a.21,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,71571.000,223182,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_>=220_0_0_all,Discards,2002,Unreported,Estimated,21.724,201365,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_>=220_0_0_all,Landings,2002,Imported,Sampled,153.000,127884,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_>=220_0_0_all,Landings,2002,Imported,Sampled,59.000,73481,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_100-119_0_0_all,Discards,2002,Unreported,Estimated,293.073,339874,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_100-119_0_0_all,Landings,2002,Imported,Estimated,192.000,5892,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_100-119_0_0_all,Landings,2002,Imported,Sampled,163.000,34776,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_100-119_0_0_all,Landings,2002,Imported,Sampled,2505.000,299206,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_120-219_0_0_all,Discards,2002,Unreported,Estimated,6744.878,2560340,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_120-219_0_0_all,Landings,2002,Imported,Estimated,34938.000,1199161,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_120-219_0_0_all,Landings,2002,Imported,Sampled,10057.000,526146,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,GNS_DEF_120-219_0_0_all,Landings,2002,Imported,Sampled,20826.000,835033,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,LLS_FIF_0_0_0_all,Discards,2002,Unreported,Estimated,4.304,189513,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,LLS_FIF_0_0_0_all,Landings,2002,Imported,Estimated,42.000,189513,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,14.000,886846,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,MIS_MIS_0_0_0_HC,Discards,2002,Imported,Sampled,2403.000,829034,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,MIS_MIS_0_0_0_HC,Discards,2002,Unreported,Estimated,1306.326,2089991,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,12748.000,2089991,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Sampled,36978.000,886846,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Sampled,88891.000,829034,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_32-69_0_0_all,Discards,2002,Imported,Sampled,1074.000,448257,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_32-69_0_0_all,Discards,2002,Unreported,Estimated,40.067,566936,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_32-69_0_0_all,Landings,2002,Imported,Estimated,284.000,305501,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_32-69_0_0_all,Landings,2002,Imported,Sampled,329.000,448257,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_32-69_0_0_all,Landings,2002,Imported,Sampled,107.000,261435,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Imported,Sampled,209.000,366252,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Imported,Sampled,2594.000,854126,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Unreported,Estimated,1070.024,553046,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_70-99_0_0_all,Landings,2002,Imported,Estimated,8934.000,511105,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_70-99_0_0_all,Landings,2002,Imported,Sampled,6051.000,408193,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_CRU_70-99_0_0_all,Landings,2002,Imported,Sampled,5981.000,854126,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Imported,Estimated,0.000,3114721,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Imported,Sampled,180.000,1854133,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,24406.108,1988334,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,105259.000,3068352,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Sampled,238171.000,1988334,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Sampled,369906.000,1900502,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_>=120_0_0_all,Discards,2002,Imported,Sampled,103.000,237247,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_>=120_0_0_all,Discards,2002,Imported,Sampled,12.000,170193,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,2982.273,493022,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,29103.000,493022,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Sampled,2707.000,170193,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Sampled,4921.000,237247,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_70-99_0_0_all,Discards,2002,Unreported,Estimated,10.145,3973,kWd,NoInformation
lem.27.3a47d,Denmark,27.4,TBB_DEF_70-99_0_0_all,Landings,2002,Imported,Sampled,99.000,3973,kWd,NoInformation
lem.27.3a47d,France,27.4,GTR_DEF_90-99_0_0_all,Discards,2002,Unreported,Estimated,83.042,822385,kWd,NoInformation
lem.27.3a47d,France,27.4,GTR_DEF_90-99_0_0_all,Landings,2002,Imported,Estimated,810.380,822385,kWd,NoInformation
lem.27.3a47d,France,27.4,MIS_MIS_0_0_0_HC,Discards,2002,Unreported,Estimated,20.525,866075,kWd,NoInformation
lem.27.3a47d,France,27.4,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,200.300,866075,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,2021.810,201448,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,19730.160,201448,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_100-119_0_0,Discards,2002,Unreported,Estimated,475.820,6015334,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_100-119_0_0,Landings,2002,Imported,Estimated,4643.370,6015334,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_70-99_0_0,Discards,2002,Unreported,Estimated,17311.587,2135873,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_70-99_0_0,Landings,2002,Imported,Estimated,168937.960,2135873,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_All_0_0_All,Discards,2002,Unreported,Estimated,50.569,115907,kWd,NoInformation
lem.27.3a47d,France,27.4,OTB_DEF_All_0_0_All,Landings,2002,Imported,Estimated,493.490,115907,kWd,NoInformation
lem.27.3a47d,France,27.4,OTM_DEF_70-99_0_0_all,Discards,2002,Unreported,Estimated,180.864,49638,kWd,NoInformation
lem.27.3a47d,France,27.4,OTM_DEF_70-99_0_0_all,Landings,2002,Imported,Estimated,1764.990,49638,kWd,NoInformation
lem.27.3a47d,France,27.4,SSC_DEF_All_0_0_All,Discards,2002,Unreported,Estimated,20.085,456,kWd,NoInformation
lem.27.3a47d,France,27.4,SSC_DEF_All_0_0_All,Landings,2002,Imported,Estimated,196.000,456,kWd,NoInformation
lem.27.3a47d,France,27.4,TBB_DEF_all_0_0_all,Discards,2002,Unreported,Estimated,203.995,107488,kWd,NoInformation
lem.27.3a47d,France,27.4,TBB_DEF_all_0_0_all,Landings,2002,Imported,Estimated,1990.720,107488,kWd,NoInformation
lem.27.3a47d,France,27.7.d,GTR_DEF_90-99_0_0_all,Discards,2002,Unreported,Estimated,335.157,1760639,kWd,NoInformation
lem.27.3a47d,France,27.7.d,GTR_DEF_90-99_0_0_all,Landings,2002,Imported,Estimated,3270.680,1760639,kWd,NoInformation
lem.27.3a47d,France,27.7.d,MIS_MIS_0_0_0_HC,Discards,2002,Unreported,Estimated,289.374,6767469,kWd,NoInformation
lem.27.3a47d,France,27.7.d,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,2823.900,6767469,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,844.808,63771,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,8244.200,63771,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_100-119_0_0,Discards,2002,Unreported,Estimated,4079.975,326534,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_100-119_0_0,Landings,2002,Imported,Estimated,39815.100,326534,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_70-99_0_0,Discards,2002,Unreported,Estimated,18370.112,5955498,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_70-99_0_0,Landings,2002,Imported,Estimated,179267.750,5955498,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_All_0_0_All,Discards,2002,Unreported,Estimated,663.739,935150,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTB_DEF_All_0_0_All,Landings,2002,Imported,Estimated,6477.210,935150,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTM_DEF_70-99_0_0_all,Discards,2002,Unreported,Estimated,259.275,275459,kWd,NoInformation
lem.27.3a47d,France,27.7.d,OTM_DEF_70-99_0_0_all,Landings,2002,Imported,Estimated,2530.180,275459,kWd,NoInformation
lem.27.3a47d,France,27.7.d,TBB_DEF_all_0_0_all,Discards,2002,Unreported,Estimated,467.260,76181,kWd,NoInformation
lem.27.3a47d,France,27.7.d,TBB_DEF_all_0_0_all,Landings,2002,Imported,Estimated,4559.830,76181,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,GNS_DEF_100-119_0_0_all,Discards,2002,Unreported,Estimated,0.922,9044,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,GNS_DEF_100-119_0_0_all,Landings,2002,Imported,Estimated,9.000,9044,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,GNS_DEF_all_0_0_all,Discards,2002,Unreported,Estimated,1.332,1288,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,GNS_DEF_all_0_0_all,Landings,2002,Imported,Estimated,13.000,1288,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,OTB_CRU_70-89_2_35_all,Discards,2002,Unreported,Estimated,15.166,11710,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,OTB_CRU_70-89_2_35_all,Landings,2002,Imported,Estimated,148.000,11710,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,OTB_CRU_90-119_0_0_all,Discards,2002,Unreported,Estimated,220.932,35816,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,OTB_CRU_90-119_0_0_all,Landings,2002,Imported,Estimated,2156.000,35816,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,155.862,21916,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,1521.000,21916,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,TBB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,35.661,6180,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,348.000,6180,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,TBB_DEF_90-99_0_0_all,Discards,2002,Unreported,Estimated,9.940,781,kWd,NoInformation
lem.27.3a47d,Germany,27.3.a,TBB_DEF_90-99_0_0_all,Landings,2002,Imported,Estimated,97.000,781,kWd,NoInformation
lem.27.3a47d,Germany,27.4,GNS_DEF_100-119_0_0_all,Discards,2002,Unreported,Estimated,4.406,52749,kWd,NoInformation
lem.27.3a47d,Germany,27.4,GNS_DEF_100-119_0_0_all,Landings,2002,Imported,Estimated,43.000,52749,kWd,NoInformation
lem.27.3a47d,Germany,27.4,GNS_DEF_120-219_0_0_all,Discards,2002,Unreported,Estimated,2.562,4200,kWd,NoInformation
lem.27.3a47d,Germany,27.4,GNS_DEF_120-219_0_0_all,Landings,2002,Imported,Estimated,25.000,4200,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Imported,Sampled,2775.000,90859,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Imported,Sampled,3858.000,89687,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Unreported,Estimated,1853.737,97892,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_CRU_70-99_0_0_all,Landings,2002,Imported,Estimated,86629.000,278438,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Imported,Sampled,35.000,621248,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,735.756,1648014,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,7180.000,1648014,kWd,NoInformation
lem.27.3a47d,Germany,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Sampled,4474.000,621248,kWd,NoInformation
lem.27.3a47d,Germany,27.4,SSC_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,463.281,297629,kWd,NoInformation
lem.27.3a47d,Germany,27.4,SSC_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,4521.000,297629,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,194.289,97964,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,1896.000,97964,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_70-99_0_0_all,Discards,2002,Imported,Sampled,6561.000,401314,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_70-99_0_0_all,Discards,2002,Imported,Sampled,4296.000,603643,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_70-99_0_0_all,Discards,2002,Unreported,Estimated,589.015,708630,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_70-99_0_0_all,Landings,2002,Imported,Estimated,5748.000,708630,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_70-99_0_0_all,Landings,2002,Imported,Sampled,3561.000,603643,kWd,NoInformation
lem.27.3a47d,Germany,27.4,TBB_DEF_70-99_0_0_all,Landings,2002,Imported,Sampled,2165.000,401314,kWd,NoInformation
lem.27.3a47d,Ireland,27.4,OTB_DEF_70-99_0_0,Landings,2002,Imported,Estimated,0.000,-9,NA,NoInformation
lem.27.3a47d,Netherlands,27.3.a,TBB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,4.611,920,kWd,NoInformation
lem.27.3a47d,Netherlands,27.3.a,TBB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,45.000,920,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,MIS_MIS_0_0_0_HC,Discards,2002,Unreported,Estimated,196.236,-36,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,MIS_MIS_0_0_0_HC,Landings,2002,Imported,Estimated,1915.000,-36,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_CRU_70-99_0_0_all,Discards,2002,Unreported,Estimated,387.860,-27,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_CRU_70-99_0_0_all,Landings,2002,Imported,Estimated,3785.000,-27,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_<16_0_0_all,Discards,2002,Unreported,Estimated,2.562,-9,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_<16_0_0_all,Landings,2002,Imported,Estimated,25.000,-9,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_>=120_0_0_all,Discards,2002,Unreported,Estimated,601.517,-27,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_>=120_0_0_all,Landings,2002,Imported,Estimated,5870.000,-27,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_100-119_0_0_all,Discards,2002,Unreported,Estimated,2923.658,-36,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_100-119_0_0_all,Landings,2002,Imported,Estimated,28531.000,-36,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_70-99_0_0_all,Discards,2002,Unreported,Estimated,384.376,-36,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_70-99_0_0_all,Landings,2002,Imported,Estimated,3751.000,-36,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_All_0_0_All,Discards,2002,Unreported,Estimated,5.124,5992,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,OTB_DEF_All_0_0_All,Landings,2002,Imported,Estimated,50.000,5992,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,PTB_CRU_>=120_0_0_all,Discards,2002,Unreported,Estimated,8.198,1620,kWd,NoInformation
lem.27.3a47d,Netherlands,27.4,PTB_CRU_>=120_0_0_all,Landings,2002,Imported,Estimated,80.000,1620,kWd,NoInformation
