stock,Year,CatchCategory,Country,Area,tons
HKE,2013,Discards,Belgium,8,44
HKE,2014,Discards,Belgium,8,158
HKE,2015,Discards,Belgium,8,86
HKE,2013,Landings,Belgium,8,7
HKE,2014,Landings,Belgium,8,18
HKE,2015,Landings,Belgium,8,18
HKE,2017,Landings,Belgium,8,0
HKE,2017,Discards,Denmark,8,0
HKE,2017,Landings,Denmark,8,0
HKE,2019,Landings,Denmark,8,0
HKE,2013,Discards,France,8,4017
HKE,2014,Discards,France,8,1121
HKE,2015,Discards,France,8,2425
HKE,2016,Discards,France,8,3488
HKE,2017,Discards,France,8,2787
HKE,2018,Discards,France,8,2758
HKE,2019,Discards,France,8,1472
HKE,2013,Landings,France,8,13083
HKE,2014,Landings,France,8,16068
HKE,2015,Landings,France,8,17530
HKE,2016,Landings,France,8,16749
HKE,2017,Landings,France,8,17467
HKE,2018,Landings,France,8,16438
HKE,2019,Landings,France,8,13598
HKE,2017,Landings,Ireland,8,1
HKE,2018,Landings,Ireland,8,3
HKE,2014,Landings,Netherlands,8,4
HKE,2015,Landings,Netherlands,8,14
HKE,2019,Landings,Netherlands,8,2
HKE,2014,Discards,Spain,8,183
HKE,2015,Discards,Spain,8,589
HKE,2016,Discards,Spain,8,665
HKE,2017,Discards,Spain,8,905
HKE,2018,Discards,Spain,8,347
HKE,2019,Discards,Spain,8,586
HKE,2013,Landings,Spain,8,6795
HKE,2014,Landings,Spain,8,9311
HKE,2015,Landings,Spain,8,10762
HKE,2016,Landings,Spain,8,9741
HKE,2017,Landings,Spain,8,11377
HKE,2018,Landings,Spain,8,9262
HKE,2019,Landings,Spain,8,7775
HKE,2015,Landings,UK (England),8,6
HKE,2016,Landings,UK (England),8,1
HKE,2017,Landings,UK (England),8,9
HKE,2018,Landings,UK (England),8,64
HKE,2019,Landings,UK (England),8,0
HKE,2014,Landings,UK(Scotland),8,154
HKE,2015,Landings,UK(Scotland),8,168
HKE,2016,Landings,UK(Scotland),8,0
HKE,2018,Landings,UK(Scotland),8,128
