Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
UK (England),4,Quarter,2017,meg.27.7b-k8abd,27.7.e,MIS_MIS_0_0_0_HC,-9,NA,2,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,meg.27.7b-k8abd,27.7.e,MIS_MIS_0_0_0_HC,-9,NA,2,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,meg.27.7b-k8abd,27.7.e,MIS_MIS_0_0_0_HC,-9,NA,178,Landings,"A-All - reported, nonre",Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.d,MIS_MIS_0_0_0_HC,3770930,kWd,1370.49,Landings,R-Reported,Imported
France,1,Quarter,2017,meg.27.7b-k8abd,27.7.d,MIS_MIS_0_0_0_HC,4521794,kWd,1289.45,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.d,MIS_MIS_0_0_0_HC,5672159,kWd,494.58,Landings,R-Reported,Imported
Spain,3,Quarter,2017,meg.27.7b-k8abd,27.8.a,OTB_DEF_>=70_0_0,-9,NA,133870,Landings,R-Reported,Imported
Spain,1,Quarter,2017,meg.27.7b-k8abd,27.8.a,OTB_DEF_>=70_0_0,-9,NA,188870,Landings,R-Reported,Imported
Spain,4,Quarter,2017,meg.27.7b-k8abd,27.8.a,OTB_DEF_>=70_0_0,-9,NA,151380,Landings,R-Reported,Imported
Spain,2,Quarter,2017,meg.27.7b-k8abd,27.8.a,OTB_DEF_>=70_0_0,-9,NA,181720,Landings,R-Reported,Imported
Spain,1,Quarter,2017,meg.27.7b-k8abd,27.8.a,GNS_DEF_>=100_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,2,Quarter,2017,meg.27.7b-k8abd,27.8.a,GNS_DEF_>=100_0_0,2024,kWd,0,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.d,MIS_MIS_0_0_0_HC,4364101,kWd,768.86,Landings,R-Reported,Imported
Belgium,1,Quarter,2017,meg.27.7b-k8abd,27.7.d,MIS_MIS_0_0_0_HC,59058,kWd,1,Landings,R-Reported,Imported
Spain,2,Quarter,2017,meg.27.7b-k8abd,27.8.b,PTB_DEF_>=70_0_0,95169,kWd,50,Landings,R-Reported,Imported
Spain,3,Quarter,2017,meg.27.7b-k8abd,27.8.a,GNS_DEF_>=100_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,3,Quarter,2017,meg.27.7b-k8abd,27.8.b,PTB_DEF_>=70_0_0,68283,kWd,10,Landings,R-Reported,Imported
Spain,4,Quarter,2017,meg.27.7b-k8abd,27.8.a,GNS_DEF_>=100_0_0,14572,kWd,60,Landings,R-Reported,Imported
Spain,1,Quarter,2017,meg.27.7b-k8abd,27.8.b,PTB_DEF_>=70_0_0,80661,kWd,200,Landings,R-Reported,Imported
Spain,4,Quarter,2017,meg.27.7b-k8abd,27.8.b,PTB_DEF_>=70_0_0,92973,kWd,90,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.d,OTB_DEF_70-99_0_0,2282110,kWd,72.58,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.e,MIS_MIS_0_0_0_HC,2973434,kWd,289.68,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.e,OTT-CRU,916,kWd,0,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.e,SSC_DEF_All_0_0_All,12573,kWd,157.36,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.e,OTT_DEF_>=70_0_0,18484,kWd,291.17,Landings,R-Reported,Imported
France,1,Quarter,2017,meg.27.7b-k8abd,27.7.e,OTT_DEF_100-119_0_0_all,25364,kWd,2310.52,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.e,OTB_DEF_100-119_0_0,374647,kWd,7851.83,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.e,OTB_DEF_70-99_0_0,1380250,kWd,2681.89,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.f,MIS_MIS_0_0_0_HC,62532,kWd,847.75,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.f,OTT-CRU,3397,kWd,614.28,Landings,R-Reported,Imported
France,1,Quarter,2017,meg.27.7b-k8abd,27.7.g,OTT_DEF_100-119_0_0_all,318112,kWd,53629.65,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.h,OTB_DEF_100-119_0_0,752039,kWd,108204.86,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.f,OTB_DEF_100-119_0_0,173288,kWd,5620.23,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.g,OTT_DEF_100-119_0_0_all,403513,kWd,73649.39,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.h,OTT_DEF_100-119_0_0_all,615381,kWd,90259.72,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.h,OTB_DEF_100-119_0_0,752039,kWd,317.41,Discards,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.j,OTT_DEF_100-119_0_0_all,294520,kWd,27881.67,Landings,R-Reported,Imported
France,1,Quarter,2017,meg.27.7b-k8abd,27.7.f,OTB_DEF_70-99_0_0,3379,kWd,46.95,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.f,OTB_DEF_70-99_0_0,5500,kWd,258.24,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.b,OTT_DEF_100-119_0_0_all,5397,kWd,159.85,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.b,OTB_DEF_70-99_0_0,63065,kWd,19494.48,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.c,MIS_MIS_0_0_0_HC,367992,kWd,304.73,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.c,OTT_DEF_100-119_0_0_all,1400,kWd,29.65,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.c,OTB_DEF_100-119_0_0,155176,kWd,28134.42,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.c,OTB_DEF_70-99_0_0,116504,kWd,95471.03,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.g,MIS_MIS_0_0_0_HC,84840,kWd,728.69,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.g,SSC_DEF_All_0_0_All,25872,kWd,1193.5,Landings,R-Reported,Imported
France,3,Quarter,2017,meg.27.7b-k8abd,27.7.g,OTB_DEF_100-119_0_0,425458,kWd,26216.58,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.h,MIS_MIS_0_0_0_HC,607618,kWd,725.11,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.h,SSC_DEF_All_0_0_All,15804,kWd,164.42,Landings,R-Reported,Imported
France,1,Quarter,2017,meg.27.7b-k8abd,27.7.h,OTB_DEF_70-99_0_0,584649,kWd,71650.66,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.h,OTB_DEF_70-99_0_0,714054,kWd,52902.74,Landings,R-Reported,Imported
France,2,Quarter,2017,meg.27.7b-k8abd,27.7.h,GTR_DEF_100-119_0_0_all,8043,kWd,11.96,Landings,R-Reported,Imported
France,4,Quarter,2017,meg.27.7b-k8abd,27.7.j,MIS_MIS_0_0_0_HC,747702,kWd,2316.13,Landings,R-Reported,Imported
France,1,Quarter,2017,meg.27.7b-k8abd,27.7.j,OTB_DEF_100-119_0_0,383331,kWd,176171.48,Landings,R-Reported,Imported
