Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
Spain,1,Quarter,2019,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,7288,kWd,4640,Landings,R-Reported,Imported
Spain,3,Quarter,2019,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,8912,kWd,5620,Landings,R-Reported,Imported
Spain,4,Quarter,2019,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,65420,kWd,0,Logbook Registered Discard,R-Reported,Imported
Spain,2,Quarter,2019,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,56567,kWd,0,Discards,R-Reported,Imported
Spain,2,Quarter,2019,mon.27.78abd,27.7.g,OTB_DEF_70-99_0_0,7193,kWd,0,Discards,R-Reported,Imported
Spain,1,Quarter,2019,mon.27.78abd,27.7.h,OTB_DEF_70-99_0_0,22906,kWd,29,Discards,R-Reported,Imported
Spain,3,Quarter,2019,mon.27.78abd,27.7.h,OTB_DEF_70-99_0_0,19243,kWd,31,Discards,R-Reported,Imported
Spain,1,Quarter,2019,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,374286,kWd,0,Logbook Registered Discard,R-Reported,Imported
Spain,3,Quarter,2019,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,357194,kWd,584,Discards,R-Reported,Imported
Spain,4,Quarter,2019,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,83782,kWd,0,Discards,R-Reported,Imported
Spain,2,Quarter,2019,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,14004,kWd,0,Discards,R-Reported,Imported
UK (England),3,Quarter,2019,mon.27.78abd,27.7.f,TBB_DEF_70-99_0_0_all,591,fd,39297,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2019,mon.27.78abd,27.7.f,OTB_DEF_70-99_0_0_all,141,fd,22,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2019,mon.27.78abd,27.7.c,OTB_DEF_>=120_0_0_all,1389,fd,55749,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2019,mon.27.78abd,27.7.g,TBB_DEF_70-99_0_0_all,9,fd,94,Landings,"A-All - reported, nonre",Imported
