"year","country","subArea","catchCat","fleet","Age","frequency1000","meanWeightKg"
2003,"Ireland","27.7","Discards","SSC_DEF",4,46999.6449244324,0.243271087184662
2003,"Ireland","27.7","Discards","SSC_DEF",5,5441.98408851386,0.25613944033663
2003,"Ireland","27.7","Discards","TBB_DEF",0,172925.061582329,0.0444944241759362
2003,"Ireland","27.7","Discards","TBB_DEF",1,256131.304236998,0.120605462395303
2003,"Ireland","27.7","Discards","TBB_DEF",2,321281.79971536,0.166087948282554
2003,"Ireland","27.7","Discards","TBB_DEF",3,45064.1131927597,0.21130103099275
2003,"Ireland","27.7","Discards","TBB_DEF",4,9440.02956982692,0.305074652488402
2003,"Ireland","27.7","Discards","TBB_DEF",5,1025.54156259594,0.272178494799479
2003,"Ireland","27.7","Landings","GNS_DEF",1,2516.31731867083,0.1968392506817
2003,"Ireland","27.7","Landings","GNS_DEF",2,77778.0330222299,0.243363728896991
2003,"Ireland","27.7","Landings","GNS_DEF",3,51717.9745038679,0.378773076824859
2003,"Ireland","27.7","Landings","GNS_DEF",4,66778.6653444439,0.732650363958935
2003,"Ireland","27.7","Landings","GNS_DEF",5,21107.4453919435,0.94121029824379
2003,"Ireland","27.7","Landings","GNS_DEF",6,706.301509284878,0.946901610135381
2003,"Ireland","27.7","Landings","GNS_DEF",7,42.356287022819,0.59317
2003,"Ireland","27.7","Landings","GNS_DEF",8,3.19606063323708,0.96386
2003,"Ireland","27.7","Landings","MIS_MIS",1,17677.9800082099,0.209258680661599
2003,"Ireland","27.7","Landings","MIS_MIS",2,145144.849338588,0.312175429248373
2003,"Ireland","27.7","Landings","MIS_MIS",3,139017.91458529,0.424485155678355
2003,"Ireland","27.7","Landings","MIS_MIS",4,99278.37232344,0.566027602388098
2003,"Ireland","27.7","Landings","MIS_MIS",5,20365.4835485178,0.729274075642517
2003,"Ireland","27.7","Landings","MIS_MIS",6,2635.08137240488,0.857048030262367
2003,"Ireland","27.7","Landings","MIS_MIS",8,2.41001966066231,0.96386
2003,"Ireland","27.7","Landings","OTB_CRU",1,10225.9001041955,0.204708388953135
2003,"Ireland","27.7","Landings","OTB_CRU",2,137710.911496334,0.265048587973872
2003,"Ireland","27.7","Landings","OTB_CRU",3,96026.8011465974,0.35426776214465
2003,"Ireland","27.7","Landings","OTB_CRU",4,48105.1115456227,0.427749288255162
2003,"Ireland","27.7","Landings","OTB_CRU",5,9217.8154255348,0.554772024674529
2003,"Ireland","27.7","Landings","OTB_CRU",6,494.872293121705,0.814675400263256
2003,"Ireland","27.7","Landings","OTB_CRU",7,85.1370521168401,0.59317
2003,"Ireland","27.7","Landings","OTB_CRU",8,10.3910265021525,0.96386
2003,"Ireland","27.7","Landings","OTB_DEF",1,54148.7714460049,0.201340718715465
2003,"Ireland","27.7","Landings","OTB_DEF",2,1891886.82309426,0.253979023755311
2003,"Ireland","27.7","Landings","OTB_DEF",3,1341843.73865944,0.365989798084444
2003,"Ireland","27.7","Landings","OTB_DEF",4,999802.700207672,0.613295854937472
2003,"Ireland","27.7","Landings","OTB_DEF",5,271815.355375993,0.756144648921687
2003,"Ireland","27.7","Landings","OTB_DEF",6,18857.0319885179,0.884281291194187
2003,"Ireland","27.7","Landings","OTB_DEF",7,398.632841573826,0.59317
2003,"Ireland","27.7","Landings","OTB_DEF",8,87.1539322571338,0.96386
2003,"Ireland","27.7","Landings","SSC_DEF",1,107440.203010497,0.210319029940335
2003,"Ireland","27.7","Landings","SSC_DEF",2,2768057.8557762,0.267971379923824
2003,"Ireland","27.7","Landings","SSC_DEF",3,1818888.91716045,0.353078336202957
2003,"Ireland","27.7","Landings","SSC_DEF",4,982092.434529661,0.478645021968266
2003,"Ireland","27.7","Landings","SSC_DEF",5,272214.269766372,0.705176830669469
2003,"Ireland","27.7","Landings","SSC_DEF",6,6902.55826037852,0.981487915488484
2003,"Ireland","27.7","Landings","SSC_DEF",7,3044.82081057889,0.59317
2003,"Ireland","27.7","Landings","TBB_DEF",1,981.826885390897,0.189392139346386
2003,"Ireland","27.7","Landings","TBB_DEF",2,67465.9280463693,0.282033076921001
2003,"Ireland","27.7","Landings","TBB_DEF",3,58241.6577976119,0.399705172740458
2003,"Ireland","27.7","Landings","TBB_DEF",4,45787.426086175,0.535326005135604
2003,"Ireland","27.7","Landings","TBB_DEF",5,7656.14585835918,0.611072747191031
2003,"Ireland","27.7","Landings","TBB_DEF",6,745.533537305385,0.758006248711955
2003,"Ireland","27.7","Landings","TBB_DEF",7,239.442597837498,0.59317
2003,"Ireland","27.7","Landings","TBB_DEF",8,2.20293444776793,0.96386
2003,"Netherlands","27.7","Discards","MIS_MIS",0,5299.00970972538,0.0438761115798779
2003,"Netherlands","27.7","Discards","MIS_MIS",1,6578.74581095445,0.114145332937331
2003,"Netherlands","27.7","Discards","MIS_MIS",2,8347.39356400333,0.164199433315575
2003,"Netherlands","27.7","Discards","MIS_MIS",3,1809.8009422114,0.209958845737499
2003,"Netherlands","27.7","Discards","MIS_MIS",4,1098.25416948009,0.24287493106821
2003,"Netherlands","27.7","Discards","MIS_MIS",5,94.523259784105,0.261057868146553
2003,"Netherlands","27.7","Discards","MIS_MIS",6,3.43886292219442,0.348410638808005
2003,"Netherlands","27.7","Discards","SSC_DEF",0,6616.5751782424,0.0432540933385752
2003,"Netherlands","27.7","Discards","SSC_DEF",1,6711.77272432429,0.1072521943343
2003,"Netherlands","27.7","Discards","SSC_DEF",2,8270.95133758748,0.160290536842327
2003,"Netherlands","27.7","Discards","SSC_DEF",3,1513.64515955219,0.219780614617792
2003,"Netherlands","27.7","Discards","SSC_DEF",4,743.178809161083,0.287175869701602
2003,"Netherlands","27.7","Discards","SSC_DEF",5,67.0497754432694,0.300157121930005
2003,"Netherlands","27.7","Discards","SSC_DEF",6,3.37539539330255,0.399253715216707
2003,"Netherlands","27.7","Landings","MIS_MIS",1,39.9909395779084,0.170786039858783
2003,"Netherlands","27.7","Landings","MIS_MIS",2,2902.48753604672,0.241489527691957
2003,"Netherlands","27.7","Landings","MIS_MIS",3,3138.21053207553,0.330923913687614
2003,"Netherlands","27.7","Landings","MIS_MIS",4,4287.29476909029,0.438498541816256
2003,"Netherlands","27.7","Landings","MIS_MIS",5,795.806671458745,0.574678540245597
2003,"Netherlands","27.7","Landings","MIS_MIS",6,100.341963009533,0.760919874312504
2003,"Netherlands","27.7","Landings","MIS_MIS",8,0.0862527771250519,0.96386
2003,"Netherlands","27.7","Landings","SSC_DEF",1,64.766146820055,0.211927769713593
2003,"Netherlands","27.7","Landings","SSC_DEF",2,4623.90401422487,0.262489308971185
2003,"Netherlands","27.7","Landings","SSC_DEF",3,6628.89127496689,0.348777057943041
2003,"Netherlands","27.7","Landings","SSC_DEF",4,9175.01352226441,0.47925682099736
2003,"Netherlands","27.7","Landings","SSC_DEF",5,2142.0338174458,0.603083005241926
2003,"Netherlands","27.7","Landings","SSC_DEF",6,287.534575305165,0.763478346832007
2003,"Netherlands","27.7","Landings","SSC_DEF",8,0.00545903652690202,0.96386
2003,"Spain","27.7","Discards","MIS_MIS",0,189.362350354765,0.0487101499055468
2003,"Spain","27.7","Discards","MIS_MIS",1,696.166295322805,0.136494500643036
2003,"Spain","27.7","Discards","MIS_MIS",2,988.42988098999,0.177175864839596
2003,"Spain","27.7","Discards","MIS_MIS",3,218.516372489167,0.240840316053579
2003,"Spain","27.7","Discards","MIS_MIS",4,90.5008933460518,0.307909910404911
2003,"Spain","27.7","Discards","MIS_MIS",5,12.0475750407548,0.303595078344191
2003,"Spain","27.7","Discards","MIS_MIS",6,0.723848538051309,0.356613376124774
2003,"Spain","27.7","Discards","OTB_DEF",0,201203.30181519,0.0472339437444417
2003,"Spain","27.7","Discards","OTB_DEF",1,542272.940646018,0.132749916800423
