Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
France,3,Quarter,2017,mon.27.78abd,27.7.h,GTR_DEF_>=220_0_0_all,89973,kWd,135341.85,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.h,GTR_DEF_>=220_0_0_all,89973,kWd,8047.77,Discards,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.a,OTT_DEF_>=70_0_0,883570,kWd,174463.37,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.a,OTT_DEF_>=70_0_0,883570,kWd,2113.97,Discards,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.a,GTR_DEF_100-119_0_0_all,557589,kWd,171996.94,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.a,GTR_DEF_100-119_0_0_all,557589,kWd,40557.21,Discards,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.b,GTR_DEF_100-119_0_0_all,628180,kWd,3300.69,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.b,GTR_DEF_100-119_0_0_all,628180,kWd,43.96,Discards,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,276340,kWd,515849.87,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.e,OTT_DEF_>=70_0_0,1180,kWd,79.89,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_100-119_0_0_all,39868,kWd,8268.5,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.h,GTR_DEF_>=220_0_0_all,125522,kWd,121942.4,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.h,OTT_DEF_>=70_0_0,7522,kWd,716.86,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.h,GTR_DEF_100-119_0_0_all,5753,kWd,1122.15,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.h,GTR_DEF_100-119_0_0_all,4634,kWd,4057.88,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.a,OTT_DEF_>=70_0_0,1061036,kWd,269487.46,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.a,OTT_DEF_>=70_0_0,1061036,kWd,9442.24,Discards,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.a,OTT_DEF_>=70_0_0,1728897,kWd,183471.74,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.b,OTT_DEF_>=70_0_0,79136,kWd,18748.24,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.d,OTT_DEF_>=70_0_0,69110,kWd,34946.32,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.d,OTT_DEF_>=70_0_0,34812,kWd,19712.47,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.d,GTR_DEF_100-119_0_0_all,7641,kWd,10557.58,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,249050,kWd,186547.18,Landings,R-Reported,Imported
UK(Scotland),1,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_>=120_0_0_all,-9,kWd,0,Landings,R-Reported,Imported
UK(Scotland),4,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_>=120_0_0_all,-9,kWd,19146,Landings,R-Reported,Imported
UK(Scotland),2,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_>=120_0_0_all,-9,kWd,32838,Landings,R-Reported,Imported
UK(Scotland),3,Quarter,2017,mon.27.78abd,27.7.g,OTB_DEF_>=120_0_0_all,-9,kWd,0,Landings,R-Reported,Imported
UK(Scotland),2,Quarter,2017,mon.27.78abd,27.7.h,OTB_DEF_>=120_0_0_all,-9,kWd,229,Landings,R-Reported,Imported
UK(Scotland),2,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_>=120_0_0_all,-9,kWd,5658,Landings,R-Reported,Imported
UK(Scotland),3,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_>=120_0_0_all,-9,kWd,10394,Landings,R-Reported,Imported
UK(Scotland),1,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_>=120_0_0_all,-9,kWd,0,Landings,R-Reported,Imported
UK(Scotland),4,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_>=120_0_0_all,-9,kWd,5297,Landings,R-Reported,Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.h,OTB_DEF_70-99_0_0_all,17,fd,62,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_>=120_0_0_all,3,fd,9,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_70-99_0_0_all,10,fd,22,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_70-99_0_0_all,3,fd,10,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_>=120_0_0_all,3,fd,7,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_70-99_0_0_all,44,fd,275,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_>=120_0_0_all,12,fd,30,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_>=120_0_0_all,1,fd,6,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.h,OTB_DEF_>=120_0_0_all,741,fd,17580,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.h,OTB_DEF_>=120_0_0_all,502,fd,13135,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.h,OTB_DEF_70-99_0_0_all,36,fd,852,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.j,OTB_DEF_>=120_0_0_all,2245,fd,109559,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.j,OTB_DEF_70-99_0_0_all,405,fd,33056,Landings,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.k,OTB_DEF_>=120_0_0_all,16,fd,1865,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.a,OTB_DEF_70-99_0_0_all,48,fd,556,Landings,"A-All - reported, nonre",Imported
