"year","country","subArea","catchCat","fleet","Age","frequency1000","meanWeightKg"
2002,"France","27.7","Discards","MIS_MIS",1,125997.251194567,0.0723766542629966
2002,"France","27.7","Discards","MIS_MIS",2,2600.24358500348,0.303643250096962
2002,"France","27.7","Discards","MIS_MIS",3,2883.5541681131,1.45369503798093
2002,"France","27.7","Discards","MIS_MIS",4,466.186538554327,2.18167
2002,"France","27.7","Discards","MIS_MIS",5,447.574418361509,1.175350521662
2002,"France","27.7","Discards","MIS_MIS",6,637.683132305757,0.593580269618876
2002,"France","27.7","Discards","OTB_CRU",1,393151.325397555,0.0723034538575565
2002,"France","27.7","Discards","OTB_CRU",2,7821.49267476032,0.281844902062873
2002,"France","27.7","Discards","OTB_CRU",3,6194.43999238898,1.45326269172702
2002,"France","27.7","Discards","OTB_CRU",4,1001.09902417305,2.18167
2002,"France","27.7","Discards","OTB_CRU",5,1197.76122084333,0.986049955753604
2002,"France","27.7","Discards","OTB_CRU",6,1886.25594080056,0.490017897542558
2002,"France","27.7","Discards","OTB_DEF",1,6264509.20809997,0.0725818804357974
2002,"France","27.7","Discards","OTB_DEF",2,142331.196041598,0.357156298785314
2002,"France","27.7","Discards","OTB_DEF",3,268594.699536258,1.45414047148483
2002,"France","27.7","Discards","OTB_DEF",4,43440.0545154847,2.18167
2002,"France","27.7","Discards","OTB_DEF",5,31134.7264062981,1.5006801927674
2002,"France","27.7","Discards","OTB_DEF",6,36329.6774552452,0.833788362578556
2002,"France","27.7","Landings","MIS_MIS",1,32310.5590204164,0.39184570343973
2002,"France","27.7","Landings","MIS_MIS",2,29570.2967104788,0.668685976242949
2002,"France","27.7","Landings","MIS_MIS",3,24930.988413221,1.24705228334768
2002,"France","27.7","Landings","MIS_MIS",4,1379.91841437428,1.82940045718665
2002,"France","27.7","Landings","MIS_MIS",5,57.072105734468,2.20218822333265
2002,"France","27.7","Landings","MIS_MIS",6,18.9244167872141,1.56478894923269
2002,"France","27.7","Landings","MIS_MIS",7,190.135343642998,2.4808309810971
2002,"France","27.7","Landings","MIS_MIS",8,295.876563878413,4.03565
2002,"France","27.7","Landings","OTB_CRU",1,65091.5839386496,0.402745060587557
2002,"France","27.7","Landings","OTB_CRU",2,76786.5540683427,0.701576162924114
2002,"France","27.7","Landings","OTB_CRU",3,65975.5786417214,1.29050604645223
2002,"France","27.7","Landings","OTB_CRU",4,4152.06429095469,1.81365275989111
2002,"France","27.7","Landings","OTB_CRU",5,127.347043977194,2.15311495040667
2002,"France","27.7","Landings","OTB_CRU",6,48.9063266558742,1.45215433614963
2002,"France","27.7","Landings","OTB_CRU",7,749.090849644005,2.4500515397334
2002,"France","27.7","Landings","OTB_CRU",8,923.360685745341,4.03565
2002,"France","27.7","Landings","OTB_DEF",1,1671169.78477082,0.396750645629582
2002,"France","27.7","Landings","OTB_DEF",2,2040878.61668896,0.656031435714737
2002,"France","27.7","Landings","OTB_DEF",3,1712221.6799584,1.13738145835457
2002,"France","27.7","Landings","OTB_DEF",4,75120.8371596428,1.84523093520071
2002,"France","27.7","Landings","OTB_DEF",5,5104.12840937967,2.25688463910846
2002,"France","27.7","Landings","OTB_DEF",6,1394.06845156793,1.74131117071547
2002,"France","27.7","Landings","OTB_DEF",7,14063.5237174944,2.4618888071734
2002,"France","27.7","Landings","OTB_DEF",8,14704.9070972154,4.03565
2002,"Spain","27.7","Discards","GNS_DEF",1,3421.25113919675,0.0722283710663497
2002,"Spain","27.7","Discards","GNS_DEF",2,65.4564165304844,0.257727184923615
2002,"Spain","27.7","Discards","GNS_DEF",3,28.8840257497174,1.45206055767804
2002,"Spain","27.7","Discards","GNS_DEF",4,4.66333822319876,2.18167
2002,"Spain","27.7","Discards","GNS_DEF",5,8.64848250662705,0.713197376099392
2002,"Spain","27.7","Discards","GNS_DEF",6,15.4904449457472,0.371278775527419
2002,"Spain","27.7","Discards","MIS_MIS",1,1744.06521974731,0.072198435973915
2002,"Spain","27.7","Discards","MIS_MIS",2,32.8380931188048,0.247567246359389
2002,"Spain","27.7","Discards","MIS_MIS",3,9.63900781342802,1.45069419563904
2002,"Spain","27.7","Discards","MIS_MIS",4,1.55444607439959,2.18167
2002,"Spain","27.7","Discards","MIS_MIS",5,4.04809888869053,0.570409816583778
2002,"Spain","27.7","Discards","MIS_MIS",6,7.70883291699898,0.319892280910663
2002,"Spain","27.7","Landings","GNS_DEF",1,109.612545937852,0.435685966213166
2002,"Spain","27.7","Landings","GNS_DEF",2,271.773211987209,0.714495700086431
2002,"Spain","27.7","Landings","GNS_DEF",3,407.639414593697,1.38553637221572
2002,"Spain","27.7","Landings","GNS_DEF",4,29.028138120229,1.7360481304811
2002,"Spain","27.7","Landings","GNS_DEF",5,0.658032795150662,2.028751484752
2002,"Spain","27.7","Landings","GNS_DEF",6,0.345169493565606,1.34841150620399
2002,"Spain","27.7","Landings","GNS_DEF",7,3.44811203142235,2.50474995799213
2002,"Spain","27.7","Landings","GNS_DEF",8,8.03637730586979,4.03565
2002,"Spain","27.7","Landings","MIS_MIS",1,1371.97380552305,0.397849540626134
2002,"Spain","27.7","Landings","MIS_MIS",2,1154.59934023159,0.743506253370119
2002,"Spain","27.7","Landings","MIS_MIS",3,455.447540015673,1.35229334515393
2002,"Spain","27.7","Landings","MIS_MIS",4,39.2615764843407,1.99217168229172
2002,"Spain","27.7","Landings","MIS_MIS",5,0.242928260013318,1.91890775510146
2002,"Spain","27.7","Landings","MIS_MIS",6,0.155769920738865,1.23082121540075
2002,"Spain","27.7","Landings","MIS_MIS",7,13.6014327587926,2.52934368768251
2002,"Spain","27.7","Landings","MIS_MIS",8,4.09697666573754,4.03565
2002,"Spain","27.7","Landings","OTB_DEF",1,57360.7454031064,0.386614991292723
2002,"Spain","27.7","Landings","OTB_DEF",2,64182.9980138062,0.606438132021958
2002,"Spain","27.7","Landings","OTB_DEF",3,73812.9627564997,1.16773213742661
2002,"Spain","27.7","Landings","OTB_DEF",4,3154.0125857315,1.77254972144051
2002,"Spain","27.7","Landings","OTB_DEF",5,229.340033188157,2.23639886431768
2002,"Spain","27.7","Landings","OTB_DEF",6,69.7183228308941,1.81729090125524
2002,"Spain","27.7","Landings","OTB_DEF",7,198.463391661955,2.59582424158454
2002,"Spain","27.7","Landings","OTB_DEF",8,783.9295394885,4.03565
2002,"UK (England)","27.7","Discards","GNS_DEF",1,107035.876921648,0.0728266004427889
2002,"UK (England)","27.7","Discards","GNS_DEF",2,2697.73571017592,0.40940546421277
2002,"UK (England)","27.7","Discards","GNS_DEF",3,7140.60164969701,1.45432268526558
2002,"UK (England)","27.7","Discards","GNS_DEF",4,1155.03115558261,2.18167
2002,"UK (England)","27.7","Discards","GNS_DEF",5,712.924936106314,1.70757526929932
2002,"UK (England)","27.7","Discards","GNS_DEF",6,714.950694148884,1.05081922878513
2002,"UK (England)","27.7","Discards","OTB_CRU",1,2342.35040593694,0.0724776988000971
2002,"UK (England)","27.7","Discards","OTB_CRU",2,50.7419983879639,0.331276828684127
2002,"UK (England)","27.7","Discards","OTB_CRU",3,76.6603298403025,1.45398235049296
2002,"UK (England)","27.7","Discards","OTB_CRU",4,12.3967074433367,2.18167
2002,"UK (England)","27.7","Discards","OTB_CRU",5,9.95569412633626,1.36265238054902
2002,"UK (England)","27.7","Discards","OTB_CRU",6,12.7061840421292,0.720018654822571
2002,"UK (England)","27.7","Discards","OTB_DEF",1,248203.765198491,0.0724953888003194
2002,"UK (England)","27.7","Discards","OTB_DEF",2,5421.36595736436,0.335847760406592
2002,"UK (England)","27.7","Discards","OTB_DEF",3,8550.87309875926,1.45401576495601
2002,"UK (England)","27.7","Discards","OTB_DEF",4,1382.79636663401,2.18167
2002,"UK (England)","27.7","Discards","OTB_DEF",5,1085.27311922322,1.3892921579668
2002,"UK (England)","27.7","Discards","OTB_DEF",6,1362.18579446836,0.740431794990346
2002,"UK (England)","27.7","Discards","TBB_DEF",1,9326.6493755136,0.0721418823534365
2002,"UK (England)","27.7","Discards","TBB_DEF",2,170.253197858088,0.22745
2002,"UK (England)","27.7","Discards","TBB_DEF",3,0.169943301249926,0.25467
2002,"UK (England)","27.7","Discards","TBB_DEF",5,18.0039932677128,0.21716
2002,"UK (England)","27.7","Discards","TBB_DEF",6,39.3268792421888,0.21565
2002,"UK (England)","27.7","Landings","GNS_DEF",1,32895.4505178195,0.368187382133737
2002,"UK (England)","27.7","Landings","GNS_DEF",2,16124.7571385417,0.715976129049665
2002,"UK (England)","27.7","Landings","GNS_DEF",3,33328.6288303099,1.37326926210885
2002,"UK (England)","27.7","Landings","GNS_DEF",4,2114.86958349731,1.87641957868543
2002,"UK (England)","27.7","Landings","GNS_DEF",5,192.824599999232,2.05810057921456
2002,"UK (England)","27.7","Landings","GNS_DEF",6,146.5340348638,3.27252103543517
2002,"UK (England)","27.7","Landings","GNS_DEF",7,199.323252075029,4.17386453024507
2002,"UK (England)","27.7","Landings","GNS_DEF",8,251.128912007151,4.03565
2002,"UK (England)","27.7","Landings","MIS_MIS",1,1968.89584857568,0.345643050095088
2002,"UK (England)","27.7","Landings","MIS_MIS",2,801.031709561232,0.680865723982801
2002,"UK (England)","27.7","Landings","MIS_MIS",3,1182.04160327345,1.45467945807944
2002,"UK (England)","27.7","Landings","MIS_MIS",4,129.392071129273,1.96092204581459
