"value","year","sc","cod.27.7e-k","had.27.7b-k","meg.27.7b-k8abd","mon.27.78abd","sol.27.7fg","whg.27.7b-ce-k","nep.fu.16","nep.fu.17","nep.fu.19","nep.fu.2021","nep.fu.22","nep.out.7"
"landings",2020,"baseline",1056,20278,20124,24349,1652,8750,2274,168,252,3029,2104,244
"Fbar",2020,"baseline",0.477,0.406,0.21,0.22,0.296,0.495,0.001,0.002,0.003,0.001,0.001,NA
"Fbar",2021,"baseline",0,0.353,0.19,0.28,0.251,0.268,0.062,0.062,0.069,0.06,0.097,NA
"FmultVsF19",2020,"baseline",0.42,1,1.2,1,1.25,1.4,0.019,0.126,0.082,0.004,0.015,NA
"FmultVsF19",2020,"sq_E",0.540961170687532,0.164765661814518,1.2,1,0.0715682542647043,0.176088235379835,1,1,1,1,1,NA
"FmultVsF19",2021,"baseline",0,0.87,1.08,1.28,1.04,0.75,1.485,3.341,2.118,0.283,1.142,NA
"FmultVsF19",2021,"cod_fmsy",0.166711304174145,0.0227262981813129,0.13,0.15,0.00701175464079873,0.0259685680459151,0.22,0.18,0.1,0.03,0.14,NA
"FmultVsF19",2021,"had.27.7b-k",1.11367687550347,0.143256843892919,0.95,1.04,0.0275634492776226,0.172530897291354,1.78,1.39,0.75,0.23,1.12,NA
"FmultVsF19",2021,"max",2.24323101807115,0.270686444409566,2.89,2.6,0.127662291391094,0.315180154639463,6.89,2.82,1.4,0.53,3.59,NA
"FmultVsF19",2021,"min",0,0,0,0,0,0,0,0,0,0,0,NA
"FmultVsF19",2021,"sq_E",1.29626544674182,0.17166471661956,1.21,1.27,0.0594790221253961,0.198855199146117,1.44,1.54,0.85,0.28,1.04,NA
"FmultVsF19",2021,"val",1.17378367224653,0.155837473243288,1.14,1.2,0.0580283142686791,0.178934105850621,1.6,1.33,0.72,0.24,1.03,NA
"FmultVsF19",2021,"whg.27.7b-ce-k",0.609006600962693,0.0787303901281196,0.56,0.62,0.0181338482089622,0.0953366607713048,0.98,0.82,0.44,0.14,0.64,NA
"Fbar",2020,"sq_E",0.477,0.406,0.212741780334974,0.219383,0.296,0.495,0.04173721993,0.01856177779,0.03262729588,0.2121640887,0.08494832988,NA
"Fbar",2021,"cod_fmsy",0.147,0.056,0.0236828519751608,0.0337687685836649,0.029,0.073,0.00913316438613461,0.00335671924185244,0.00322881767779297,0.00724143485699998,0.0119958157900668,NA
"Fbar",2021,"had.27.7b-k",0.982,0.353,0.168285123388733,0.22726346641304,0.114,0.485,0.0743001028025132,0.0257433392955733,0.0245853091910081,0.048500122436489,0.0949079025933293,NA
"Fbar",2021,"max",1.978,0.667,0.511717665049347,0.56992328751437,0.528,0.886,0.28748371449593,0.0523918564292667,0.0456170131318834,0.113328426506192,0.304772399767143,NA
"Fbar",2021,"min",0,0,0,0,0,0,0,0,0,0,0,NA
"Fbar",2021,"sq_E",1.143,0.423,0.214498383480261,0.278997547463729,0.246,0.559,0.0601829761243349,0.0286532221791046,0.0276122805009766,0.0591528200738246,0.0881332777719154,NA
"Fbar",2021,"val",1.035,0.384,0.20094812532115,0.263654681572955,0.24,0.503,0.0667741428010069,0.0247016743790622,0.0234059552955684,0.0519741329610954,0.0872138271721837,NA
"Fbar",2021,"whg.27.7b-ce-k",0.537,0.194,0.0993968129763388,0.135528915956995,0.075,0.268,0.0410995140817804,0.0151895853406752,0.0141993538967287,0.0299014612549134,0.0541546721899886,NA
"landings",2020,"sq_E",1056,20130,20124,24349,1652,8762,NA,NA,NA,NA,NA,NA
"landings",2021,"baseline",0,18425,19030,34577,1417,5265,3290,437,439,1430,1371,150
"landings",2021,"cod_fmsy",544,3314,2562,4641,183,1564,484.59776796324,26.3980190365939,24.8433282235309,192.634365874183,183.105376436323,19.6302008502463
"landings",2021,"had.27.7b-k",2548,18452,16952,28702,688,8693,3942.29890706869,202.45159390066,189.165498538369,1290.18495848817,1448.68406911712,152.30738350871
"landings",2021,"max",3614,30816,43915,62462,2620,13624,15253.6361419276,412.021716364647,350.988672295408,3014.72705432628,4652.07752131158,510.006236103298
"landings",2021,"min",0,0,0,0,0,0,0,0,0,0,0,0
"landings",2021,"sq_E",2787,21413,21130,34467,1391,9750,3193.25642966784,225.335588128109,212.455770483411,1573.564660818,1345.27549317292,141.04716754973
"landings",2021,"val",2631,19787,19925,32785,1364,8916,3542.9780075076,194.259699281365,180.091255629696,1382.59949064416,1331.24090385237,142.797504870178
"landings",2021,"whg.27.7b-ce-k",1669,10815,10355,17808,459,5263,2180.70451229815,119.454423825994,109.253369072121,795.429240378195,826.622533279023,86.8147049861855
"catches",2020,"sq_E",1056,20130,20124,24349,1652,8762,NA,NA,NA,NA,NA,NA
"catches",2021,"baseline",0,18425,19030,34577,1417,5265,3290,509,595,1711,1559,150
"catches",2021,"cod_fmsy",544,3314,2562,4641,183,1564,484.59776796324,26.3980190365939,24.8433282235309,192.634365874183,183.105376436323,19.6302008502463
"catches",2021,"had.27.7b-k",2548,18452,16952,28702,688,8693,3942.29890706869,202.45159390066,189.165498538369,1290.18495848817,1448.68406911712,152.30738350871
"catches",2021,"max",3614,30816,43915,62462,2620,13624,15253.6361419276,412.021716364647,350.988672295408,3014.72705432628,4652.07752131158,510.006236103298
