"","Stock","Single_Stock_Advice","MAX_sc","MIN_sc","sqE_sc","COD_fmsy_sc","val","HAD_sc","WHG_sc"
"1","cod.27.7e-k",0,Inf,NA,Inf,Inf,Inf,Inf,Inf
"2","had.27.7b-k",18382,1.67642258731368,0,1.16488956587966,0.18028506147318,1.07643346752258,1.003808073115,0.588347296268088
"3","meg.27.7b-k8abd",19184,2.289147206005,0,1.10143869891576,0.133548790658882,1.0386259382819,0.883653044203503,0.539772727272727
"4","mon.27.78abd",34579,1.80635645912259,0,0.996761039937534,0.134214407588421,0.948118800428005,0.830041354579369,0.51499464993204
"5","sol.27.7fg",1413,1.85421089879689,0,0.984430290162774,0.129511677282378,0.965322009907997,0.48690728945506,0.32484076433121
"6","whg.27.7b-ce-k",5261,2.58962174491542,0,1.85325983653298,0.297281885573085,1.69473484128493,1.65234746245961,1.0003801558639
"7","nep.fu.16",3290,4.63636356897495,0,0.970594659473508,0.147294154396122,1.07689301140049,1.19826714500568,0.662828119239559
"8","nep.fu.17",508,0.811066370796549,0,0.443573992378167,0.0519646044027439,0.382400982837333,0.398526759646968,0.235146503594476
"9","nep.fu.19",595,0.589896928227576,0,0.357068521820859,0.041753492812657,0.302674379209573,0.317925207627511,0.183619107684237
"10","nep.fu.2021",1710,1.76299827738379,0,0.920213251940351,0.112651675949815,0.808537713826994,0.75449412777086,0.465163298466781
"11","nep.fu.22",1560,2.98210097519973,0,0.862356085367256,0.117375241305335,0.853359553751519,0.928643634049436,0.529886239281425
"12","nep.out.7",150,3.40004157402199,0,0.940314450331533,0.130868005668309,0.951983365801187,1.01538255672473,0.578764699907903
