"","Stock","SSB_2022","MAX_sc","MIN_sc","sqE_sc","COD_fmsy_sc","val","HAD_sc","WHG_sc"
"1","cod.27.7e-k",6078,995,6076,2082,5272,2296,2410,3642
"2","had.27.7b-k",70434,55502,91652,66226,88126,68542,70322,79072
"3","meg.27.7b-k8abd",115734,88260,134821,112265,132074,113545,116707,123738
"4","mon.27.78abd",80416,62655,102907,80486,99861,81569,84203,91264
"5","sol.27.7fg",6009,4769,7462,6024,7273,6051,6750,6987
"6","whg.27.7b-ce-k",37494,30700,41993,33794,40676,34420,34615,37445
