"","Stock","Single_Stock_Advice","MAX_sc","MIN_sc","sqE_sc","COD_fmsy_sc","val","HAD_sc","WHG_sc"
"1","cod.27.7e-k",0,3614,0,2787,544,2631,2548,1669
"2","had.27.7b-k",18382,30816,0,21413,3314,19787,18452,10815
"3","meg.27.7b-k8abd",19184,43915,0,21130,2562,19925,16952,10355
"4","mon.27.78abd",34579,62462,0,34467,4641,32785,28702,17808
"5","sol.27.7fg",1413,2620,0,1391,183,1364,688,459
"6","whg.27.7b-ce-k",5261,13624,0,9750,1564,8916,8693,5263
"7","nep.fu.16",3290,15253.6361419276,0,3193.25642966784,484.59776796324,3542.9780075076,3942.29890706869,2180.70451229815
"8","nep.fu.17",508,412.021716364647,0,225.335588128109,26.3980190365939,194.259699281365,202.45159390066,119.454423825994
"9","nep.fu.19",595,350.988672295408,0,212.455770483411,24.8433282235309,180.091255629696,189.165498538369,109.253369072121
"10","nep.fu.2021",1710,3014.72705432628,0,1573.564660818,192.634365874183,1382.59949064416,1290.18495848817,795.429240378195
"11","nep.fu.22",1560,4652.07752131158,0,1345.27549317292,183.105376436323,1331.24090385237,1448.68406911712,826.622533279023
"12","nep.out.7",150,510.006236103298,0,141.04716754973,19.6302008502463,142.797504870178,152.30738350871,86.8147049861855
