"","Stock","Single_Stock_Advice","MAX_sc","MIN_sc","sqE_sc","COD_fmsy_sc","val","HAD_sc","WHG_sc"
"1","cod.27.7e-k",0,1.978,0,1.143,0.147,1.035,0.982,0.537
"2","had.27.7b-k",0.353,0.667,0,0.423,0.056,0.384,0.353,0.194
"3","meg.27.7b-k8abd",0.191,0.511717665049347,0,0.214498383480261,0.0236828519751608,0.20094812532115,0.168285123388733,0.0993968129763388
"4","mon.27.78abd",0.28,0.56992328751437,0,0.278997547463729,0.0337687685836649,0.263654681572955,0.22726346641304,0.135528915956995
"5","sol.27.7fg",0.251,0.528,0,0.246,0.029,0.24,0.114,0.075
"6","whg.27.7b-ce-k",0.268,0.886,0,0.559,0.073,0.503,0.485,0.268
"7","nep.fu.16",0.062,0.28748371449593,0,0.0601829761243349,0.00913316438613461,0.0667741428010069,0.0743001028025132,0.0410995140817804
"8","nep.fu.17",0.062,0.0523918564292667,0,0.0286532221791046,0.00335671924185244,0.0247016743790622,0.0257433392955733,0.0151895853406752
"9","nep.fu.19",0.069,0.0456170131318834,0,0.0276122805009766,0.00322881767779297,0.0234059552955684,0.0245853091910081,0.0141993538967287
"10","nep.fu.2021",0.06,0.113328426506192,0,0.0591528200738246,0.00724143485699998,0.0519741329610954,0.048500122436489,0.0299014612549134
"11","nep.fu.22",0.097,0.304772399767143,0,0.0881332777719154,0.0119958157900668,0.0872138271721837,0.0949079025933293,0.0541546721899886
"12","nep.out.7",NA,NA,NA,NA,NA,NA,NA,NA
