"","year","sc","stock","catch","tonnes"
"1","2020","baseline","cod.27.7e-k","TAC",805
"2","2020","baseline","had.27.7b-k","TAC",10859
"3","2020","baseline","meg.27.7b-k8abd","TAC",19458.65
"4","2020","baseline","mon.27.78abd","TAC",31586.82
"5","2020","baseline","nep.fu.16","TAC",2273.69
"6","2020","baseline","nep.fu.17","TAC",168.2
"7","2020","baseline","nep.fu.19","TAC",251.93
"8","2020","baseline","nep.fu.2021","TAC",3029.01
"9","2020","baseline","nep.fu.22","TAC",2103.94
"10","2020","baseline","nep.out.7","TAC",244.42
"11","2020","baseline","sol.27.7fg","TAC",1652
"12","2020","baseline","whg.27.7b-ce-k","TAC",7762
"13","2020","baseline","cod.27.7e-k","legal landings",805
"14","2020","baseline","had.27.7b-k","legal landings",10859
"15","2020","baseline","meg.27.7b-k8abd","legal landings",19458.65
"16","2020","baseline","mon.27.78abd","legal landings",24349.1
"17","2020","baseline","nep.fu.16","legal landings",2273.69
"18","2020","baseline","nep.fu.17","legal landings",168.2
"19","2020","baseline","nep.fu.19","legal landings",251.93
"20","2020","baseline","nep.fu.2021","legal landings",3029.01
"21","2020","baseline","nep.fu.22","legal landings",2103.94
"22","2020","baseline","nep.out.7","legal landings",244.42
"23","2020","baseline","sol.27.7fg","legal landings",1652
"24","2020","baseline","whg.27.7b-ce-k","legal landings",7762
"25","2020","baseline","cod.27.7e-k","discards",0
"26","2020","baseline","had.27.7b-k","discards",0
"27","2020","baseline","meg.27.7b-k8abd","discards",0
"28","2020","baseline","mon.27.78abd","discards",0
"29","2020","baseline","nep.fu.16","discards",0
"30","2020","baseline","nep.fu.17","discards",0
"31","2020","baseline","nep.fu.19","discards",0
"32","2020","baseline","nep.fu.2021","discards",0
"33","2020","baseline","nep.fu.22","discards",0
"34","2020","baseline","nep.out.7","discards",0
"35","2020","baseline","sol.27.7fg","discards",0
"36","2020","baseline","whg.27.7b-ce-k","discards",0
"37","2020","baseline","cod.27.7e-k","overTAC landings",367.93
"38","2020","baseline","had.27.7b-k","overTAC landings",9249.31
"39","2020","baseline","meg.27.7b-k8abd","overTAC landings",665.5
"40","2020","baseline","mon.27.78abd","overTAC landings",0
"41","2020","baseline","nep.fu.16","overTAC landings",0
"42","2020","baseline","nep.fu.17","overTAC landings",0
"43","2020","baseline","nep.fu.19","overTAC landings",0
"44","2020","baseline","nep.fu.2021","overTAC landings",0
"45","2020","baseline","nep.fu.22","overTAC landings",0
"46","2020","baseline","nep.out.7","overTAC landings",0
"47","2020","baseline","sol.27.7fg","overTAC landings",0
"48","2020","baseline","whg.27.7b-ce-k","overTAC landings",1010
"49","2021","min","cod.27.7e-k","legal landings",0
"50","2021","min","had.27.7b-k","legal landings",0
"51","2021","min","meg.27.7b-k8abd","legal landings",0
"52","2021","min","mon.27.78abd","legal landings",0
"53","2021","min","nep.fu.16","legal landings",0
"54","2021","min","nep.fu.17","legal landings",0
"55","2021","min","nep.fu.19","legal landings",0
"56","2021","min","nep.fu.2021","legal landings",0
"57","2021","min","nep.fu.22","legal landings",0
"58","2021","min","nep.out.7","legal landings",0
"59","2021","min","sol.27.7fg","legal landings",0
"60","2021","min","whg.27.7b-ce-k","legal landings",0
"61","2021","min","cod.27.7e-k","discards",0
"62","2021","min","had.27.7b-k","discards",0
"63","2021","min","meg.27.7b-k8abd","discards",0
"64","2021","min","mon.27.78abd","discards",0
"65","2021","min","nep.fu.16","discards",0
"66","2021","min","nep.fu.17","discards",0
"67","2021","min","nep.fu.19","discards",0
"68","2021","min","nep.fu.2021","discards",0
"69","2021","min","nep.fu.22","discards",0
"70","2021","min","nep.out.7","discards",0
"71","2021","min","sol.27.7fg","discards",0
"72","2021","min","whg.27.7b-ce-k","discards",0
"73","2021","min","cod.27.7e-k","overTAC landings",0
"74","2021","min","had.27.7b-k","overTAC landings",0
"75","2021","min","meg.27.7b-k8abd","overTAC landings",0
"76","2021","min","mon.27.78abd","overTAC landings",0
"77","2021","min","nep.fu.16","overTAC landings",0
"78","2021","min","nep.fu.17","overTAC landings",0
"79","2021","min","nep.fu.19","overTAC landings",0
"80","2021","min","nep.fu.2021","overTAC landings",0
"81","2021","min","nep.fu.22","overTAC landings",0
"82","2021","min","nep.out.7","overTAC landings",0
"83","2021","min","sol.27.7fg","overTAC landings",0
"84","2021","min","whg.27.7b-ce-k","overTAC landings",0
"85","2021","max","cod.27.7e-k","legal landings",0
"86","2021","max","had.27.7b-k","legal landings",18425
"87","2021","max","meg.27.7b-k8abd","legal landings",19030
"88","2021","max","mon.27.78abd","legal landings",34577
"89","2021","max","nep.fu.16","legal landings",3290
"90","2021","max","nep.fu.17","legal landings",412.02
"91","2021","max","nep.fu.19","legal landings",350.99
"92","2021","max","nep.fu.2021","legal landings",1430
"93","2021","max","nep.fu.22","legal landings",1371
"94","2021","max","nep.out.7","legal landings",150
"95","2021","max","sol.27.7fg","legal landings",1417
"96","2021","max","whg.27.7b-ce-k","legal landings",5265
"97","2021","max","cod.27.7e-k","discards",0
"98","2021","max","had.27.7b-k","discards",0
"99","2021","max","meg.27.7b-k8abd","discards",0
"100","2021","max","mon.27.78abd","discards",0
"101","2021","max","nep.fu.16","discards",0
"102","2021","max","nep.fu.17","discards",0
"103","2021","max","nep.fu.19","discards",0
"104","2021","max","nep.fu.2021","discards",0
"105","2021","max","nep.fu.22","discards",0
"106","2021","max","nep.out.7","discards",0
"107","2021","max","sol.27.7fg","discards",0
"108","2021","max","whg.27.7b-ce-k","discards",0
"109","2021","max","cod.27.7e-k","overTAC landings",3614
