"","stock","fleet","id","value","choke","sqE"
"1","cod.27.7e-k","BE_Beam_10<24m",1,0,"choke",211.807042706667
"2","had.27.7b-k","BE_Beam_10<24m",1,100.731077300621,"intermediate",211.807042706667
"3","meg.27.7b-k8abd","BE_Beam_10<24m",1,274.305851100929,"least",211.807042706667
"4","mon.27.78abd","BE_Beam_10<24m",1,209.528032448436,"intermediate",211.807042706667
"5","nep.fu.16","BE_Beam_10<24m",1,NA,"intermediate",211.807042706667
"6","nep.fu.17","BE_Beam_10<24m",1,NA,"intermediate",211.807042706667
"7","nep.fu.19","BE_Beam_10<24m",1,NA,"intermediate",211.807042706667
"8","nep.fu.2021","BE_Beam_10<24m",1,NA,"intermediate",211.807042706667
"9","nep.fu.22","BE_Beam_10<24m",1,NA,"intermediate",211.807042706667
"10","nep.out.7","BE_Beam_10<24m",1,211.807042706667,"intermediate",211.807042706667
"11","sol.27.7fg","BE_Beam_10<24m",1,238.245432370797,"intermediate",211.807042706667
"12","whg.27.7b-ce-k","BE_Beam_10<24m",1,48.841191177476,"intermediate",211.807042706667
"13","cod.27.7e-k","BE_Beam_24<40m",1,0,"choke",4675.07026537333
"14","had.27.7b-k","BE_Beam_24<40m",1,1805.62979677351,"intermediate",4675.07026537333
"15","meg.27.7b-k8abd","BE_Beam_24<40m",1,4052.77103187732,"intermediate",4675.07026537333
"16","mon.27.78abd","BE_Beam_24<40m",1,4626.86065661035,"intermediate",4675.07026537333
"17","nep.fu.16","BE_Beam_24<40m",1,NA,"intermediate",4675.07026537333
"18","nep.fu.17","BE_Beam_24<40m",1,NA,"intermediate",4675.07026537333
"19","nep.fu.19","BE_Beam_24<40m",1,NA,"intermediate",4675.07026537333
"20","nep.fu.2021","BE_Beam_24<40m",1,4886.65844371735,"intermediate",4675.07026537333
"21","nep.fu.22","BE_Beam_24<40m",1,4323.00743670509,"intermediate",4675.07026537333
"22","nep.out.7","BE_Beam_24<40m",1,4675.07026537333,"intermediate",4675.07026537333
"23","sol.27.7fg","BE_Beam_24<40m",1,4928.8232824255,"least",4675.07026537333
"24","whg.27.7b-ce-k","BE_Beam_24<40m",1,1446.43221891146,"intermediate",4675.07026537333
"25","cod.27.7e-k","BE_Otter_24<40m",1,0,"choke",423.685329301333
"26","had.27.7b-k","BE_Otter_24<40m",1,383.638962335898,"intermediate",423.685329301333
"27","meg.27.7b-k8abd","BE_Otter_24<40m",1,416.345631021408,"intermediate",423.685329301333
"28","mon.27.78abd","BE_Otter_24<40m",1,444.242890509714,"intermediate",423.685329301333
"29","nep.fu.16","BE_Otter_24<40m",1,NA,"intermediate",423.685329301333
"30","nep.fu.17","BE_Otter_24<40m",1,NA,"intermediate",423.685329301333
"31","nep.fu.19","BE_Otter_24<40m",1,NA,"intermediate",423.685329301333
"32","nep.fu.2021","BE_Otter_24<40m",1,2153.07926972876,"least",423.685329301333
"33","nep.fu.22","BE_Otter_24<40m",1,316.986122801376,"intermediate",423.685329301333
"34","nep.out.7","BE_Otter_24<40m",1,423.685329301333,"intermediate",423.685329301333
"35","sol.27.7fg","BE_Otter_24<40m",1,459.556313445872,"intermediate",423.685329301333
"36","whg.27.7b-ce-k","BE_Otter_24<40m",1,168.613726064542,"intermediate",423.685329301333
"37","cod.27.7e-k","ES_Otter_24<40m",1,0,"choke",2258.926568514
"38","had.27.7b-k","ES_Otter_24<40m",1,2083.66415510217,"intermediate",2258.926568514
"39","meg.27.7b-k8abd","ES_Otter_24<40m",1,1979.90674284342,"intermediate",2258.926568514
"40","mon.27.78abd","ES_Otter_24<40m",1,2250.2720679036,"intermediate",2258.926568514
"41","nep.fu.16","ES_Otter_24<40m",1,2463.58889799702,"intermediate",2258.926568514
"42","nep.fu.17","ES_Otter_24<40m",1,NA,"intermediate",2258.926568514
"43","nep.fu.19","ES_Otter_24<40m",1,NA,"intermediate",2258.926568514
"44","nep.fu.2021","ES_Otter_24<40m",1,NA,"intermediate",2258.926568514
"45","nep.fu.22","ES_Otter_24<40m",1,NA,"intermediate",2258.926568514
"46","nep.out.7","ES_Otter_24<40m",1,NA,"intermediate",2258.926568514
"47","sol.27.7fg","ES_Otter_24<40m",1,7019.89334439613,"least",2258.926568514
"48","whg.27.7b-ce-k","ES_Otter_24<40m",1,1109.59686666137,"intermediate",2258.926568514
"49","cod.27.7e-k","FRA_Other_10<40m",1,0,"choke",1791.37366666667
"50","had.27.7b-k","FRA_Other_10<40m",1,1690.58041622777,"intermediate",1791.37366666667
"51","meg.27.7b-k8abd","FRA_Other_10<40m",1,1672.67302468105,"intermediate",1791.37366666667
"52","mon.27.78abd","FRA_Other_10<40m",1,1788.63274693246,"intermediate",1791.37366666667
"53","nep.fu.16","FRA_Other_10<40m",1,2216.04558410795,"intermediate",1791.37366666667
"54","nep.fu.17","FRA_Other_10<40m",1,NA,"intermediate",1791.37366666667
"55","nep.fu.19","FRA_Other_10<40m",1,2363.47889701397,"least",1791.37366666667
"56","nep.fu.2021","FRA_Other_10<40m",1,2201.86467689021,"intermediate",1791.37366666667
"57","nep.fu.22","FRA_Other_10<40m",1,1946.87233327113,"intermediate",1791.37366666667
"58","nep.out.7","FRA_Other_10<40m",1,1791.37366666667,"intermediate",1791.37366666667
"59","sol.27.7fg","FRA_Other_10<40m",1,1804.02613481096,"intermediate",1791.37366666667
"60","whg.27.7b-ce-k","FRA_Other_10<40m",1,854.022753218254,"intermediate",1791.37366666667
"61","cod.27.7e-k","FRA_Otter_10<40m",1,0,"choke",17129.175
"62","had.27.7b-k","FRA_Otter_10<40m",1,15721.1053701867,"intermediate",17129.175
"63","meg.27.7b-k8abd","FRA_Otter_10<40m",1,15246.8066747515,"intermediate",17129.175
"64","mon.27.78abd","FRA_Otter_10<40m",1,16997.8311089419,"intermediate",17129.175
"65","nep.fu.16","FRA_Otter_10<40m",1,14711.8420199478,"intermediate",17129.175
"66","nep.fu.17","FRA_Otter_10<40m",1,NA,"intermediate",17129.175
"67","nep.fu.19","FRA_Otter_10<40m",1,19336.236618312,"least",17129.175
"68","nep.fu.2021","FRA_Otter_10<40m",1,13874.7515356041,"intermediate",17129.175
"69","nep.fu.22","FRA_Otter_10<40m",1,13274.1463783495,"intermediate",17129.175
"70","nep.out.7","FRA_Otter_10<40m",1,17129.175,"intermediate",17129.175
"71","sol.27.7fg","FRA_Otter_10<40m",1,17963.2847335435,"intermediate",17129.175
"72","whg.27.7b-ce-k","FRA_Otter_10<40m",1,7631.71846776362,"intermediate",17129.175
"73","cod.27.7e-k","FRA_Static_10<40m",1,0,"choke",2859.46833333333
"74","had.27.7b-k","FRA_Static_10<40m",1,NA,"intermediate",2859.46833333333
"75","meg.27.7b-k8abd","FRA_Static_10<40m",1,NA,"intermediate",2859.46833333333
"76","mon.27.78abd","FRA_Static_10<40m",1,2842.22849512683,"intermediate",2859.46833333333
"77","nep.fu.16","FRA_Static_10<40m",1,NA,"intermediate",2859.46833333333
"78","nep.fu.17","FRA_Static_10<40m",1,NA,"intermediate",2859.46833333333
"79","nep.fu.19","FRA_Static_10<40m",1,NA,"intermediate",2859.46833333333
