"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"110" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"111" 1.035 0.384 0.20094812532115 0.263654681572955 0.0667741428010069 0.0247016743790622 0.0234059552955684 0.0519741329610954 0.0872138271721837 NA 0.24 0.503
"112" 0.537 0.194 0.0993968129763388 0.135528915956995 0.0410995140817804 0.0151895853406752 0.0141993538967287 0.0299014612549134 0.0541546721899886 NA 0.075 0.268
"113" NA NA NA NA NA NA NA NA NA NA NA NA
"114" NA NA NA NA NA NA NA NA NA NA NA NA
"115" NA NA NA NA NA NA NA NA NA NA NA NA
"116" NA NA NA NA NA NA NA NA NA NA NA NA
"117" NA NA NA NA NA NA NA NA NA NA NA NA
"118" NA NA NA NA NA NA NA NA NA NA NA NA
"119" NA NA NA NA NA NA NA NA NA NA NA NA
"120" NA NA NA NA NA NA NA NA NA NA NA NA
"121" 0.42 1 1.2 1 0.019 0.126 0.082 0.004 0.015 NA 1.25 1.4
"122" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"123" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"124" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"125" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"126" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"127" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"128" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"129" 0 0.87 1.08 1.28 1.485 3.341 2.118 0.283 1.142 NA 1.04 0.75
"130" 0.166711304174145 0.0227262981813129 0.13 0.15 0.22 0.18 0.1 0.03 0.14 NA 0.00701175464079873 0.0259685680459151
"131" 1.11367687550347 0.143256843892919 0.95 1.04 1.78 1.39 0.75 0.23 1.12 NA 0.0275634492776226 0.172530897291354
"132" 2.24323101807115 0.270686444409566 2.89 2.6 6.89 2.82 1.4 0.53 3.59 NA 0.127662291391094 0.315180154639463
"133" 0 0 0 0 0 0 0 0 0 NA 0 0
"134" 1.29626544674182 0.17166471661956 1.21 1.27 1.44 1.54 0.85 0.28 1.04 NA 0.0594790221253961 0.198855199146117
"135" 1.17378367224653 0.155837473243288 1.14 1.2 1.6 1.33 0.72 0.24 1.03 NA 0.0580283142686791 0.178934105850621
"136" 0.609006600962693 0.0787303901281196 0.56 0.62 0.98 0.82 0.44 0.14 0.64 NA 0.0181338482089622 0.0953366607713048
"137" NA NA NA NA NA NA NA NA NA NA NA NA
"138" NA NA NA NA NA NA NA NA NA NA NA NA
"139" NA NA NA NA NA NA NA NA NA NA NA NA
"140" NA NA NA NA NA NA NA NA NA NA NA NA
"141" NA NA NA NA NA NA NA NA NA NA NA NA
"142" NA NA NA NA NA NA NA NA NA NA NA NA
"143" NA NA NA NA NA NA NA NA NA NA NA NA
"144" NA NA NA NA NA NA NA NA NA NA NA NA
"145" 1056 20278 20124 24349 2274 168 252 3029 2104 244 1652 8750
"146" 1952 20877 20274 30199 NA NA NA NA NA NA 1403 9637
"147" 1952 20910 20274 30199 NA NA NA NA NA NA 1403 9641
"148" 1952 20991 20274 30199 NA NA NA NA NA NA 1403 9623
"149" 1952 20817 20274 30199 NA NA NA NA NA NA 1403 9637
"150" 1952 20957 20274 30199 NA NA NA NA NA NA 1403 9631
"151" 1952 21054 20274 30199 NA NA NA NA NA NA 1403 9647
"152" 1952 20913 20274 30199 NA NA NA NA NA NA 1403 9634
"153" 0 18425 19030 34577 3290 437 439 1430 1371 150 1417 5265
"154" 334 3267 2558 4409 484.59776796324 26.3980190365939 24.8433282235309 192.634365874183 183.105376436323 19.6302008502463 191 1505
"155" 1584 18144 16926 27271 3942.29890706869 202.45159390066 189.165498538369 1290.18495848817 1448.68406911712 152.30738350871 716 8348
"156" 2278 30400 43850 59361 15253.6361419276 412.021716364647 350.988672295408 3014.72705432628 4652.07752131158 510.006236103298 2723 13168
"157" 0 0 0 0 0 0 0 0 0 0 0 0
"158" 1738 21259 21099 32750 3193.25642966784 225.335588128109 212.455770483411 1573.564660818 1345.27549317292 141.04716754973 1447 9349
"159" 1638 19775 19895 31151 3542.9780075076 194.259699281365 180.091255629696 1382.59949064416 1331.24090385237 142.797504870178 1419 8626
"160" 1032 10610 10340 16919 2180.70451229815 119.454423825994 109.253369072121 795.429240378195 826.622533279023 86.8147049861855 478 5058
"161" NA NA NA NA NA NA NA NA NA NA NA NA
"162" NA NA NA NA NA NA NA NA NA NA NA NA
"163" NA NA NA NA NA NA NA NA NA NA NA NA
"164" NA NA NA NA NA NA NA NA NA NA NA NA
"165" NA NA NA NA NA NA NA NA NA NA NA NA
"166" NA NA NA NA NA NA NA NA NA NA NA NA
"167" NA NA NA NA NA NA NA NA NA NA NA NA
"168" NA NA NA NA NA NA NA NA NA NA NA NA
"169" 1587 66461 106654 68952 NA NA NA NA NA NA 6286 30976
"170" 1587 66358 106654 68952 NA NA NA NA NA NA 6286 31023
"171" 1587 66276 106654 68952 NA NA NA NA NA NA 6286 30980
"172" 1587 66165 106654 68952 NA NA NA NA NA NA 6286 30965
"173" 1587 66032 106654 68952 NA NA NA NA NA NA 6286 31035
"174" 1587 66424 106654 68952 NA NA NA NA NA NA 6286 30937
"175" 1587 66610 106654 68952 NA NA NA NA NA NA 6286 30999
"176" 1587 66226 106654 68952 NA NA NA NA NA NA 6286 30976
"177" 2942 71490 110436 72213 NA NA NA NA NA NA 6194 32029
"178" 1635 70834 110277 68626 NA NA NA NA NA NA 6426 31362
"179" 1635 70255 110277 68626 NA NA NA NA NA NA 6426 31367
"180" 1635 70322 110277 68626 NA NA NA NA NA NA 6426 31344
"181" 1635 70272 110277 68626 NA NA NA NA NA NA 6426 31378
"182" 1635 70797 110277 68626 NA NA NA NA NA NA 6426 31295
"183" 1635 71048 110277 68626 NA NA NA NA NA NA 6426 31365
"184" 1635 70517 110277 68626 NA NA NA NA NA NA 6426 31401
"185" 6075 69915 114497 80416 NA NA NA NA NA NA 5997 37472
"186" 3450 87334 131918 94418 NA NA NA NA NA NA 7514 40074
"187" 1642 69482 116573 79633 NA NA NA NA NA NA 6970 34219
"188" 718 55159 88169 59281 NA NA NA NA NA NA 4920 30343
"189" 3949 90631 134661 97293 NA NA NA NA NA NA 7713 41476
"190" 1430 66098 112139 76123 NA NA NA NA NA NA 6220 33387
"191" 1568 67965 113417 77146 NA NA NA NA NA NA 6248 34042
"192" 2429 78147 123594 86301 NA NA NA NA NA NA 7215 37007
