"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 1056 20278 20124 24349 2274 168 252 3029 2104 244 1652 8750
"2" NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA NA NA NA NA NA NA NA NA NA NA
"5" NA NA NA NA NA NA NA NA NA NA NA NA
"6" NA NA NA NA NA NA NA NA NA NA NA NA
"7" NA NA NA NA NA NA NA NA NA NA NA NA
"8" NA NA NA NA NA NA NA NA NA NA NA NA
"9" 0 18425 19030 34577 3290 508 595 1710 1560 150 1417 5265
"10" NA NA NA NA NA NA NA NA NA NA NA NA
"11" NA NA NA NA NA NA NA NA NA NA NA NA
"12" NA NA NA NA NA NA NA NA NA NA NA NA
"13" NA NA NA NA NA NA NA NA NA NA NA NA
"14" NA NA NA NA NA NA NA NA NA NA NA NA
"15" NA NA NA NA NA NA NA NA NA NA NA NA
"16" NA NA NA NA NA NA NA NA NA NA NA NA
"17" NA NA NA NA NA NA NA NA NA NA NA NA
"18" NA NA NA NA NA NA NA NA NA NA NA NA
"19" NA NA NA NA NA NA NA NA NA NA NA NA
"20" NA NA NA NA NA NA NA NA NA NA NA NA
"21" NA NA NA NA NA NA NA NA NA NA NA NA
"22" NA NA NA NA NA NA NA NA NA NA NA NA
"23" NA NA NA NA NA NA NA NA NA NA NA NA
"24" NA NA NA NA NA NA NA NA NA NA NA NA
"25" 0 0 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 NA NA NA NA NA NA 0 0
"27" 0 0 0 0 NA NA NA NA NA NA 0 0
"28" 0 0 0 0 NA NA NA NA NA NA 0 0
"29" 0 0 0 0 NA NA NA NA NA NA 0 0
"30" 0 0 0 0 NA NA NA NA NA NA 0 0
"31" 0 0 0 0 NA NA NA NA NA NA 0 0
"32" 0 0 0 0 NA NA NA NA NA NA 0 0
"33" 0 0 0 0 0 72 156 281 188 0 0 0
"34" 0 0 0 0 NA NA NA NA NA NA 0 0
"35" 0 0 0 0 NA NA NA NA NA NA 0 0
"36" 0 0 0 0 NA NA NA NA NA NA 0 0
"37" 0 0 0 0 NA NA NA NA NA NA 0 0
"38" 0 0 0 0 NA NA NA NA NA NA 0 0
"39" 0 0 0 0 NA NA NA NA NA NA 0 0
"40" 0 0 0 0 NA NA NA NA NA NA 0 0
"41" NA NA NA NA NA NA NA NA NA NA NA NA
"42" NA NA NA NA NA NA NA NA NA NA NA NA
"43" NA NA NA NA NA NA NA NA NA NA NA NA
"44" NA NA NA NA NA NA NA NA NA NA NA NA
"45" NA NA NA NA NA NA NA NA NA NA NA NA
"46" NA NA NA NA NA NA NA NA NA NA NA NA
"47" NA NA NA NA NA NA NA NA NA NA NA NA
"48" NA NA NA NA NA NA NA NA NA NA NA NA
"49" NA NA NA NA 0 0 0 0 0 NA NA NA
"50" NA NA NA NA NA NA NA NA NA NA NA NA
"51" NA NA NA NA NA NA NA NA NA NA NA NA
"52" NA NA NA NA NA NA NA NA NA NA NA NA
"53" NA NA NA NA NA NA NA NA NA NA NA NA
"54" NA NA NA NA NA NA NA NA NA NA NA NA
"55" NA NA NA NA NA NA NA NA NA NA NA NA
"56" NA NA NA NA NA NA NA NA NA NA NA NA
"57" NA NA NA NA 0 54 117 211 141 NA NA NA
"58" NA NA NA NA NA NA NA NA NA NA NA NA
"59" NA NA NA NA NA NA NA NA NA NA NA NA
"60" NA NA NA NA NA NA NA NA NA NA NA NA
"61" NA NA NA NA NA NA NA NA NA NA NA NA
"62" NA NA NA NA NA NA NA NA NA NA NA NA
"63" NA NA NA NA NA NA NA NA NA NA NA NA
"64" NA NA NA NA NA NA NA NA NA NA NA NA
"65" NA NA NA NA NA NA NA NA NA NA NA NA
"66" NA NA NA NA NA NA NA NA NA NA NA NA
"67" NA NA NA NA NA NA NA NA NA NA NA NA
"68" NA NA NA NA NA NA NA NA NA NA NA NA
"69" NA NA NA NA NA NA NA NA NA NA NA NA
"70" NA NA NA NA NA NA NA NA NA NA NA NA
"71" NA NA NA NA NA NA NA NA NA NA NA NA
"72" NA NA NA NA NA NA NA NA NA NA NA NA
"73" NA NA NA NA 0 0 0 0 0 NA NA NA
"74" NA NA NA NA NA NA NA NA NA NA NA NA
"75" NA NA NA NA NA NA NA NA NA NA NA NA
"76" NA NA NA NA NA NA NA NA NA NA NA NA
"77" NA NA NA NA NA NA NA NA NA NA NA NA
"78" NA NA NA NA NA NA NA NA NA NA NA NA
"79" NA NA NA NA NA NA NA NA NA NA NA NA
"80" NA NA NA NA NA NA NA NA NA NA NA NA
"81" NA NA NA NA 0 18 39 70 47 NA NA NA
"82" NA NA NA NA NA NA NA NA NA NA NA NA
"83" NA NA NA NA NA NA NA NA NA NA NA NA
"84" NA NA NA NA NA NA NA NA NA NA NA NA
"85" NA NA NA NA NA NA NA NA NA NA NA NA
"86" NA NA NA NA NA NA NA NA NA NA NA NA
"87" NA NA NA NA NA NA NA NA NA NA NA NA
"88" NA NA NA NA NA NA NA NA NA NA NA NA
"89" NA NA NA NA NA NA NA NA NA NA NA NA
"90" NA NA NA NA NA NA NA NA NA NA NA NA
"91" NA NA NA NA NA NA NA NA NA NA NA NA
"92" NA NA NA NA NA NA NA NA NA NA NA NA
"93" NA NA NA NA NA NA NA NA NA NA NA NA
"94" NA NA NA NA NA NA NA NA NA NA NA NA
"95" NA NA NA NA NA NA NA NA NA NA NA NA
"96" NA NA NA NA NA NA NA NA NA NA NA NA
"97" 0.477 0.406 0.21 0.22 0.001 0.002 0.003 0.001 0.001 NA 0.296 0.495
"98" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"99" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"100" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"101" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"102" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"103" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"104" 1.143 0.423 0.214498383480261 0.278997547463729 0.0601829761243349 0.0286532221791046 0.0276122805009766 0.0591528200738246 0.0881332777719154 NA 0.246 0.559
"105" 0 0.353 0.19 0.28 0.062 0.062 0.069 0.06 0.097 NA 0.251 0.268
"106" 0.147 0.056 0.0236828519751608 0.0337687685836649 0.00913316438613461 0.00335671924185244 0.00322881767779297 0.00724143485699998 0.0119958157900668 NA 0.029 0.073
"107" 0.982 0.353 0.168285123388733 0.22726346641304 0.0743001028025132 0.0257433392955733 0.0245853091910081 0.048500122436489 0.0949079025933293 NA 0.114 0.485
"108" 1.978 0.667 0.511717665049347 0.56992328751437 0.28748371449593 0.0523918564292667 0.0456170131318834 0.113328426506192 0.304772399767143 NA 0.528 0.886
"109" 0 0 0 0 0 0 0 0 0 NA 0 0
