"","sc","year","stock","value","data"
"1","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","catch",1056
"2","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","discards",0
"3","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","Fbar",0.477
"4","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","FmultVsF19",0.42
"5","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","landings",1056
"6","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","ssb",1587
"7","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","catch",20278
"8","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","discards",0
"9","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","Fbar",0.406
"10","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","FmultVsF19",1
"11","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","landings",20278
"12","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","ssb",66461
"13","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","catch",20124
"14","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","discards",0
"15","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","Fbar",0.21
"16","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","FmultVsF19",1.2
"17","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","landings",20124
"18","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","ssb",106654
"19","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","catch",24349
"20","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","discards",0
"21","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","Fbar",0.22
"22","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","FmultVsF19",1
"23","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","landings",24349
"24","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","ssb",68952
"25","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","catch",8071
"26","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","discards",0
"27","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","discards.dead",NA
"28","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","discards.surviving",NA
"29","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","Fbar",NA
"30","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","FmultVsF19",NA
"31","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","landings",8071
"32","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","catch",1652
"33","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","discards",0
"34","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","Fbar",0.296
"35","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","FmultVsF19",1.25
"36","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","landings",1652
"37","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","ssb",6286
"38","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","catch",8750
"39","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","discards",0
"40","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","Fbar",0.495
"41","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","FmultVsF19",1.4
"42","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","landings",8750
"43","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","ssb",30976
"44","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","catch",0
"45","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","discards",0
"46","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","Fbar",0
"47","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","FmultVsF19",0
"48","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","landings",0
"49","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","ssb",2942
