Fleet,Metier,Year,Stock,Discards,Landings,Value
BE_Beam_10<24m,TBB_CRU_27.7.d,2019,mon.27.78abd,0,0.498,1135.74
BE_Beam_10<24m,TBB_DEF_27.7.d,2009,had.27.7b-k,0.00954805775579296,0.003,4.16
BE_Beam_10<24m,TBB_DEF_27.7.d,2009,meg.27.7b-k8abd,0,0.00948,9.8
BE_Beam_10<24m,TBB_DEF_27.7.d,2009,mon.27.78abd,0,13.459,21893.66
BE_Beam_10<24m,TBB_DEF_27.7.d,2010,had.27.7b-k,0.155950922701253,0.05,32.4
BE_Beam_10<24m,TBB_DEF_27.7.d,2010,mon.27.78abd,0,59.005,114513.36
BE_Beam_10<24m,TBB_DEF_27.7.d,2011,had.27.7b-k,0.127015055524775,0.027,14.93
BE_Beam_10<24m,TBB_DEF_27.7.d,2011,meg.27.7b-k8abd,0,0.036972,67.25
BE_Beam_10<24m,TBB_DEF_27.7.d,2011,mon.27.78abd,0,37.239,113903.73
BE_Beam_10<24m,TBB_DEF_27.7.d,2012,had.27.7b-k,0.00394764823729929,0.001,0.71
BE_Beam_10<24m,TBB_DEF_27.7.d,2012,meg.27.7b-k8abd,0,0.007584,19.7
BE_Beam_10<24m,TBB_DEF_27.7.d,2012,mon.27.78abd,0,21.623,51417.49
BE_Beam_10<24m,TBB_DEF_27.7.d,2012,nep.out.7,0,0.003,11.54
BE_Beam_10<24m,TBB_DEF_27.7.d,2013,had.27.7b-k,0.00281530659854216,0.002,0.66
BE_Beam_10<24m,TBB_DEF_27.7.d,2013,mon.27.78abd,0,10.914,48520.66
BE_Beam_10<24m,TBB_DEF_27.7.d,2014,had.27.7b-k,0.0656916093891842,0.02,21.35
BE_Beam_10<24m,TBB_DEF_27.7.d,2014,meg.27.7b-k8abd,0,0.011376,45.4
BE_Beam_10<24m,TBB_DEF_27.7.d,2014,mon.27.78abd,0,18.042,72859.7
BE_Beam_10<24m,TBB_DEF_27.7.d,2015,had.27.7b-k,0.110792605855311,0.021,3.5
BE_Beam_10<24m,TBB_DEF_27.7.d,2015,meg.27.7b-k8abd,0.0000348911891453686,0.001896,0.73
BE_Beam_10<24m,TBB_DEF_27.7.d,2015,mon.27.78abd,0,12.133,51457.28
BE_Beam_10<24m,TBB_DEF_27.7.d,2015,nep.out.7,0,0.005,25.41
BE_Beam_10<24m,TBB_DEF_27.7.d,2016,had.27.7b-k,0.0578389108758585,0.007,7.4
BE_Beam_10<24m,TBB_DEF_27.7.d,2016,mon.27.78abd,0,19.774,79081.26
BE_Beam_10<24m,TBB_DEF_27.7.d,2017,had.27.7b-k,0.0161122627144452,0.003,2.93
BE_Beam_10<24m,TBB_DEF_27.7.d,2017,meg.27.7b-k8abd,0.000109687138846196,0.000948,1.57
BE_Beam_10<24m,TBB_DEF_27.7.d,2017,mon.27.78abd,0,17.166,68542.19
BE_Beam_10<24m,TBB_DEF_27.7.d,2018,had.27.7b-k,0.0140464450323178,0.002,5.97
BE_Beam_10<24m,TBB_DEF_27.7.d,2018,mon.27.78abd,2.89682516924838,13.591,56880.74
BE_Beam_10<24m,TBB_DEF_27.7.d,2018,nep.out.7,0,0.015,94.12
BE_Beam_10<24m,TBB_DEF_27.7.d,2019,mon.27.78abd,7.0531174013674,19.048,65221.37
BE_Beam_10<24m,TBB_DEF_27.7.e,2009,meg.27.7b-k8abd,0,0.079632,59.22
BE_Beam_10<24m,TBB_DEF_27.7.e,2009,mon.27.78abd,0,0.001,0.88
BE_Beam_10<24m,TBB_DEF_27.7.e,2010,had.27.7b-k,0.193379144149554,0.062,65.91
BE_Beam_10<24m,TBB_DEF_27.7.e,2010,mon.27.78abd,0,0.472,1897.81
BE_Beam_10<24m,TBB_DEF_27.7.e,2010,whg.27.7b-ce-k,0.0828139982972622,0.032,15.18
BE_Beam_10<24m,TBB_DEF_27.7.e,2011,cod.27.7e-k,0.00397261463905271,0.004,8.98
BE_Beam_10<24m,TBB_DEF_27.7.e,2011,had.27.7b-k,0.385749427890057,0.082,74.12
BE_Beam_10<24m,TBB_DEF_27.7.e,2011,meg.27.7b-k8abd,0,0.003792,3.73
