Year,Country,Area,CatchCat,lvl4,Age,frequency1000,MeanWeight_in_g,Stock
2002,France,27.7,Discards,MIS_MIS,1,125997.251194567,0.0723766542629966,had.27.7b-k
2002,France,27.7,Discards,MIS_MIS,2,2600.24358500348,0.303643250096962,had.27.7b-k
2002,France,27.7,Discards,MIS_MIS,3,2883.5541681131,1.45369503798093,had.27.7b-k
2002,France,27.7,Discards,MIS_MIS,4,466.186538554327,2.18167,had.27.7b-k
2002,France,27.7,Discards,MIS_MIS,5,447.574418361509,1.175350521662,had.27.7b-k
2002,France,27.7,Discards,MIS_MIS,6,637.683132305757,0.593580269618876,had.27.7b-k
2002,France,27.7,Discards,OTB_CRU,1,393151.325397555,0.0723034538575565,had.27.7b-k
2002,France,27.7,Discards,OTB_CRU,2,7821.49267476032,0.281844902062873,had.27.7b-k
2002,France,27.7,Discards,OTB_CRU,3,6194.43999238898,1.45326269172702,had.27.7b-k
2002,France,27.7,Discards,OTB_CRU,4,1001.09902417305,2.18167,had.27.7b-k
2002,France,27.7,Discards,OTB_CRU,5,1197.76122084333,0.986049955753604,had.27.7b-k
2002,France,27.7,Discards,OTB_CRU,6,1886.25594080056,0.490017897542558,had.27.7b-k
2002,France,27.7,Discards,OTB_DEF,1,6264509.20809997,0.0725818804357974,had.27.7b-k
2002,France,27.7,Discards,OTB_DEF,2,142331.196041598,0.357156298785314,had.27.7b-k
2002,France,27.7,Discards,OTB_DEF,3,268594.699536258,1.45414047148483,had.27.7b-k
2002,France,27.7,Discards,OTB_DEF,4,43440.0545154847,2.18167,had.27.7b-k
2002,France,27.7,Discards,OTB_DEF,5,31134.7264062981,1.5006801927674,had.27.7b-k
2002,France,27.7,Discards,OTB_DEF,6,36329.6774552452,0.833788362578556,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,1,32310.5590204164,0.39184570343973,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,2,29570.2967104788,0.668685976242949,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,3,24930.988413221,1.24705228334768,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,4,1379.91841437428,1.82940045718665,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,5,57.072105734468,2.20218822333265,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,6,18.9244167872141,1.56478894923269,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,7,190.135343642998,2.4808309810971,had.27.7b-k
2002,France,27.7,Landings,MIS_MIS,8,295.876563878413,4.03565,had.27.7b-k
2002,France,27.7,Landings,OTB_CRU,1,65091.5839386496,0.402745060587557,had.27.7b-k
