Year,Stock,Country,Area,lvl4,Discards,Landings,Catch,DR,CorrectCountry
2003,hke.27.3a46-8abd,DK,27.3.a,GNS_DEF,1,88283,88284,1.13270807847402e-05,NA
2003,hke.27.3a46-8abd,DK,27.3.a,MIS_MIS,629,30896,31525,0.0199524187153053,NA
2003,hke.27.3a46-8abd,DK,27.3.a,OTB_CRU,20023,172141,192164,0.104197456339377,NA
2003,hke.27.3a46-8abd,DK,27.3.a,OTB_DEF,1039,16292,17331,0.0599503779354913,NA
2003,hke.27.3a46-8abd,DK,27.3.a,OTB_SPF,NA,140,140,NA,NA
2003,hke.27.3a46-8abd,DK,27.3.a,SDN_DEF,2862,33667,36529,0.0783487092447097,NA
2003,hke.27.3a46-8abd,DK,27.3.a,SSC_DEF,62,7305,7367,0.00841590878240804,NA
2003,hke.27.3a46-8abd,DK,27.3.a,TBB_DEF,NA,2138,2138,NA,NA
2003,hke.27.3a46-8abd,DK,27.4,GNS_DEF,13,440406,440419,2.95173459818945e-05,NA
2003,hke.27.3a46-8abd,DK,27.4,LLS_FIF,NA,132,132,NA,NA
2003,hke.27.3a46-8abd,DK,27.4,MIS_MIS,3003,26963,29966,0.100213575385437,NA
2003,hke.27.3a46-8abd,DK,27.4,OTB_CRU,2716,80475,83191,0.0326477623781419,NA
2003,hke.27.3a46-8abd,DK,27.4,OTB_DEF,317034,277375,594409,0.53336002651373,NA
2003,hke.27.3a46-8abd,DK,27.4,OTB_SPF,NA,9,9,NA,NA
2003,hke.27.3a46-8abd,DK,27.4,SDN_DEF,613,49696,50309,0.0121846985628814,NA
2003,hke.27.3a46-8abd,DK,27.4,SSC_DEF,338,31162,31500,0.0107301587301587,NA
2003,hke.27.3a46-8abd,DK,27.4,TBB_DEF,373,4010,4383,0.0851015286333562,NA
2003,hke.27.3a46-8abd,IE,27.4,OTB_DEF,NA,196,196,NA,NA
2003,hke.27.3a46-8abd,IE,27.6,GNS_DEF,NA,540,540,NA,NA
2003,hke.27.3a46-8abd,IE,27.6,OTB_CRU,NA,120,120,NA,NA
2003,hke.27.3a46-8abd,IE,27.6,OTB_DEF,NA,76403.638,76403.638,NA,NA
2003,hke.27.3a46-8abd,IE,27.6,SSC_DEF,NA,299.2,299.2,NA,NA
2003,hke.27.3a46-8abd,IE,27.7,GNS_DEF,NA,215459.581,215459.581,NA,NA
2003,hke.27.3a46-8abd,IE,27.7,MIS_MIS,NA,49981.54,49981.54,NA,NA
2003,hke.27.3a46-8abd,IE,27.7,OTB_CRU,NA,36203.32,36203.32,NA,NA
2003,hke.27.3a46-8abd,IE,27.7,OTB_DEF,NA,421489.677,421489.677,NA,NA
2003,hke.27.3a46-8abd,IE,27.7,SSC_DEF,NA,131564.26,131564.26,NA,NA
2003,hke.27.3a46-8abd,IE,27.7,TBB_DEF,NA,80600.61,80600.61,NA,NA
2003,hke.27.3a46-8abd,NL,27.3.a,TBB_DEF,NA,1148,1148,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.a,TBB_DEF,NA,18,18,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.b,OTB_DEF,NA,7906,7906,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.b,PTB_DEF,NA,490,490,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.b,SSC_DEF,NA,20,20,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.b,TBB_DEF,NA,14324,14324,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.c,OTB_DEF,NA,200,200,NA,NA
2003,hke.27.3a46-8abd,NL,27.4.c,TBB_DEF,NA,135,135,NA,NA
2003,hke.27.3a46-8abd,SE,27.3.a,GNS_DEF,NA,96,96,NA,NA
2003,hke.27.3a46-8abd,SE,27.3.a,GTR_DEF,NA,36,36,NA,NA
2003,hke.27.3a46-8abd,SE,27.3.a,OTB_CRU,9598,37893.2,47491.2,0.202100599690048,NA
2003,hke.27.3a46-8abd,SE,27.4,OTB_CRU,NA,270,270,NA,NA
2003,hke.27.3a46-8abd,SE,27.4,OTB_DEF,NA,16493,16493,NA,NA
2003,hke.27.3a46-8abd,UKE,27.4,GNS_DEF,NA,128.2,128.2,NA,NA
2003,hke.27.3a46-8abd,UKE,27.4,MIS_MIS,NA,209.5,209.5,NA,NA
2003,hke.27.3a46-8abd,UKE,27.4,OTB_CRU,NA,6226.1,6226.1,NA,NA
2003,hke.27.3a46-8abd,UKE,27.4,OTB_DEF,NA,1550,1550,NA,NA
2003,hke.27.3a46-8abd,UKE,27.4,TBB_DEF,NA,8098.2,8098.2,NA,NA
