Year,Country,Area,CatchCat,lvl4,Age,frequency1000,MeanWeight_in_g,Stock
2019,Belgium,27.7.e,Discards,OTB_CRU,1,0.17306,9.66879224,cod.27.7e-k
2019,Belgium,27.7.e,Discards,SSC_DEF,1,0.41599,12.81223077,cod.27.7e-k
2019,Belgium,27.7.e,Discards,SSC_DEF,2,0.68789,0.722680464,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,1,0.949513275552956,6.165786472,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,2,2.36517990748117,5.598577036,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,3,3.47400762082155,0.488051936,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,4,7.84797429287759,0.088877833,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,5,6.54244,0.000320399,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,6,10.4456722409042,0.03847924,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,7,16.26970557,0.002993785,cod.27.7e-k
2019,Belgium,27.7.e,Landings,OTB_CRU,8,16.12723,0.00360317,cod.27.7e-k
2019,Belgium,27.7.e,Landings,SSC_DEF,2,1.54198,1.855315013,cod.27.7e-k
2019,Belgium,27.7.e,Landings,SSC_DEF,3,4.425,0.201300316,cod.27.7e-k
2019,Belgium,27.7.e,Landings,SSC_DEF,4,6.6417,0.130917699,cod.27.7e-k
2019,Belgium,27.7.e,Landings,SSC_DEF,5,9.24668,0.004836775,cod.27.7e-k
2019,Belgium,27.7.e,Landings,SSC_DEF,6,10.26081,0.031027274,cod.27.7e-k
2019,Belgium,27.7.e,Landings,SSC_DEF,7,12.95869,0.001217893,cod.27.7e-k
2019,Belgium,27.7.g,Discards,OTB_CRU,1,0.17306,3359.905303,cod.27.7e-k
2019,Belgium,27.7.g,Discards,TBB_DEF,1,0.281,44564.63296,cod.27.7e-k
2019,Belgium,27.7.g,Discards,TBB_DEF,2,0.298,7902.83626,cod.27.7e-k
2019,Belgium,27.7.g,Discards,TBB_DEF,3,0.316,371.18018144,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,1,0.97556203968319,392.927682692,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,2,2.12812915823103,1351.1435431,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,3,4.24453020535975,158.128632352,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,4,7.57259759158105,260.755420062,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,5,9.22289902485239,18.617660147,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,6,10.6909934635261,126.526618533,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,7,13.3632667911674,5.6353303,cod.27.7e-k
2019,Belgium,27.7.g,Landings,OTB_CRU,8,14.2036454033453,9.911441493,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,1,0.85,4385.517328,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,2,1.393,17710.012528,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,3,3.751,732.752268,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,4,1.677,206.93004024,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,5,6.882,193.93443384,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,6,5.05,166.94355904,cod.27.7e-k
2019,Belgium,27.7.g,Landings,TBB_DEF,8,8.807,239.91888724,cod.27.7e-k
2019,Belgium,27.7.j,Discards,OTB_CRU,1,0.17306,3.076433895,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,1,1.019323518,0.443175907,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,2,2.068425553,2.706965331,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,3,3.786085572,0.147430688,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,4,5.715146605,0.013756678,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,5,6.54244,0.000373798,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,6,14.10611081,0.013131324,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,7,16.26970557,0.003492749,cod.27.7e-k
2019,Belgium,27.7.j,Landings,OTB_CRU,8,16.12723,0.004203699,cod.27.7e-k
2019,France,27.7.e,Discards,OTB_CRU,1,0.17306,1500.693243489,cod.27.7e-k
2019,France,27.7.e,Discards,OTB_DEF,1,0.389440324755925,2983.9879985,cod.27.7e-k
2019,France,27.7.e,Discards,OTB_DEF,2,0.73007,49.890745108,cod.27.7e-k
