"stock","fixedEffort","min","max","prev","had.27.7b-k"
"cod.27.7e-k",Inf,Inf,Inf,Inf,Inf
"had.27.7b-k",0.401214840494574,0.0708066061518691,3.14094903861464,0.267996546272672,0.233877550515777
"meg.27.7b-k8abd",0.331946480590839,0.303020012028958,5.49770488966414,0.325025426244537,0.332269507460928
"mon.27.78abd",0.313337167103523,0.151037516540514,3.52810202859259,0.252210501214232,0.261309360787029
"nep.fu.16",0.0000905943110454292,0,0.0000930407478886156,0.0000705220899619823,0.0000706099564082044
"nep.fu.17",0,0,0,0,0
"nep.fu.19",0.000533313092077406,0,0.00101535930151958,0.000911981042710855,0.00101535930151958
"nep.fu.2021",0.00487007566510932,0,0.00850175670196014,0.00638913826329157,0.0083243746205501
"nep.fu.22",0,0,0,0,0
"nep.out.7",0.718020561204959,0,1.09686953532071,0.569268143200858,0.191834883377493
"sol.27.7fg",0.0222363763802963,0.0216993431464145,0.0224251461583012,0.0222176789888786,0.022322426710012
"whg.27.7b-ce-k",0.923505754953349,0.0000329031378324892,1.06719197181711,0.706479640139226,0.709175949025527
