Stock,Year,match_level_land,landings,Stock_landings
cod.27.7e-k,2009,Metier,3685.08559,4187.64877
cod.27.7e-k,2009,Stock,512.21578,4187.64877
cod.27.7e-k,2010,Metier,3367.91955,3874.19995
cod.27.7e-k,2010,Stock,469.9235,3874.19995
cod.27.7e-k,2011,Metier,5725.29391000001,6393.15682
cod.27.7e-k,2011,Stock,655.64933,6393.15682
cod.27.7e-k,2012,Metier,8632.70941000001,9492.139
cod.27.7e-k,2012,Stock,771.90228,9492.139
cod.27.7e-k,2013,Metier,6750.29841999999,7257.7394
cod.27.7e-k,2013,Stock,512.63479,7257.7394
cod.27.7e-k,2014,Metier,4111.36953999999,4506.27784
cod.27.7e-k,2014,Stock,396.09333,4506.27784
cod.27.7e-k,2015,Metier,4667.79886,5010.96408
cod.27.7e-k,2015,Stock,365.75545,5010.96408
cod.27.7e-k,2016,Metier,3564.88218,3920.08595
cod.27.7e-k,2016,Stock,292.84394,3920.08595
cod.27.7e-k,2017,Metier,2310.37516,2462.49758
cod.27.7e-k,2017,Stock,146.60222,2462.49758
cod.27.7e-k,2018,Metier,1372.81258,1483.58472
cod.27.7e-k,2018,Stock,102.66689,1483.58472
cod.27.7e-k,2019,Metier,965.37887,1068.68322
cod.27.7e-k,2019,Stock,93.97061,1068.68322
had.27.7b-k,2009,Metier,7748.3485,9662.4073149986
had.27.7b-k,2009,Stock,1956.36776,9662.4073149986
had.27.7b-k,2010,Metier,8538.77852,10430.7134252101
had.27.7b-k,2010,Stock,1959.42604,10430.7134252101
had.27.7b-k,2011,Metier,10334.42541,13958.5001001972
had.27.7b-k,2011,Stock,3684.26244,13958.5001001972
had.27.7b-k,2012,Metier,14484.40907,19208.2022330576
had.27.7b-k,2012,Stock,4495.92131,19208.2022330576
had.27.7b-k,2013,Metier,9927.65989000001,13536.4052200551
had.27.7b-k,2013,Stock,3502.41396,13536.4052200551
had.27.7b-k,2014,Metier,7312.97682,9846.0889906758
had.27.7b-k,2014,Stock,2374.28662,9846.0889906758
had.27.7b-k,2015,Metier,6327.41381,8606.2887905945
had.27.7b-k,2015,Stock,2212.71459,8606.2887905945
had.27.7b-k,2016,Metier,5690.98244999999,7647.4310822679
had.27.7b-k,2016,Stock,1777.67629,7647.4310822679
had.27.7b-k,2017,Metier,6140.6926,8101.4045237019
had.27.7b-k,2017,Stock,1779.10727,8101.4045237019
had.27.7b-k,2018,Metier,5311.83737999999,7047.4426378174
had.27.7b-k,2018,Stock,1557.99095,7047.4426378174
had.27.7b-k,2019,Metier,5917.50044,7657.4413320851
had.27.7b-k,2019,Stock,1728.38996,7657.4413320851
meg.27.7b-k8abd,2009,Stock,12529.6403022142,13109.217393051
meg.27.7b-k8abd,2010,Stock,11379.0799383007,15064.4509103193
meg.27.7b-k8abd,2011,Stock,10648.3822047225,13201.3579020253
meg.27.7b-k8abd,2012,Stock,12723.6046855982,13488.9729214664
meg.27.7b-k8abd,2013,Stock,14416.8351737958,15434.2049109663
meg.27.7b-k8abd,2014,Stock,11606.0012099862,14244.5471019269
meg.27.7b-k8abd,2015,Area_Metier,10379.6640111429,10887.5913976532
meg.27.7b-k8abd,2015,Stock,1407.69438612,10887.5913976532
meg.27.7b-k8abd,2016,Area_Metier,9493.05706006615,12859.3805255019
meg.27.7b-k8abd,2016,Stock,2302.21447342009,12859.3805255019
meg.27.7b-k8abd,2017,Stock,11621.3189749371,13506.4903526545
meg.27.7b-k8abd,2018,Area_Metier,9868.71190026825,14065.5820788894
meg.27.7b-k8abd,2018,Stock,401.702202,14065.5820788894
meg.27.7b-k8abd,2019,Area_Metier,9642.88414651829,12894.4542502548
meg.27.7b-k8abd,2019,Stock,672.405687599999,12894.4542502548
mon.27.78abd,2009,Stock,16781.6888681303,21155.6734794129
mon.27.78abd,2010,Stock,18324.4594052541,16728.7029873989
mon.27.78abd,2011,Stock,19661.8022926403,22557.4010819565
mon.27.78abd,2012,Stock,22223.3236808452,29329.3062479846
mon.27.78abd,2013,Stock,22677.2620673729,27261.4476571463
mon.27.78abd,2014,Stock,22597.5751223934,27420.63830925
mon.27.78abd,2015,Stock,22561.734424391,22996.4781234043
mon.27.78abd,2016,Stock,24449.7609057041,25829.3656665532
mon.27.78abd,2017,Area_Metier,22937.3156323664,28449.0034717506
mon.27.78abd,2017,Stock,924.170575200001,28449.0034717506
mon.27.78abd,2018,Area_Metier,19307.3786755713,22740.150961077
mon.27.78abd,2018,Stock,1119.187056,22740.150961077
mon.27.78abd,2019,Area_Metier,18674.6800844,20670.830238131
mon.27.78abd,2019,Stock,1873.01578,20670.830238131
nep.fu.16,2009,Stock,1244.5723,NA
nep.fu.16,2010,Stock,1074.4369,NA
nep.fu.16,2011,Stock,1147.2088,NA
nep.fu.16,2012,Stock,1072.6568,1257.613103
nep.fu.16,2013,Stock,950.5726,1141.342306
nep.fu.16,2014,Stock,1066.0719,1189
nep.fu.16,2015,Stock,955.66429,1393.8
nep.fu.16,2016,Stock,1384.9486,2154.288412
nep.fu.16,2017,Stock,2556.30681855952,2632.261662
nep.fu.16,2018,Stock,2739.624210295,2750.6881
nep.fu.16,2019,Stock,1868.43969,2251.145
nep.fu.17,2009,Stock,624.3976,626.273
nep.fu.17,2010,Stock,937.1263,939.363
nep.fu.17,2011,Stock,658.4867,658.662
nep.fu.17,2012,Stock,1242.645,1245.782
nep.fu.17,2013,Stock,1389.93,1295.485
nep.fu.17,2014,Stock,820.23,766.2425
nep.fu.17,2015,Stock,528.252,369.9531855
nep.fu.17,2016,Stock,945.68,641.2491244
nep.fu.17,2017,Stock,295.006952241787,294.96416
nep.fu.17,2018,Stock,492.91,536.4751
