"stock","single stock advice","fixedEffort","min","max","prev","had.27.7b-k"
"cod.27.7e-k",0,1.98511635799684,0.0431787485851671,1.98511635799684,1.98511635799684,1.98511635799684
"had.27.7b-k",0.353,0.514474089418811,0.0212713760186968,0.636734135355934,0.516058814311719,0.443848201887049
"meg.27.7b-k8abd",0.191,0.1908816044729,0.0543677124674197,0.266831473564271,0.17856134633604,0.192862429684845
"mon.27.78abd",0.28,0.281187853396974,0.0505161945452675,0.364211319020094,0.277987461663869,0.253251055652658
"nep.fu.16",0.062,0.0646344819552077,0,0.0706949720973981,0.058126312076116,0.0604242368716133
"nep.fu.17",0.062,0.0369349476977227,0,0.0412010404175469,0.0372095118659263,0.0372095118659263
"nep.fu.19",0.069,0.0410371538753807,0,0.0460633987369715,0.0427123650672533,0.0427448550173126
"nep.fu.2021",0.06,0.0852177270130412,0,0.0997233367360246,0.0872848331115513,0.0781703927194811
"nep.fu.22",0.097,0.119713305955062,0,0.118543264817346,0.107179407343266,0.10545776724863
"nep.out.7",NA,0.614339614674685,0,0.730872594816525,0.618612088439443,0.472813917698037
"sol.27.7fg",0.251,0.251422428533068,0.00373792978638899,0.346805570281723,0.243933615683486,0.0884489436357043
"whg.27.7b-ce-k",0.268,0.849738244005885,0,1.14457177018131,0.887118344939543,0.823762034168166
