stock,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Recruitment
cod.27.7e-k,0.29,0.77,5800,4200,0.29,5800,1640
had.27.7b-k,1.4,0.71,12822,9227,0.353,12822,351066
whg.27.7b-ce-k,0.89,0.4,47963,34516,0.4,47963,568878
meg.27.7b-k8abd,0.53,0.45,41800,37100,0.191,41800,223393
mon.27.78abd,0.53,0.36,22278,16032,0.28,22278,32000
sol.27.7e,0.44,0.32,2900,2000,0.29,2900,4101
sol.27.7fg,0.543,0.388,3057,2184,0.251,3057,5187
nep.fu.16,NA,NA,NA,NA,0.062,NA,NA
nep.fu.17,NA,NA,NA,NA,0.085,540000,NA
nep.fu.19,NA,NA,NA,NA,0.093,430000,NA
nep.fu.2021,NA,NA,NA,NA,0.06,NA,NA
nep.fu.22,NA,NA,NA,NA,0.128,990000,NA
nep.out.7,NA,NA,NA,NA,NA,NA,NA
