stock,year,catch_cat,value_in_advice_sheet
cod.27.7e-k,2019,landings,1051
cod.27.7e-k,2019,discards,300
cod.27.7e-k,2019,catch,1351
had.27.7b-k,2019,landings,7656
had.27.7b-k,2019,discards,3603
had.27.7b-k,2019,catch,11259
whg.27.7b-ce-k,2019,landings,5542
whg.27.7b-ce-k,2019,discards,752
whg.27.7b-ce-k,2019,catch,6294
sol.27.7fg,2019,landings,1068
sol.27.7fg,2019,discards,145
sol.27.7fg,2019,catch,1213
meg.27.7b-k8abd,2019,landings,12164
meg.27.7b-k8abd,2019,discards,1444
meg.27.7b-k8abd,2019,catch,13153
mon.27.78abd,2019,landings,21266
mon.27.78abd,2019,discards,1444
mon.27.78abd,2019,catch,22710
hke.27.3a46-8abd,2019,landings,82298
hke.27.3a46-8abd,2019,discards,4940
hke.27.3a46-8abd,2019,catch,87238
