Country,Year,Quarter,Metier,Vessel_length,Area,kw_days,Days_at_sea,No_vessels
BE,2009,Q1,GNS_DEF,10<24m,27.4.c,29134,72,4
BE,2009,Q1,GNS_DEF,10<24m,27.7.d,6300,14,1
BE,2009,Q1,GTR_DEF,10<24m,27.7.d,2250,5,1
BE,2009,Q1,MIS_MIS,10<24m,27.7.d,8541,39,1
BE,2009,Q1,MIS_MIS,24<40m,27.7.d,35748,54,1
BE,2009,Q1,OTB_CRU,10<24m,27.4.b,2431,11,1
BE,2009,Q1,OTB_CRU,10<24m,27.4.c,10649.708004,48.188724,3
BE,2009,Q1,OTB_CRU,10<24m,27.7.d,5483.291554,24.811274,2
BE,2009,Q1,OTB_CRU,24<40m,27.4.b,1332,2,1
BE,2009,Q1,OTB_CRU,24<40m,27.4.c,42263.375004,61.053779,3
BE,2009,Q1,OTB_CRU,24<40m,27.7.a,4073.549061,7.393011,1
BE,2009,Q1,OTB_CRU,24<40m,27.7.d,3782.623228,4.946218,3
BE,2009,Q1,OTB_CRU,24<40m,27.7.g,20721.448735,37.606985,1
BE,2009,Q1,TBB_CRU,10<24m,27.4.b,12302,56,3
BE,2009,Q1,TBB_CRU,10<24m,27.4.c,37282,176,10
BE,2009,Q1,TBB_DEF,10<24m,27.4.c,134248.009485,623.389631,35
BE,2009,Q1,TBB_DEF,10<24m,27.7.d,142303.966676,644.610261,20
BE,2009,Q1,TBB_DEF,10<24m,27.7.f,1547,7,1
BE,2009,Q1,TBB_DEF,24<40m,27.4.b,15493.965364,13.226494,4
BE,2009,Q1,TBB_DEF,24<40m,27.4.c,1093991.372971,1058.17273,41
BE,2009,Q1,TBB_DEF,24<40m,27.7.a,163232.412449,151.161096,13
BE,2009,Q1,TBB_DEF,24<40m,27.7.d,1185513.651261,1158.32904,40
BE,2009,Q1,TBB_DEF,24<40m,27.7.e,91507.991511,87.239702,22
BE,2009,Q1,TBB_DEF,24<40m,27.7.f,138566.270207,125.104877,16
BE,2009,Q1,TBB_DEF,24<40m,27.7.g,66457.046152,60.06588,12
BE,2009,Q1,TBB_DEF,24<40m,27.7.h,1765.1,1.7,2
BE,2009,Q2,GNS_DEF,10<24m,27.4.c,3768,8,1
BE,2009,Q2,GNS_DEF,10<24m,27.4.c,45368,124,4
BE,2009,Q2,GNS_DEF,10<24m,27.7.d,1350,3,1
BE,2009,Q2,GTR_DEF,10<24m,27.4.c,3600,8,1
BE,2009,Q2,GTR_DEF,10<24m,27.7.d,4500,10,1
BE,2009,Q2,MIS_MIS,10<24m,27.4.c,4710,10,1
BE,2009,Q2,MIS_MIS,24<40m,27.7.d,13240,20,1
BE,2009,Q2,MIS_MIS,24<40m,27.7.e,29128,44,1
BE,2009,Q2,OTB_CRU,10<24m,27.4.b,9061,41,4
BE,2009,Q2,OTB_CRU,10<24m,27.4.c,7882.06224,35.66544,3
BE,2009,Q2,OTB_CRU,10<24m,27.7.a,73.666593,0.333333,1
BE,2009,Q2,OTB_CRU,10<24m,27.7.d,1178.937097,5.334557,1
