country,metier,year,landIC,percLandIC,landAccess,percLandAccess,matchTo
BE,MIS_MIS_0_0_0_HC,2012,20852,0.995838241,107267,0.991838744,
BE,OTB_CRU_16-31_0_0_all,2012,698,0.999668124,1717,1,
BE,OTB_CRU_70-99_0_0_all,2012,176495,0.866091225,1354826,0.840855244,
BE,OTB_DEF_100-119_0_0_all,2012,5074,0.999224287,142103,0.975762308,
BE,OTB_DEF_70-99_0_0_all,2012,382,0.999922114,8051,0.999495544,
BE,OTB_DEF_>=120_0_0_all,2012,24.43,0.983604375,135765,0.98474309,
BE,SSC_DEF_100-119_0_0_all,2012,117056,0.944247199,322.68,0.966362271,
BE,SSC_DEF_70-99_0_0_all,2012,65418,0.962979412,510282,0.945017163,
BE,SSC_DEF_>=120_0_0_all,2012,6751,0.997771366,17135,0.998962975,
BE,SSC_DEF_All_0_0_All,2012,852,0.999468255,NA,NA,
BE,TBB_CRU_16-31_0_0_all,2012,155886,0.910728629,1064363,0.911262283,
BE,TBB_DEF_70-99_0_0_all,2012,1987769,0.56919061,7419213,0.490776946,
BE,TBB_DEF_>=120_0_0_all,2012,860363,0.815552507,3937406,0.751234233,
BE,GNS_DEF_120-219_0_0_all,2013,117,1,6216,1,
BE,GNS_DEF_90-99_0_0_all,2013,685,0.999843091,NA,NA,
BE,GNS_DEF_all_0_0_all,2013,23332,0.995872752,28776,0.99765844,
BE,GTR_DEF_all_0_0_all,2013,35101,0.972449114,54449,0.993615514,
BE,MIS_MIS_0_0_0_HC,2013,12302,0.998662193,166575,0.98113695,
BE,OTB_CRU_16-31_0_0_all,2013,753,0.999687769,9302,0.999646806,
BE,OTB_CRU_70-99_0_0_all,2013,178.31,0.92712399,1061289,0.908892478,
BE,OTB_DEF_100-119_0_0_all,2013,3.77,0.999517029,42377,0.996023383,
BE,OTB_DEF_>=120_0_0_all,2013,25951,0.990582293,176092,0.971672129,
BE,SSC_DEF_100-119_0_0_all,2013,26207,0.984697983,165166,0.990521712,
BE,SSC_DEF_70-99_0_0_all,2013,58.91,0.96449007,928791,0.96166655,
BE,SSC_DEF_>=120_0_0_all,2013,27813,0.978755626,25692,0.999118264,
BE,SSC_DEF_All_0_0_All,2013,575,0.999973471,NA,NA,
BE,TBB_CRU_16-31_0_0_all,2013,105882,0.951132408,1316603,0.848589845,
BE,TBB_DEF_70-99_0_0_all,2013,2543472,0.576724473,8112096,0.460930757,
BE,TBB_DEF_>=120_0_0_all,2013,1367023,0.886692744,5505957,0.773780226,
BE,GNS_DEF_120-219_0_0_all,2014,2675,0.999794168,2912,1,
BE,GNS_DEF_90-99_0_0_all,2014,0.68,0.999963479,NA,NA,
BE,GNS_DEF_all_0_0_all,2014,21953,0.998974491,26864,0.999474339,
BE,GTR_DEF_all_0_0_all,2014,59732,0.994510457,70433,0.996185134,
BE,MIS_MIS_0_0_0_HC,2014,8547,0.99959878,417436,0.967273502,
BE,OTB_CRU_16-31_0_0_all,2014,468,0.999997663,7979,0.999859451,
BE,OTB_CRU_70-99_0_0_all,2014,681271,0.916806067,1320.95,0.832035431,
BE,OTB_DEF_100-119_0_0_all,2014,465823,0.950830699,549.25,0.947125698,
BE,OTB_DEF_70-99_0_0_all,2014,236476,0.968103373,245601,0.992785643,
BE,OTB_DEF_>=120_0_0_all,2014,39163,0.997371,41284,0.998177732,
BE,SDN_all_0_0_all,2014,1638,0.99991381,NA,NA,
BE,SSC_DEF_100-119_0_0_all,2014,77679,0.984802741,282977,0.98093156,
BE,SSC_DEF_70-99_0_0_all,2014,150948,0.979128913,602979,0.920615811,
BE,SSC_DEF_All_0_0_All,2014,32,1,NA,NA,
BE,TBB_CRU_16-31_0_0_all,2014,73174,0.990147514,1232.29,0.891512661,
BE,TBB_DEF_70-99_0_0_all,2014,6625.39,0.483931569,10078753,0.486457176,
BE,TBB_DEF_>=120_0_0_all,2014,5245109,0.867044688,5838977,0.768278971,
BE,GNS_DEF_90-99_0_0_all,2015,2081,0.999811651,NA,NA,
BE,GNS_DEF_all_0_0_all,2015,17786,0.999639059,21585,0.999705862,
BE,GTR_DEF_all_0_0_all,2015,30851,0.998163946,35306,0.998552551,
BE,MIS_MIS_0_0_0_HC,2015,324,0.999988389,227801,0.979797798,
BE,OTB_CRU_16-31_0_0_all,2015,0.51,0.999961517,5365,0.99999252,
BE,OTB_CRU_70-99_0_0_all,2015,1095477,0.92619821,1932565,0.873468203,
BE,OTB_DEF_100-119_0_0_all,2015,108.64,0.982577056,117576,0.996666112,
BE,OTB_DEF_70-99_0_0_all,2015,295506,0.950706526,270269,0.967626135,
BE,OTB_DEF_>=120_0_0_all,2015,0.14,1,0.14,1,
BE,SSC_DEF_100-119_0_0_all,2015,68299,0.995605263,198126,0.990383894,
BE,SSC_DEF_70-99_0_0_all,2015,275635,0.973566805,733715,0.953185358,
BE,SSC_DEF_All_0_0_All,2015,1297,0.99991922,NA,NA,
BE,TBB_CRU_16-31_0_0_all,2015,88787,0.989940764,758246,0.91398214,
BE,TBB_DEF_70-99_0_0_all,2015,6239.85,0.517513054,10032281,0.536036061,
BE,TBB_DEF_>=120_0_0_all,2015,3832194,0.835342878,4382708,0.770209081,
BE,GNS_DEF_90-99_0_0_all,2016,20691,0.996741883,NA,NA,
BE,GNS_DEF_all_0_0_all,2016,459,1,23116,0.99862113,
BE,GTR_DEF_all_0_0_all,2016,18453,0.998131281,21282,0.999624485,
BE,MIS_MIS_0_0_0_HC,2016,4099,0.999695135,297676,0.988469865,
BE,OTB_CRU_16-31_0_0_all,2016,581,0.99996544,3745,1,
BE,OTB_CRU_70-99_0_0_all,2016,758781,0.964295943,1846887,0.824894509,
BE,OTB_DEF_100-119_0_0_all,2016,964266,0.907164378,1022837,0.931380886,
BE,OTB_DEF_>=120_0_0_all,2016,3009,0.999921694,4.22,0.999823439,
BE,SSC_DEF_100-119_0_0_all,2016,16671,0.999386505,128951,0.994549347,
BE,SSC_DEF_70-99_0_0_all,2016,230517,0.981652463,913.23,0.97443573,
BE,TBB_CRU_16-31_0_0_all,2016,119099,0.990619888,1235.83,0.883158547,
BE,TBB_DEF_100-119_0_0_all,2016,60617,0.995183978,63.25,0.997531311,
BE,TBB_DEF_70-99_0_0_all,2016,6421039,0.483464937,10450333,0.492687989,
BE,TBB_DEF_>=120_0_0_all,2016,4663.01,0.83456105,5199497,0.737821777,
BE,GNS_DEF_90-99_0_0_all,2017,12028,0.999791735,NA,NA,
BE,GNS_DEF_all_0_0_all,2017,NA,NA,13.24,0.999952001,GNS_DEF_90-99_0_0_all
BE,GTR_DEF_all_0_0_all,2017,73729,0.988473418,82612,0.995191442,
BE,MIS_MIS_0_0_0_HC,2017,1754,0.999950215,480872,0.990675143,
BE,OTB_CRU_16-31_0_0_all,2017,12.75,0.998704963,22206,0.999228186,
BE,OTB_CRU_70-99_0_0_all,2017,912541,0.89194069,2203736,0.817426171,
BE,OTB_DEF_100-119_0_0_all,2017,844483,0.968242719,892043,0.920818151,
BE,OTB_DEF_70-99_0_0_all,2017,551,1,878,1,
BE,SSC_DEF_100-119_0_0_all,2017,26083,0.995444284,26688,0.996650443,
BE,SSC_DEF_70-99_0_0_all,2017,150177,0.981811742,999.2,0.872051233,
BE,TBB_CRU_16-31_0_0_all,2017,51068,0.993087593,796.95,0.964386449,
BE,TBB_DEF_100-119_0_0_all,2017,23338,0.997552955,24946,0.998014211,
BE,TBB_DEF_70-99_0_0_all,2017,5680968,0.513295569,9048722,0.494682749,
BE,TBB_DEF_>=120_0_0_all,2017,3278165,0.809489381,3699877,0.696950574,
BE,GNS_DEF_all_0_0_all,2018,13745,0.999135877,3338,1,
BE,GTR_DEF_all_0_0_all,2018,66483,0.98639058,135.92,0.993001943,
BE,MIS_MIS_0_0_0_HC,2018,2814,1,271117,0.984741192,
BE,OTB_CRU_16-31_0_0_all,2018,6308,0.999733431,28123,0.998117811,
BE,OTB_CRU_70-99_0_0_all,2018,825.67,0.961514972,1495165,0.840708813,
BE,OTB_DEF_100-119_0_0_all,2018,1171782,0.883299602,1340646,0.922188674,
BE,OTB_DEF_>=120_0_0_all,2018,26919,0.997833819,27631,0.999797128,
BE,SSC_DEF_100-119_0_0_all,2018,42628,0.995283793,56052,0.996408591,
BE,SSC_DEF_70-99_0_0_all,2018,196113,0.980092674,758104,0.968263632,
BE,TBB_CRU_16-31_0_0_all,2018,51252,0.991245661,1571703,0.749837818,
BE,TBB_DEF_70-99_0_0_all,2018,4709846,0.446161723,6965178,0.423319604,
BE,TBB_DEF_>=120_0_0_all,2018,3442805,0.772297188,3800733,0.654315106,
BE,GNS_DEF_all_0_0_all,2019,182,0.999999495,325,1,
BE,GTR_DEF_all_0_0_all,2019,38089,0.99551272,103039,0.996063694,
BE,MIS_MIS_0_0_0_HC,2019,1676,0.999780204,279002,0.988903685,
BE,OTB_CRU_16-31_0_0_all,2019,4,1,21288,0.999567435,
BE,OTB_CRU_70-99_0_0_all,2019,858943,0.963449815,2077287,0.764979323,
BE,OTB_DEF_100-119_0_0_all,2019,1043296,0.85507287,1232801,0.850644616,
BE,OTB_DEF_32-69_0_0_all,2019,1556,0.999976531,29134,0.998088167,
BE,SSC_DEF_100-119_0_0_all,2019,1773,0.999568735,5.9,0.999977416,
BE,SSC_DEF_70-99_0_0_all,2019,216026,0.990706849,886647,0.912256242,
BE,TBB_CRU_16-31_0_0_all,2019,30373,0.999345027,824024,0.9695163,
BE,TBB_DEF_70-99_0_0_all,2019,2989526,0.377202791,5575962,0.387464332,
BE,TBB_DEF_>=120_0_0_all,2019,2744.07,0.723435225,3355495,0.620632102,
DK,Active,2009,7058347,0.521612196,NA,NA,
DK,FPO_CRU_>0_0_0_all,2009,NA,NA,40.76,0.999920014,MIS_MIS_0_0_0_IBC
DK,GNS_DEF_100-119_0_0_all,2009,67406,0.998803409,951.0656218,0.996996926,
DK,GNS_DEF_120-219_0_0_all,2009,3153083,0.764331368,7824.354261,0.970437471,
DK,GNS_DEF_120-219_0_0_all_FDF,2009,69864,0.994727946,NA,NA,
DK,GNS_DEF_>=220_0_0_all,2009,78491,0.990342195,356.8153697,0.999237748,
DK,LLS_FIF_0_0_0_all,2009,18966,0.999375204,23.74429998,0.999961226,
DK,MIS_MIS_0_0_0_HC,2009,1053.82,0.958710261,1071.28292,0.995346174,
DK,MIS_MIS_0_0_0_IBC,2009,1547673,0.810991264,450617.1211,0.782130113,
DK,OTB_CRU_16-31_0_0_all,2009,NA,NA,12.81377228,0.999983467,MIS_MIS_0_0_0_IBC
DK,OTB_CRU_32-69_0_0_all,2009,479706,0.973172639,2864.527645,0.991283,
DK,OTB_CRU_70-89_2_35_all,2009,5111,1,9.525269998,1,
DK,OTB_CRU_70-99_0_0_all,2009,307666,0.982448283,1269.677402,0.993486763,
DK,OTB_CRU_90-119_0_0_all,2009,4897726,0.669270897,9283.043011,0.956856844,
DK,OTB_CRU_90-119_0_0_all_FDF,2009,75608,0.992621657,NA,NA,
DK,OTB_DEF_>=120_0_0_all,2009,10243.13,0.308814186,19319.06888,0.94074439,
DK,OTB_DEF_>=120_0_0_all_FDF,2009,1230441,0.926939253,NA,NA,
DK,OTB_SPF_32-69_0_0_all,2009,NA,NA,72065.09844,0.90721254,MIS_MIS_0_0_0_IBC
DK,Passive,2009,1337724,0.851321529,NA,NA,
DK,SDN_DEF_>=120_0_0_all,2009,1277741,0.889843401,6069.915962,0.980972943,
DK,SDN_DEF_>=120_0_0_all_FDF,2009,80407,0.987975815,NA,NA,
DK,SSC_DEF_>=120_0_0_all,2009,102937,0.985551671,209.1517096,0.99960077,
DK,TBB_CRU_16-31_0_0_all,2009,NA,NA,3075518,0.986311078,MIS_MIS_0_0_0_IBC
DK,TBB_DEF_90-99_0_0_all,2009,15613,0.999845911,143.1694436,0.999849267,
DK,TBB_DEF_>=120_0_0_all,2009,67774,0.996771225,934.2138616,0.998618428,
DK,Active,2010,9914674,0.269811731,NA,NA,
DK,FPO_CRU_>0_0_0_all,2010,NA,NA,32012,0.999940892,MIS_MIS_0_0_0_IBC
DK,GNS_DEF_100-119_0_0_all,2010,53805,0.999201315,567.3129668,0.998872974,
DK,GNS_DEF_120-219_0_0_all,2010,3710668,0.711860715,8055.478331,0.960645175,
DK,GNS_DEF_120-219_0_0_all_FDF,2010,22745,0.999820283,23.97901352,0.999979273,
DK,GNS_DEF_>=220_0_0_all,2010,77454,0.997737099,404.066031,0.999519717,
DK,LLS_FIF_0_0_0_all,2010,142569,0.992793463,196.6646993,0.999834496,
DK,MIS_MIS_0_0_0_HC,2010,1049296,0.941539523,3428.600911,0.985510561,
DK,MIS_MIS_0_0_0_IBC,2010,2268.85,0.866357515,483085.8889,0.773220742,
DK,OTB_CRU_16-31_0_0_all,2010,NA,NA,3.753749243,1,MIS_MIS_0_0_0_IBC
DK,OTB_CRU_32-69_0_0_all,2010,273947,0.984386191,1712.535201,0.993274426,
DK,OTB_CRU_70-89_2_35_all,2010,6092,0.999986067,9.196187864,0.999993992,
DK,OTB_CRU_70-99_0_0_all,2010,166.37,0.98891368,887.6236608,0.996714207,
DK,OTB_CRU_90-119_0_0_all,2010,4712903,0.610880919,9404.539436,0.947751685,
DK,OTB_CRU_90-119_0_0_all_FDF,2010,NA,NA,34.46136722,0.999889654,OTB_CRU_90-119_0_0_all
DK,OTB_DEF_>=120_0_0_all,2010,7820243,0.482626928,15128.22578,0.932698906,
DK,OTB_DEF_>=120_0_0_all_FDF,2010,3408388,0.804614452,5072.041755,0.980022789,
DK,OTB_SPF_32-69_0_0_all,2010,38,1,84509105,0.908484873,
DK,Passive,2010,852012,0.964725644,NA,NA,
DK,SDN_DEF_>=120_0_0_all,2010,1713.39,0.912984638,7034.529784,0.971904548,
DK,SSC_DEF_>=120_0_0_all,2010,448512,0.976931169,781.4221342,0.997964941,
DK,TBB_CRU_16-31_0_0_all,2010,NA,NA,3138102,0.990533365,MIS_MIS_0_0_0_IBC
DK,TBB_DEF_90-99_0_0_all,2010,474,0.999998966,NA,NA,
DK,TBB_DEF_>=120_0_0_all,2010,104208,0.995629314,1261.451848,0.995293489,
DK,Active,2011,1672.69,0.728886704,NA,NA,
DK,FPO_CRU_>0_0_0_all,2011,NA,NA,25.16688756,0.999993744,MIS_MIS_0_0_0_IBC
DK,GNS_DEF_100-119_0_0_all,2011,376382,0.972636771,472.0501702,0.998732729,
DK,GNS_DEF_120-219_0_0_all,2011,5628617,0.584321214,8037.05108,0.958561307,
DK,GNS_DEF_120-219_0_0_all_FDF,2011,31724,0.999352574,65.31235225,0.999833465,
DK,GNS_DEF_>=220_0_0_all,2011,213571,0.991286214,615.0771111,0.99787102,
DK,LLS_FIF_0_0_0_all,2011,13862,0.999726984,267.2800533,0.99971424,
DK,LLS_FIF_0_0_0_all_FDF,2011,112306,0.994319584,NA,NA,
DK,MIS_MIS_0_0_0_HC,2011,1321522,0.807041162,4666.267621,0.976215765,
DK,MIS_MIS_0_0_0_IBC,2011,1252116,0.874743021,404925.7142,0.739175446,
DK,OTB_CRU_32-69_0_0_all,2011,248933,0.979360416,1793.658019,0.989503949,
DK,OTB_CRU_70-89_2_35_all,2011,8241,0.999949573,3.427257871,1,
DK,OTB_CRU_70-99_0_0_all,2011,504647,0.962470746,992.6278315,0.993960155,
DK,OTB_CRU_70-99_0_0_all_FDF,2011,47752,0.998495713,62.63494906,0.999947803,
DK,OTB_CRU_90-119_0_0_all,2011,3679633,0.683707583,8109.889783,0.943889996,
DK,OTB_CRU_90-119_0_0_all_FDF,2011,106863,0.997205938,270.3990337,0.999226331,
DK,OTB_DEF_>=120_0_0_all,2011,8709569,0.23524423,9954.489512,0.929085722,
DK,OTB_DEF_>=120_0_0_all_FDF,2011,7295441,0.432293063,10001.92273,0.910914206,
DK,OTB_SPF_32-69_0_0_all,2011,1867,1,84077.82574,0.892656102,
DK,Passive,2011,849358,0.930103428,NA,NA,
DK,SDN_DEF_>=120_0_0_all,2011,1572031,0.771347039,5004.973677,0.967697683,
DK,SDN_DEF_>=120_0_0_all_FDF,2011,1254445,0.840923545,2489.398678,0.9862297,
DK,SSC_DEF_>=120_0_0_all,2011,693705,0.948840302,910.8211945,0.995622822,
DK,SSC_DEF_>=120_0_0_all_FDF,2011,227964,0.985517692,616.5023206,0.996748222,
DK,TBB_CRU_16-31_0_0_all,2011,NA,NA,2996308,0.981685403,MIS_MIS_0_0_0_IBC
DK,TBB_DEF_>=120_0_0_all,2011,1200279,0.907162388,1448.514055,0.992148153,
DK,Active,2012,1359272,0.881955747,NA,NA,
DK,FPO_CRU_>0_0_0_all,2012,NA,NA,16.64,0.999994257,MIS_MIS_0_0_0_IBC
DK,Fleet-All,2012,4892405,0.609244335,NA,NA,
DK,GNS_DEF_100-119_0_0_all,2012,400025,0.960604614,556.6075608,0.997385155,
DK,GNS_DEF_100-119_0_0_all_FDF,2012,19.46,0.999783112,20.00969325,0.999946202,
DK,GNS_DEF_120-219_0_0_all,2012,5120355,0.4952086,7385.346321,0.936856503,
DK,GNS_DEF_120-219_0_0_all_FDF,2012,242286,0.987054449,266.5267263,0.999111316,
DK,GNS_DEF_>=220_0_0_all,2012,243494,0.981407071,738.1258981,0.993948478,
DK,GNS_DEF_>=220_0_0_all_FDF,2012,47483,0.996912969,79.4778499,0.999888415,
DK,LLS_FIF_0_0_0_all,2012,24955,0.999329524,79.6006887,0.999658889,
DK,LLS_FIF_0_0_0_all_FDF,2012,35228,0.998747855,NA,NA,
DK,MIS_MIS_0_0_0_HC,2012,1709192,0.781754604,3389.903988,0.960222218,
DK,MIS_MIS_0_0_0_IBC,2012,1406903,0.850272846,152802.1682,0.441281876,
DK,OTB_CRU_32-69_0_0_all,2012,293521,0.975731536,1710.176544,0.982040698,
DK,OTB_CRU_70-89_2_35_all,2012,NA,NA,1.988739093,1,MIS_MIS_0_0_0_IBC
DK,OTB_CRU_70-99_0_0_all,2012,355.46,0.968889935,824.0247332,0.991816823,
DK,OTB_CRU_70-99_0_0_all_FDF,2012,43493,0.997926735,110.0064611,0.999429007,
DK,OTB_CRU_90-119_0_0_all,2012,3649003,0.694297951,8057.687178,0.915528144,
DK,OTB_CRU_90-119_0_0_all_FDF,2012,151528,0.995806201,331.1893787,0.998341606,
DK,OTB_DEF_>=120_0_0_all,2012,8659642,0.201845235,9868.670131,0.892258112,
DK,OTB_DEF_>=120_0_0_all_FDF,2012,7465633,0.37585964,10465.51741,0.863758089,
DK,OTB_SPF_32-69_0_0_all,2012,9305,1,135824.8356,0.833534414,
DK,Passive,2012,2042907,0.741915514,NA,NA,
DK,SDN_DEF_>=120_0_0_all,2012,1532693,0.817479728,4700.915255,0.950432414,
DK,SDN_DEF_>=120_0_0_all_FDF,2012,1085484,0.907256997,2704.249519,0.977101829,
DK,SSC_DEF_>=120_0_0_all,2012,839877,0.951280541,1004.702711,0.989437098,
DK,SSC_DEF_>=120_0_0_all_FDF,2012,223943,0.992274276,633.4063774,0.995777711,
DK,TBB_CRU_16-31_0_0_all,2012,NA,NA,3140634,0.969292147,MIS_MIS_0_0_0_IBC
DK,TBB_DEF_>=120_0_0_all,2012,1048838,0.931704077,1556.440075,0.986535587,
DK,Active,2013,1658569,0.847948138,NA,NA,
DK,All,2013,571505,0.9528312,NA,NA,
DK,FPO_CRU_0_0_0_all,2013,0.03,1,NA,NA,
DK,FPO_CRU_>0_0_0_all,2013,NA,NA,12.28467112,0.999991083,MIS_MIS_0_0_0_IBC
DK,GNS_DEF_100-119_0_0_all,2013,467017,0.9798753,559.398093,0.998176334,
DK,GNS_DEF_100-119_0_0_all_FDF,2013,32397,0.999999441,33.45854508,0.999967402,
DK,GNS_DEF_120-219_0_0_all,2013,6680509,0.652096485,8687.593401,0.946941285,
DK,GNS_DEF_120-219_0_0_all_FDF,2013,473959,0.971168568,507.4238411,0.99915451,
DK,GNS_DEF_>=220_0_0_all,2013,393318,0.98720804,795.0786392,0.99557752,
DK,GNS_DEF_>=220_0_0_all_FDF,2013,51471,0.998463197,53.98871843,0.999902902,
DK,LLS_FIF_0_0_0_all,2013,NA,NA,77.51633577,0.999798827,LLS_FIF_0_0_0_all_FDF
DK,LLS_FIF_0_0_0_all_FDF,2013,57032,0.997503608,NA,NA,
DK,MIS_MIS_0_0_0_HC,2013,1661528,0.817026962,4287.743205,0.966213924,
DK,MIS_MIS_0_0_0_IBC,2013,1973542,0.753829429,312743.4627,0.602884968,
DK,OTB_CRU_32-69_0_0_all,2013,344873,0.993637606,2297.939035,0.983550682,
DK,OTB_CRU_70-99_0_0_all,2013,509632,0.962332415,788.7235827,0.997097966,
DK,OTB_CRU_70-99_0_0_all_FDF,2013,NA,NA,4.625611975,1,OTB_CRU_70-99_0_0_all
DK,OTB_CRU_90-119_0_0_all,2013,3483272,0.717036121,5709.83884,0.957948313,
DK,OTB_CRU_90-119_0_0_all_FDF,2013,150335,0.996440344,256.7194547,0.999649396,
DK,OTB_DEF_>=120_0_0_all,2013,9308226,0.354280022,11786.44447,0.90928746,
DK,OTB_DEF_>=120_0_0_all_FDF,2013,9694863,0.180744103,10845.13377,0.93019395,
DK,OTB_SPF_32-69_0_0_all,2013,50005,0.999395454,147158.2657,0.886566377,
DK,Passive,2013,1356667,0.903167425,NA,NA,
DK,Pelagic trawlers,2013,9293953,0.527549845,NA,NA,
DK,SDN_DEF_>=120_0_0_all,2013,1605219,0.877874694,3870.552474,0.973675305,
DK,SDN_DEF_>=120_0_0_all_FDF,2013,1204309,0.925619702,2184.020961,0.987760885,
DK,SSC_DEF_>=120_0_0_all,2013,1728.3,0.78605062,1748.792381,0.991132084,
DK,TBB_CRU_16-31_0_0_all,2013,NA,NA,2824862,0.979120876,MIS_MIS_0_0_0_IBC
DK,TBB_DEF_>=120_0_0_all,2013,888082,0.942176469,1510.967925,0.994044823,
DK,Active,2014,55.41,0.997699818,NA,NA,
DK,FPO_CRU_0_0_0_all,2014,0.03,1,NA,NA,
DK,FPO_CRU_>0_0_0_all,2014,NA,NA,16.01200263,0.999962701,MIS_MIS_0_0_0_IBC
DK,GNS_DEF_100-119_0_0_all,2014,301.47,0.985683292,433.4023994,0.999096967,
DK,GNS_DEF_100-119_0_0_all_FDF,2014,15026,0.999680194,15.23807919,0.999989649,
DK,GNS_DEF_120-219_0_0_all,2014,5912593,0.544706795,7596.439109,0.944889044,
DK,GNS_DEF_120-219_0_0_all_FDF,2014,108918,0.992304318,117.665053,0.999598191,
DK,GNS_DEF_>=220_0_0_all,2014,360.06,0.978181579,829.5345584,0.998330501,
DK,GNS_DEF_>=220_0_0_all_FDF,2014,25576,0.99930629,30.37930763,0.999934384,
DK,LLS_FIF_0_0_0_all,2014,NA,NA,72.87990169,0.999880659,LLS_FIF_0_0_0_all_FDF
DK,LLS_FIF_0_0_0_all_FDF,2014,67269,0.996321008,NA,NA,
DK,MIS_MIS_0_0_0_HC,2014,1665554,0.85441862,3319.438711,0.971946529,
DK,MIS_MIS_0_0_0_IBC,2014,1975431,0.812973342,335336.0411,0.593036309,
DK,OTB_CRU_32-69_0_0_all,2014,364.21,0.969221926,2737.518772,0.987846276,
DK,OTB_CRU_70-89_2_35_all,2014,NA,NA,0.386068017,1,MIS_MIS_0_0_0_IBC
