country,metier,year,landIC,percLandIC,landAccess,percLandAccess,matchTo
BE,GNS_DEF_120-219_0_0_all,2009,0.21,1,552,1,
BE,GNS_DEF_90-99_0_0_all,2009,1835,0.999726586,NA,NA,
BE,GNS_DEF_>=220_0_0_all,2009,NA,NA,4842,0.999960989,GNS_DEF_all_0_0_all
BE,GNS_DEF_all_0_0_all,2009,58013,0.993198292,133278,0.995912497,
BE,GTR_DEF_all_0_0_all,2009,5801,0.999315007,13688,0.999618797,
BE,MIS_MIS_0_0_0_HC,2009,6862,0.998013879,334983,0.954276475,
BE,OTB_CRU_70-99_0_0_all,2009,204007,0.893390938,878317,0.872741539,
BE,OTB_DEF_100-119_0_0_all,2009,14608,0.996474775,185041,0.98649353,
BE,OTB_DEF_>=120_0_0_all,2009,69223,0.980186339,270829,0.973416389,
BE,SDN_all_0_0_all,2009,314,0.999952898,NA,NA,
BE,TBB_CRU_16-31_0_0_all,2009,133263,0.964660053,818733,0.930602696,
BE,TBB_DEF_100-119_0_0_all,2009,695,0.99988247,38756,0.998651445,
BE,TBB_DEF_70-99_0_0_all,2009,3779122,0.847633443,10120143,0.715206525,
BE,TBB_DEF_>=120_0_0_all,2009,184486,0.934769995,1350797,0.810669487,
BE,GNS_DEF_120-219_0_0_all,2010,136,1,4627,0.999988543,
BE,GNS_DEF_90-99_0_0_all,2010,2477,0.999180418,NA,NA,
BE,GNS_DEF_>=220_0_0_all,2010,NA,NA,181,1,GNS_DEF_all_0_0_all
BE,GNS_DEF_all_0_0_all,2010,44.07,0.969244308,89623,0.988045222,
BE,GTR_DEF_all_0_0_all,2010,16292,0.990431291,38007,0.998324422,
BE,MIS_MIS_0_0_0_HC,2010,9916,0.997540033,285175,0.955031523,
BE,OTB_CRU_16-31_0_0_all,2010,0.58,0.999958471,10166,0.999695649,
BE,OTB_CRU_70-99_0_0_all,2010,149887,0.893437575,851882,0.918464231,
BE,OTB_DEF_100-119_0_0_all,2010,24881,0.985456393,186063,0.982371994,
BE,OTB_DEF_70-99_0_0_all,2010,814,0.999781363,11496,0.99905213,
BE,OTB_DEF_>=120_0_0_all,2010,56.99,0.955787166,292498,0.936979654,
BE,SSC_DEF_100-119_0_0_all,2010,2895,0.998424046,43539,0.99591854,
BE,SSC_DEF_70-99_0_0_all,2010,28211,0.977858772,245849,0.970594016,
BE,SSC_DEF_>=120_0_0_all,2010,1154,0.999532802,NA,NA,
BE,TBB_CRU_16-31_0_0_all,2010,147195,0.938384795,1852324,0.864539229,
BE,TBB_DEF_100-119_0_0_all,2010,13364,0.9945121,80.84,0.993162477,
BE,TBB_DEF_70-99_0_0_all,2010,2447078,0.747235667,9907932,0.627182232,
BE,TBB_DEF_>=120_0_0_all,2010,328901,0.84766833,1897331,0.747285225,
BE,GNS_DEF_120-219_0_0_all,2011,349,1,6336,0.99958832,
BE,GNS_DEF_90-99_0_0_all,2011,2415,0.999252435,NA,NA,
BE,GNS_DEF_>=220_0_0_all,2011,NA,NA,162,1,GNS_DEF_all_0_0_all
BE,GNS_DEF_all_0_0_all,2011,23308,0.965065265,63883,0.984948111,
BE,GTR_DEF_all_0_0_all,2011,37497,0.957564516,61921,0.993432034,
BE,MIS_MIS_0_0_0_HC,2011,17492,0.991024717,161156,0.972883009,
BE,OTB_CRU_70-99_0_0_all,2011,140327,0.924569651,1057338,0.868496401,
BE,OTB_DEF_100-119_0_0_all,2011,18.98,0.985395616,191695,0.961920572,
BE,OTB_DEF_70-99_0_0_all,2011,1293,0.999668536,5.89,0.99998898,
BE,OTB_DEF_>=120_0_0_all,2011,21811,0.979287661,113483,0.980602549,
BE,SSC_DEF_100-119_0_0_all,2011,6498,0.998475264,62799,0.989219935,
BE,SSC_DEF_70-99_0_0_all,2011,22384,0.972268661,336386,0.948880757,
BE,SSC_DEF_>=120_0_0_all,2011,16654,0.996384142,33095,0.999157322,
BE,TBB_CRU_16-31_0_0_all,2011,65032,0.945497604,845324,0.925998517,
BE,TBB_DEF_100-119_0_0_all,2011,681,0.999887688,51071,0.996906075,
BE,TBB_DEF_70-99_0_0_all,2011,2318311,0.746055815,9172489,0.623947179,
BE,TBB_DEF_>=120_0_0_all,2011,414391,0.87941101,2537718,0.796572296,
BE,GNS_DEF_120-219_0_0_all,2012,272,1,5909,0.999886421,
BE,GNS_DEF_90-99_0_0_all,2012,505,0.999812729,NA,NA,
BE,GNS_DEF_all_0_0_all,2012,21872,0.989867344,27585,0.997829504,
BE,GTR_DEF_all_0_0_all,2012,47598,0.976608931,62979,0.996004771,
