year,country,metier,area,Eff,Lan,matchTo
2009,BE,GNS_DEF_120-219_0_0_all,4,x,x,
2009,BE,GNS_DEF_>=220_0_0_all,4,x,x,
2009,BE,GNS_DEF_all_0_0_all,4,x,x,
2009,BE,GNS_DEF_all_0_0_all,7D,x,x,
2009,BE,GTR_DEF_all_0_0_all,4,x,x,
2009,BE,GTR_DEF_all_0_0_all,7D,x,x,
2009,BE,MIS_MIS_0_0_0_HC,4,x,x,
2009,BE,MIS_MIS_0_0_0_HC,7D,x,x,
2009,BE,OTB_CRU_70-99_0_0_all,4,x,x,
2009,BE,OTB_CRU_70-99_0_0_all,7D,x,x,
2009,BE,OTB_DEF_100-119_0_0_all,4,x,x,
2009,BE,OTB_DEF_>=120_0_0_all,4,x,x,
2009,BE,TBB_CRU_16-31_0_0_all,4,x,x,
2009,BE,TBB_DEF_100-119_0_0_all,4,x,x,
2009,BE,TBB_DEF_70-99_0_0_all,4,x,x,
2009,BE,TBB_DEF_70-99_0_0_all,7D,x,x,
2009,BE,TBB_DEF_>=120_0_0_all,4,x,x,
2009,DK,FPO_CRU_>0_0_0_all,3AN,x,x,
2009,DK,FPO_CRU_>0_0_0_all,4,x,x,
2009,DK,GNS_DEF_100-119_0_0_all,3AN,x,x,
2009,DK,GNS_DEF_100-119_0_0_all,4,x,x,
2009,DK,GNS_DEF_120-219_0_0_all,3AN,x,x,
2009,DK,GNS_DEF_120-219_0_0_all,4,x,x,
2009,DK,GNS_DEF_120-219_0_0_all_FDF,3AN,x,NA,
2009,DK,GNS_DEF_>=220_0_0_all,3AN,x,x,
2009,DK,GNS_DEF_>=220_0_0_all,4,x,x,
2009,DK,LLS_FIF_0_0_0_all,4,x,x,
2009,DK,MIS_MIS_0_0_0_HC,3AN,x,x,
2009,DK,MIS_MIS_0_0_0_HC,4,x,x,
2009,DK,MIS_MIS_0_0_0_IBC,3AN,x,x,
2009,DK,MIS_MIS_0_0_0_IBC,4,x,x,
2009,DK,OTB_CRU_16-31_0_0_all,3AN,x,x,
2009,DK,OTB_CRU_16-31_0_0_all,4,x,x,
2009,DK,OTB_CRU_32-69_0_0_all,3AN,x,x,
2009,DK,OTB_CRU_32-69_0_0_all,4,x,x,
2009,DK,OTB_CRU_70-89_2_35_all,3AN,x,x,
2009,DK,OTB_CRU_70-99_0_0_all,4,x,x,
2009,DK,OTB_CRU_90-119_0_0_all,3AN,x,x,
2009,DK,OTB_CRU_90-119_0_0_all_FDF,3AN,x,NA,
2009,DK,OTB_DEF_>=120_0_0_all,3AN,x,x,
2009,DK,OTB_DEF_>=120_0_0_all,4,x,x,
2009,DK,OTB_DEF_>=120_0_0_all_FDF,3AN,x,NA,
2009,DK,OTB_DEF_>=120_0_0_all_FDF,4,x,NA,
2009,DK,OTB_SPF_32-69_0_0_all,3AN,x,x,
2009,DK,OTB_SPF_32-69_0_0_all,4,x,x,
2009,DK,SDN_DEF_>=120_0_0_all,3AN,x,x,
2009,DK,SDN_DEF_>=120_0_0_all,4,x,x,
2009,DK,SDN_DEF_>=120_0_0_all_FDF,3AN,x,NA,
2009,DK,SSC_DEF_>=120_0_0_all,3AN,x,x,
2009,DK,SSC_DEF_>=120_0_0_all,4,x,x,
2009,DK,TBB_CRU_16-31_0_0_all,4,x,x,
2009,DK,TBB_DEF_90-99_0_0_all,3AN,x,x,
2009,DK,TBB_DEF_>=120_0_0_all,3AN,x,x,
2009,DK,TBB_DEF_>=120_0_0_all,4,x,x,
2009,EN,FPO_CRU_0_0_0_all,4,x,x,
2009,EN,FPO_CRU_0_0_0_all,6A,x,x,
2009,EN,FPO_CRU_0_0_0_all,7D,x,x,
2009,EN,GNS_DEF_all_0_0_all,4,x,x,
2009,EN,GNS_DEF_all_0_0_all,6A,x,x,
2009,EN,GNS_DEF_all_0_0_all,7D,x,x,
2009,EN,GTR_DEF_all_0_0_all,4,x,x,
2009,EN,GTR_DEF_all_0_0_all,7D,x,x,
2009,EN,LLS_FIF_0_0_0_all,4,x,x,
2009,EN,LLS_FIF_0_0_0_all,7D,x,x,
2009,EN,MIS_MIS_0_0_0_HC,4,x,x,
2009,EN,MIS_MIS_0_0_0_HC,7D,x,x,
2009,EN,OTB_CRU_100-119_0_0_all,4,x,x,
2009,EN,OTB_CRU_16-31_0_0_all,4,x,x,
2009,EN,OTB_CRU_16-31_0_0_all,7D,x,x,
2009,EN,OTB_CRU_32-69_0_0_all,4,x,x,
2009,EN,OTB_CRU_70-99_0_0_all,4,x,x,
2009,EN,OTB_CRU_70-99_0_0_all,6A,x,x,
2009,EN,OTB_CRU_70-99_0_0_all,7D,x,x,
2009,EN,OTB_DEF_70-99_0_0_all,4,x,x,
2009,EN,OTB_DEF_70-99_0_0_all,7D,x,x,
2009,EN,OTB_DEF_>=120_0_0_all,3AN,x,x,
2009,EN,OTB_DEF_>=120_0_0_all,4,x,x,
2009,EN,OTB_DEF_>=120_0_0_all,6A,x,x,
2009,EN,OTB_DEF_>=120_0_0_all,7D,x,x,
2009,EN,OTM_SPF_32-69_0_0_all,4,x,x,
2009,EN,OTM_SPF_32-69_0_0_all,6A,x,x,
2009,EN,OTM_SPF_32-69_0_0_all,7D,x,x,
2009,EN,SDN_all_0_0_all,4,x,x,
2009,EN,SSC_DEF_all_0_0_all,4,x,x,
2009,EN,SSC_DEF_all_0_0_all,7D,x,x,
2009,EN,TBB_CRU_16-31_0_0_all,4,x,x,
2009,EN,TBB_DEF_70-99_0_0_all,4,x,x,
2009,EN,TBB_DEF_70-99_0_0_all,7D,x,x,
2009,EN,TBB_DEF_>=120_0_0_all,4,x,x,
2009,EN,TBB_DEF_>=120_0_0_all,7D,x,x,
2009,GE,FPO_CRU_0_0_0_all,6A,x,x,
2009,GE,GNS_DEF_120-219_0_0_all,4,x,x,
2009,GE,GNS_DEF_>=220_0_0_all,4,x,x,
2009,GE,GNS_DEF_>=220_0_0_all,6A,x,x,
