"year","country","subArea","fleet","landings","discards"
2004,"Belgium","27.7.f","OTB_CRU",0.46,0.00177118699637993
2004,"Belgium","27.7.f","TBB_DEF",149.244,26.868
2004,"Belgium","27.7.g","OTB_CRU",3.314,0.0127602471869632
2004,"France","27.7.e","MIS_MIS",25.66844,6.02880117783267
2004,"France","27.7.e","OTB_CRU",150.36181,0
2004,"France","27.7.e","OTB_DEF_100-119",307.44582,17.4183981818196
2004,"France","27.7.e","OTB_DEF_70-99_0",63.41348,0
2004,"France","27.7.g","MIS_MIS",18.65371,4.38123660101467
2004,"France","27.7.g","OTB_CRU",588.93424,0
2004,"France","27.7.g","OTB_DEF_100-119",1545.37953,87.5537549854256
2004,"France","27.7.g","OTB_DEF_70-99_0",189.47702,0
2004,"France","27.7.g","TBB_DEF",0.6186,0.303347443056385
2004,"France","27.7.h","MIS_MIS",1.62566,0.381822226935313
2004,"France","27.7.h","OTB_CRU",0.1507,0
2004,"France","27.7.h","OTB_DEF_100-119",9.42784,0.534135969435156
2004,"France","27.7.h","OTB_DEF_70-99_0",32.95359,0
2004,"France","27.7.h","TBB_DEF",0.04,0.019615094927668
2004,"Ireland","27.7.g","MIS_MIS",194.721,45.734536035254
2004,"Ireland","27.7.g","OTB_CRU",85.088,13.3830220689655
2004,"Ireland","27.7.g","OTB_DEF_100-119",25.646,4.03363726381511
2004,"Ireland","27.7.g","OTB_DEF_70-99_0",112.535,17.6996537825059
2004,"Ireland","27.7.g","SSC_DEF",80.304,10.83218
2004,"Ireland","27.7.g","TBB_DEF",116.915,57.3324705867075
2004,"Ireland","27.7.j","MIS_MIS",0.1,0.0234872130048911
2004,"Ireland","27.7.j","OTB_CRU",1.624,0.25543
2004,"Ireland","27.7.j","OTB_DEF_100-119",18.259,2.8718
2004,"Ireland","27.7.j","OTB_DEF_70-99_0",21.996,3.45956
2004,"Netherlands","27.7.e","MIS_MIS",0.565,0.132702753477635
2004,"Netherlands","27.7.e","SSC_DEF",0.303,0.0408715697848177
2004,"UK (England)","27.7.e","MIS_MIS",28.734,6.74881578482541
2004,"UK (England)","27.7.e","OTB_CRU",5.519,0.0212503935500453
2004,"UK (England)","27.7.e","OTB_DEF_100-119",2.19,0.135317652942224
2004,"UK (England)","27.7.e","OTB_DEF_70-99_0",34.567,48.963
2004,"UK (England)","27.7.e","TBB_DEF",26.131,16.2322294377297
2004,"UK (England)","27.7.f","MIS_MIS",19.384,4.55276136886809
2004,"UK (England)","27.7.f","OTB_CRU",0.486,0.00187129756574053
2004,"UK (England)","27.7.f","OTB_DEF_100-119",4.171,0.257721429416446
2004,"UK (England)","27.7.f","OTB_DEF_70-99_0",8.371,11.8572416755865
2004,"UK (England)","27.7.f","TBB_DEF",26.838,43.948768713457
2004,"UK (England)","27.7.g","MIS_MIS",38.658,9.07968680343081
2004,"UK (England)","27.7.g","OTB_CRU",0.037,0.000142465041013168
2004,"UK (England)","27.7.g","OTB_DEF_100-119",10.585,0.654035322554083
2004,"UK (England)","27.7.g","OTB_DEF_70-99_0",2.129,3.01565733213759
2004,"UK (England)","27.7.g","TBB_DEF",14.539,19.9041660927642
2004,"UK (England)","27.7.h","MIS_MIS",15.931,3.7417479038092
2004,"UK (England)","27.7.h","OTB_CRU",0.018,6.93073172496493e-05
2004,"UK (England)","27.7.h","OTB_DEF_100-119",0.242,0.0149529095945289
2004,"UK (England)","27.7.h","OTB_DEF_70-99_0",0.36,0.509927965979113
2004,"UK (England)","27.7.h","TBB_DEF",29.547,71.3974346097849
2004,"UK (England)","27.7.j","MIS_MIS",2.117,0.497224299313545
2004,"UK (England)","27.7.j","OTB_DEF_100-119",9.854,0.608867649357386
2004,"UK (England)","27.7.j","OTB_DEF_70-99_0",0.925,1.31023157925189
2004,"UK(Scotland)","27.7.g","OTB_CRU",0.002,7.70081302773882e-06
2005,"Belgium","27.7.f","OTB_CRU",1.099,0.391378393098513
2005,"Belgium","27.7.f","TBB_DEF",181.112,28.212
2005,"Belgium","27.7.g","OTB_CRU",3.437,1.22399229943548
2005,"Belgium","27.7.h","OTB_CRU",0.152,0.0541305875805041
2005,"France","27.7.e","MIS_MIS",32.9731,15.1548116607888
2005,"France","27.7.e","OTB_CRU",151.10412,20.7315737746995
2005,"France","27.7.e","OTB_DEF_100-119",304.01348,58.615331327888
2005,"France","27.7.e","OTB_DEF_70-99_0",74.72935,40.0519057698761
2005,"France","27.7.e","TBB_DEF",0.0341,0.0103859678156252
2005,"France","27.7.g","MIS_MIS",15.50927,7.12823683082032
2005,"France","27.7.g","OTB_CRU",409.51922,56.1862768638432
2005,"France","27.7.g","OTB_DEF_100-119",861.206,166.04485772001
2005,"France","27.7.g","OTB_DEF_70-99_0",252.34671,135.247618910887
2005,"France","27.7.g","TBB_DEF",0.06471,0.019708972942789
2005,"France","27.7.h","MIS_MIS",0.43107,0.198124673221997
2005,"France","27.7.h","OTB_DEF_100-119",1.22177,0.235563414347527
2005,"France","27.7.h","OTB_DEF_70-99_0",5.18616,2.77957176969291
2005,"France","27.7.h","TBB_DEF",0.01055,0.00321325397228286
2005,"France","27.7.j","MIS_MIS",2.25643,1.03708088337929
2005,"France","27.7.j","OTB_CRU",0.01362,0.00186867197804671
2005,"France","27.7.j","OTB_DEF_100-119",4.6474,0.896042145279961
2005,"France","27.7.j","OTB_DEF_70-99_0",11.94183,6.40033734911223
2005,"France","27.7.j","TBB_DEF",0.0062,0.00188835778465912
2005,"Ireland","27.7.g","MIS_MIS",165.937,76.2665318867898
2005,"Ireland","27.7.g","OTB_CRU",129.923,84.39424
2005,"Ireland","27.7.g","OTB_DEF_100-119",34.736,22.5635
2005,"Ireland","27.7.g","OTB_DEF_70-99_0",185.247,120.33111
2005,"Ireland","27.7.g","SSC_DEF",113.32,212.75555
2005,"Ireland","27.7.g","TBB_DEF",175.049,53.3153454591604
2005,"Ireland","27.7.j","MIS_MIS",0.301,0.138343022339344
2005,"Ireland","27.7.j","OTB_CRU",1.127,0.21765
2005,"Ireland","27.7.j","OTB_DEF_100-119",28.526,5.50913
2005,"Ireland","27.7.j","OTB_DEF_70-99_0",21.146,4.08386
2005,"Netherlands","27.7.e","MIS_MIS",0.01,0.00459611369898153
2005,"Netherlands","27.7.e","SSC_DEF",0.625,1.17342233277444
2005,"UK (England)","27.7.e","MIS_MIS",23.013,16.1976191210486
2005,"UK (England)","27.7.e","OTB_CRU",3.406,1.21295250854735
2005,"UK (England)","27.7.e","OTB_DEF_100-119",3.786,0.848029837249243
2005,"UK (England)","27.7.e","OTB_DEF_70-99_0",35.392,5.172
2005,"UK (England)","27.7.e","TBB_DEF",29.486,59.0277110467313
2005,"UK (England)","27.7.f","MIS_MIS",31.292,22.0247641566007
2005,"UK (England)","27.7.f","OTB_CRU",0.659,0.234684586944422
2005,"UK (England)","27.7.f","OTB_DEF_100-119",3.122,0.699299828814616
2005,"UK (England)","27.7.f","OTB_DEF_70-99_0",25.672,3.7515705244123
2005,"UK (England)","27.7.f","TBB_DEF",22.326,44.6941828945711
2005,"UK (England)","27.7.g","MIS_MIS",44.401,31.2514877066735
2005,"UK (England)","27.7.g","OTB_CRU",0.189,0.0673071121889163
2005,"UK (England)","27.7.g","OTB_DEF_100-119",4.198,0.94031411959121
2005,"UK (England)","27.7.g","OTB_DEF_70-99_0",0.393,0.0574309448462929
2005,"UK (England)","27.7.g","TBB_DEF",11.77,35.6235393626401
2005,"UK (England)","27.7.h","MIS_MIS",11.065,7.78806133813073
2005,"UK (England)","27.7.h","OTB_DEF_100-119",2.877,0.644422039557863
2005,"UK (England)","27.7.h","OTB_DEF_70-99_0",1.763,0.25763551084991
2005,"UK (England)","27.7.h","TBB_DEF",40.222,68.458694671873
2005,"UK (England)","27.7.j","MIS_MIS",3.226,2.27060875524715
2005,"UK (England)","27.7.j","OTB_DEF_100-119",9.226,2.0665407497257
2005,"UK (England)","27.7.j","OTB_DEF_70-99_0",0.898,0.131228978300181
2005,"UK (England)","27.7.j","TBB_DEF",0.545,1.09102972666583
2006,"Belgium","27.7.e","OTB_CRU",0.009,0.008471001775596
2006,"Belgium","27.7.f","OTB_CRU",0.346,0.325662957150691
2006,"Belgium","27.7.f","TBB_DEF",91.41,37.302
2006,"Belgium","27.7.g","OTB_CRU",9.175,8.63571569901037
2006,"Belgium","27.7.h","OTB_CRU",0.143,0.134594805990025
2006,"France","27.7.e","MIS_MIS",33.07252,14.1228579698553
2006,"France","27.7.e","OTB_CRU",122.86281,115.641231296079
2006,"France","27.7.e","OTB_DEF_100-119",361.73047,29.8985889469458
2006,"France","27.7.e","OTB_DEF_70-99_0",75.15188,65.8640191392432
2006,"France","27.7.g","MIS_MIS",21.82192,9.31854835342284
2006,"France","27.7.g","OTB_CRU",435.3017,409.715719291106
